|dates|Oklahoma_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Oklahoma_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Oklahoma_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Oklahoma_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Oklahoma_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Oklahoma_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Oklahoma_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Oklahoma_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|117180.0|0|117180.0|0|1577.0|0|0.0|100
0|2021-10-18|117180.0|0|117180.0|0|1577.0|0|0.0|100
0|2021-10-19|117180.0|0|117180.0|0|1577.0|0|0.0|100
0|2021-10-20|118645.0|0|118645.0|0|1835.0|0|0.0|100
0|2021-10-21|118645.0|0|118645.0|0|1835.0|0|0.0|100
0|2021-10-22|118645.0|0|118645.0|0|1835.0|0|0.0|100
0|2021-10-23|118645.0|0|118645.0|0|1835.0|0|0.0|100
0|2021-10-24|118645.0|0|118645.0|0|1835.0|0|0.0|100
0|2021-10-25|118645.0|0|118645.0|0|1835.0|0|0.0|100
0|2021-10-26|118645.0|0|118645.0|0|1835.0|0|0.0|100
0|2021-10-27|119447.0|0|119447.0|0|1854.0|0|0.0|100
0|2021-10-28|119447.0|0|119447.0|0|1854.0|0|0.0|100
0|2021-10-29|119447.0|0|119447.0|0|1854.0|0|0.0|100
0|2021-10-30|119447.0|0|119447.0|0|1854.0|0|0.0|100
0|2021-10-31|119447.0|0|119447.0|0|1854.0|0|0.0|100
0|2021-11-01|119447.0|0|119447.0|0|1854.0|0|0.0|100
0|2021-11-02|119447.0|0|119447.0|0|1854.0|0|0.0|100
0|2021-11-03|120077.0|0|120077.0|0|1887.0|0|0.0|100
0|2021-11-04|120077.0|0|120077.0|0|1887.0|0|0.0|100
0|2021-11-05|120077.0|0|120077.0|0|1887.0|0|0.0|100
0|2021-11-06|120077.0|0|120077.0|0|1887.0|0|0.0|100
0|2021-11-07|120077.0|0|120077.0|0|1887.0|0|0.0|100
0|2021-11-08|120077.0|0|120077.0|0|1887.0|0|0.0|100
0|2021-11-09|120077.0|0|120077.0|0|1887.0|0|0.0|100
0|2021-11-10|120077.0|0|120888.0|0|1887.0|0|0.0|100
0|2021-11-11|120077.0|0|120888.0|0|1887.0|0|0.0|100
