|dates|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Brookings_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Brookings_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5045.0|0|5045.0|0|38.0|0|0.0|100
0|2021-10-18|5045.0|0|5050.0|0|38.0|0|0.0|100
0|2021-10-19|5045.0|0|5063.0|0|38.0|0|0.0|100
0|2021-10-20|5072.0|0|5072.0|0|38.0|0|0.0|100
0|2021-10-21|5080.0|0|5080.0|0|38.0|0|0.0|100
0|2021-10-22|5083.0|0|5083.0|0|38.0|0|0.0|100
0|2021-10-23|5083.0|0|5083.0|0|38.0|0|0.0|100
0|2021-10-24|5083.0|0|5083.0|0|38.0|0|0.0|100
0|2021-10-25|5087.0|0|5087.0|0|38.0|0|0.0|100
0|2021-10-26|5113.0|0|5113.0|0|38.0|0|0.0|100
0|2021-10-27|5123.0|0|5123.0|0|38.0|0|0.0|100
0|2021-10-28|5127.0|0|5127.0|0|38.0|0|0.0|100
0|2021-10-29|5132.0|0|5132.0|0|39.0|0|0.0|100
0|2021-10-30|5132.0|0|5132.0|0|39.0|0|0.0|100
0|2021-10-31|5132.0|0|5132.0|0|39.0|0|0.0|100
0|2021-11-01|5141.0|0|5141.0|0|39.0|0|0.0|100
0|2021-11-02|5157.0|0|5157.0|0|39.0|0|0.0|100
0|2021-11-03|5162.0|0|5162.0|0|39.0|0|0.0|100
0|2021-11-04|5170.0|0|5170.0|0|39.0|0|0.0|100
0|2021-11-05|5177.0|0|5177.0|0|39.0|0|0.0|100
0|2021-11-06|5177.0|0|5177.0|0|39.0|0|0.0|100
0|2021-11-07|5177.0|0|5177.0|0|39.0|0|0.0|100
0|2021-11-08|5183.0|0|5183.0|0|39.0|0|0.0|100
0|2021-11-09|5199.0|0|5199.0|0|39.0|0|0.0|100
0|2021-11-10|5206.0|0|5206.0|0|39.0|0|0.0|100
0|2021-11-11|5206.0|0|5206.0|0|39.0|0|0.0|100
0|2021-11-12|5211.0|0|5211.0|0|39.0|0|0.0|100
0|2021-11-13|5211.0|0|5211.0|0|39.0|0|0.0|100
0|2021-11-14|5211.0|0|5211.0|0|39.0|0|0.0|100
0|2021-11-15|5221.0|0|5221.0|0|39.0|0|0.0|100
