|dates|Franklin_Alabama_UnitedStates.JHU_ConfirmedCases.data|Franklin_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Alabama_UnitedStates.NYT_ConfirmedCases.data|Franklin_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5935.0|0|5935.0|0|105.0|0|0.0|100
0|2021-10-18|5936.0|0|5936.0|0|105.0|0|0.0|100
0|2021-10-19|5943.0|0|5943.0|0|105.0|0|0.0|100
0|2021-10-20|5947.0|0|5947.0|0|105.0|0|0.0|100
0|2021-10-21|5955.0|0|5955.0|0|105.0|0|0.0|100
0|2021-10-22|5959.0|0|5959.0|0|105.0|0|0.0|100
0|2021-10-23|5959.0|0|5959.0|0|105.0|0|0.0|100
0|2021-10-24|5962.0|0|5962.0|0|105.0|0|0.0|100
0|2021-10-25|5969.0|0|5969.0|0|105.0|0|0.0|100
0|2021-10-26|5992.0|0|5992.0|0|105.0|0|0.0|100
0|2021-10-27|6047.0|0|6047.0|0|105.0|0|0.0|100
0|2021-10-28|6080.0|0|6080.0|0|105.0|0|0.0|100
0|2021-10-29|6086.0|0|6086.0|0|105.0|0|0.0|100
0|2021-10-30|6092.0|0|6092.0|0|105.0|0|0.0|100
0|2021-10-31|6094.0|0|6094.0|0|105.0|0|0.0|100
0|2021-11-01|6098.0|0|6098.0|0|105.0|0|0.0|100
0|2021-11-02|6100.0|0|6100.0|0|106.0|0|0.0|100
0|2021-11-03|6103.0|0|6103.0|0|106.0|0|0.0|100
0|2021-11-04|6109.0|0|6109.0|0|106.0|0|0.0|100
0|2021-11-05|6115.0|0|6115.0|0|106.0|0|0.0|100
0|2021-11-06|6124.0|0|6124.0|0|107.0|0|0.0|100
0|2021-11-07|6125.0|0|6125.0|0|107.0|0|0.0|100
0|2021-11-08|6128.0|0|6128.0|0|107.0|0|0.0|100
0|2021-11-09|6178.0|0|6178.0|0|107.0|0|0.0|100
0|2021-11-10|6178.0|0|6184.0|0|107.0|0|0.0|100
0|2021-11-11|6192.0|0|6192.0|0|107.0|0|0.0|100
0|2021-11-12|6208.0|0|6208.0|0|107.0|0|0.0|100
0|2021-11-13|6221.0|0|6221.0|0|108.0|0|0.0|100
0|2021-11-14|6226.0|0|6226.0|0|108.0|0|0.0|100
0|2021-11-15|6228.0|0|6228.0|0|108.0|0|0.0|100
0|2021-11-16|6231.0|0|6231.0|0|108.0|0|0.0|100
0|2021-11-17|6234.0|0|6234.0|0|108.0|0|0.0|100
