|dates|Morgan_Utah_UnitedStates.BLS_EmployedPopulation.data|Morgan_Utah_UnitedStates.BLS_EmployedPopulation.missing|Morgan_Utah_UnitedStates.BLS_UnemployedPopulation.data|Morgan_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Morgan_Utah_UnitedStates.BLS_UnemploymentRate.data|Morgan_Utah_UnitedStates.BLS_UnemploymentRate.missing|Morgan_Utah_UnitedStates.BLS_LaborForcePopulation.data|Morgan_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-18|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-19|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-20|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-21|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-22|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-23|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-24|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-25|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-26|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-27|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-28|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-29|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-30|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-10-31|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-11-01|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-11-02|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-11-03|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-11-04|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-11-05|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-11-06|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-11-07|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
0|2021-11-08|5650.0|0|119.0|0|2.062749176633732|0|5769.0|0
