|dates|Ottawa_Michigan_UnitedStates.JHU_ConfirmedCases.data|Ottawa_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Ottawa_Michigan_UnitedStates.NYT_ConfirmedCases.data|Ottawa_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Ottawa_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Ottawa_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Ottawa_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Ottawa_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|39985.0|0|39985.0|0|489.0|0|0.0|100
0|2021-10-18|40251.0|0|40251.0|0|492.0|0|0.0|100
0|2021-10-19|40251.0|0|40251.0|0|492.0|0|0.0|100
0|2021-10-20|40542.0|0|40542.0|0|497.0|0|0.0|100
0|2021-10-21|40542.0|0|40542.0|0|497.0|0|0.0|100
0|2021-10-22|40850.0|0|40850.0|0|499.0|0|0.0|100
0|2021-10-23|40850.0|0|40850.0|0|499.0|0|0.0|100
0|2021-10-24|40850.0|0|40850.0|0|499.0|0|0.0|100
0|2021-10-25|41101.0|0|41101.0|0|501.0|0|0.0|100
0|2021-10-26|41101.0|0|41101.0|0|501.0|0|0.0|100
0|2021-10-27|41440.0|0|41440.0|0|505.0|0|0.0|100
0|2021-10-28|41440.0|0|41440.0|0|505.0|0|0.0|100
0|2021-10-29|41778.0|0|41778.0|0|505.0|0|0.0|100
0|2021-10-30|41778.0|0|41778.0|0|505.0|0|0.0|100
0|2021-10-31|41778.0|0|41778.0|0|505.0|0|0.0|100
0|2021-11-01|42143.0|0|42143.0|0|507.0|0|0.0|100
0|2021-11-02|42143.0|0|42143.0|0|507.0|0|0.0|100
0|2021-11-03|42610.0|0|42610.0|0|509.0|0|0.0|100
0|2021-11-04|42610.0|0|42610.0|0|509.0|0|0.0|100
0|2021-11-05|43084.0|0|43084.0|0|513.0|0|0.0|100
0|2021-11-06|43084.0|0|43084.0|0|513.0|0|0.0|100
0|2021-11-07|43084.0|0|43084.0|0|513.0|0|0.0|100
0|2021-11-08|43452.0|0|43452.0|0|514.0|0|0.0|100
0|2021-11-09|43452.0|0|43452.0|0|514.0|0|0.0|100
0|2021-11-10|43675.0|0|43675.0|0|522.0|0|0.0|100
0|2021-11-11|43675.0|0|43675.0|0|522.0|0|0.0|100
0|2021-11-12|44467.0|0|44467.0|0|527.0|0|0.0|100
0|2021-11-13|44467.0|0|44467.0|0|527.0|0|0.0|100
0|2021-11-14|44467.0|0|44467.0|0|527.0|0|0.0|100
0|2021-11-15|45474.0|0|45474.0|0|530.0|0|0.0|100
0|2021-11-16|45474.0|0|45474.0|0|530.0|0|0.0|100
0|2021-11-17|46060.0|0|46060.0|0|536.0|0|0.0|100
0|2021-11-18|46060.0|0|46060.0|0|536.0|0|0.0|100
0|2021-11-19|46980.0|0|46980.0|0|544.0|0|0.0|100
0|2021-11-20|46980.0|0|46980.0|0|544.0|0|0.0|100
0|2021-11-21|46980.0|0|46980.0|0|544.0|0|0.0|100
0|2021-11-22|47685.0|0|47685.0|0|544.0|0|0.0|100
0|2021-11-23|47685.0|0|47685.0|0|544.0|0|0.0|100
0|2021-11-24|48398.0|0|48398.0|0|557.0|0|0.0|100
0|2021-11-25|48398.0|0|48398.0|0|557.0|0|0.0|100
0|2021-11-26|48398.0|0|48398.0|0|557.0|0|0.0|100
0|2021-11-27|48398.0|0|48398.0|0|557.0|0|0.0|100
0|2021-11-28|48398.0|0|48398.0|0|557.0|0|0.0|100
