|dates|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Fairfield_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Fairfield_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3240.0|0|3240.0|0|93.0|0|0.0|100
0|2021-10-18|3248.0|0|3248.0|0|93.0|0|0.0|100
0|2021-10-19|3250.0|0|3250.0|0|93.0|0|0.0|100
0|2021-10-20|3251.0|0|3251.0|0|93.0|0|0.0|100
0|2021-10-21|3253.0|0|3253.0|0|93.0|0|0.0|100
0|2021-10-22|3257.0|0|3257.0|0|93.0|0|0.0|100
0|2021-10-23|3257.0|0|3257.0|0|93.0|0|0.0|100
0|2021-10-24|3257.0|0|3257.0|0|93.0|0|0.0|100
0|2021-10-25|3264.0|0|3264.0|0|93.0|0|0.0|100
0|2021-10-26|3264.0|0|3264.0|0|93.0|0|0.0|100
0|2021-10-27|3264.0|0|3264.0|0|93.0|0|0.0|100
0|2021-10-28|3267.0|0|3267.0|0|93.0|0|0.0|100
0|2021-10-29|3270.0|0|3270.0|0|93.0|0|0.0|100
0|2021-10-30|3270.0|0|3270.0|0|93.0|0|0.0|100
0|2021-10-31|3270.0|0|3270.0|0|93.0|0|0.0|100
0|2021-11-01|3276.0|0|3276.0|0|93.0|0|0.0|100
0|2021-11-02|3277.0|0|3277.0|0|93.0|0|0.0|100
0|2021-11-03|3278.0|0|3278.0|0|93.0|0|0.0|100
0|2021-11-04|3280.0|0|3280.0|0|93.0|0|0.0|100
0|2021-11-05|3285.0|0|3285.0|0|93.0|0|0.0|100
0|2021-11-06|3285.0|0|3285.0|0|93.0|0|0.0|100
0|2021-11-07|3285.0|0|3285.0|0|93.0|0|0.0|100
0|2021-11-08|3294.0|0|3294.0|0|93.0|0|0.0|100
0|2021-11-09|3294.0|0|3294.0|0|93.0|0|0.0|100
0|2021-11-10|3294.0|0|3295.0|0|93.0|0|0.0|100
0|2021-11-11|3295.0|0|3295.0|0|93.0|0|0.0|100
0|2021-11-12|3299.0|0|3299.0|0|93.0|0|0.0|100
0|2021-11-13|3299.0|0|3299.0|0|93.0|0|0.0|100
0|2021-11-14|3299.0|0|3299.0|0|93.0|0|0.0|100
0|2021-11-15|3307.0|0|3307.0|0|93.0|0|0.0|100
0|2021-11-16|3308.0|0|3308.0|0|93.0|0|0.0|100
0|2021-11-17|3308.0|0|3308.0|0|93.0|0|0.0|100
0|2021-11-18|3308.0|0|3308.0|0|93.0|0|0.0|100
0|2021-11-19|3310.0|0|3310.0|0|93.0|0|0.0|100
0|2021-11-20|3310.0|0|3310.0|0|93.0|0|0.0|100
0|2021-11-21|3310.0|0|3310.0|0|93.0|0|0.0|100
0|2021-11-22|3313.0|0|3313.0|0|93.0|0|0.0|100
0|2021-11-23|3314.0|0|3314.0|0|93.0|0|0.0|100
0|2021-11-24|3320.0|0|3320.0|0|93.0|0|0.0|100
0|2021-11-25|3320.0|0|3320.0|0|93.0|0|0.0|100
0|2021-11-26|3322.0|0|3321.0|0|93.0|0|0.0|100
0|2021-11-27|3322.0|0|3321.0|0|93.0|0|0.0|100
0|2021-11-28|3322.0|0|3321.0|0|93.0|0|0.0|100
0|2021-11-29|3326.0|0|3326.0|0|93.0|0|0.0|100
0|2021-11-30|3327.0|0|3327.0|0|93.0|0|0.0|100
0|2021-12-01|3337.0|0|3337.0|0|93.0|0|0.0|100
0|2021-12-02|3345.0|0|3345.0|0|93.0|0|0.0|100
0|2021-12-03|3350.0|0|3350.0|0|93.0|0|0.0|100
0|2021-12-04|3350.0|0|3350.0|0|93.0|0|0.0|100
0|2021-12-05|3350.0|0|3350.0|0|93.0|0|0.0|100
0|2021-12-06|3361.0|0|3361.0|0|93.0|0|0.0|100
0|2021-12-07|3362.0|0|3362.0|0|93.0|0|0.0|100
0|2021-12-08|3362.0|0|3362.0|0|93.0|0|0.0|100
0|2021-12-09|3366.0|0|3366.0|0|93.0|0|0.0|100
0|2021-12-10|3368.0|0|3368.0|0|93.0|0|0.0|100
0|2021-12-11|3368.0|0|3368.0|0|93.0|0|0.0|100
0|2021-12-12|3368.0|0|3368.0|0|93.0|0|0.0|100
0|2021-12-13|3374.0|0|3374.0|0|93.0|0|0.0|100
0|2021-12-14|3374.0|0|3377.0|0|93.0|0|0.0|100
0|2021-12-15|3378.0|0|3378.0|0|93.0|0|0.0|100
0|2021-12-16|3380.0|0|3380.0|0|93.0|0|0.0|100
0|2021-12-17|3384.0|0|3384.0|0|93.0|0|0.0|100
0|2021-12-18|3384.0|0|3384.0|0|93.0|0|0.0|100
0|2021-12-19|3384.0|0|3384.0|0|93.0|0|0.0|100
0|2021-12-20|3394.0|0|3394.0|0|93.0|0|0.0|100
0|2021-12-21|3398.0|0|3398.0|0|93.0|0|0.0|100
0|2021-12-22|3404.0|0|3404.0|0|93.0|0|0.0|100
0|2021-12-23|3416.0|0|3416.0|0|93.0|0|0.0|100
0|2021-12-24|3416.0|0|3416.0|0|93.0|0|0.0|100
0|2021-12-25|3416.0|0|3416.0|0|93.0|0|0.0|100
0|2021-12-26|3416.0|0|3416.0|0|93.0|0|0.0|100
0|2021-12-27|3416.0|0|3416.0|0|93.0|0|0.0|100
0|2021-12-28|3416.0|0|3416.0|0|93.0|0|0.0|100
0|2021-12-29|3493.0|0|3493.0|0|95.0|0|0.0|100
0|2021-12-30|3542.0|0|3542.0|0|95.0|0|0.0|100
0|2021-12-31|3602.0|0|3602.0|0|95.0|0|0.0|100
0|2022-01-01|3602.0|0|3602.0|0|95.0|0|0.0|100
0|2022-01-02|3602.0|0|3602.0|0|95.0|0|0.0|100
0|2022-01-03|3602.0|0|3602.0|0|95.0|0|0.0|100
0|2022-01-04|3804.0|0|3804.0|0|95.0|0|0.0|100
0|2022-01-05|3836.0|0|3836.0|0|96.0|0|0.0|100
0|2022-01-06|3926.0|0|3926.0|0|96.0|0|0.0|100
0|2022-01-07|4026.0|0|4026.0|0|96.0|0|0.0|100
0|2022-01-08|4026.0|0|4026.0|0|96.0|0|0.0|100
0|2022-01-09|4026.0|0|4026.0|0|96.0|0|0.0|100
0|2022-01-10|4356.0|0|4356.0|0|96.0|0|0.0|100
0|2022-01-11|4409.0|0|4409.0|0|96.0|0|0.0|100
0|2022-01-12|4452.0|0|4452.0|0|96.0|0|0.0|100
0|2022-01-13|4452.0|0|4508.0|0|96.0|0|0.0|100
0|2022-01-14|4571.0|0|4571.0|0|96.0|0|0.0|100
0|2022-01-15|4571.0|0|4571.0|0|96.0|0|0.0|100
0|2022-01-16|4571.0|0|4571.0|0|96.0|0|0.0|100
0|2022-01-17|4571.0|0|0.0|100|96.0|0|0.0|100
