|dates|Washoe_Nevada_UnitedStates.JHU_ConfirmedCases.data|Washoe_Nevada_UnitedStates.JHU_ConfirmedCases.missing|Washoe_Nevada_UnitedStates.NYT_ConfirmedCases.data|Washoe_Nevada_UnitedStates.NYT_ConfirmedCases.missing|Washoe_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|Washoe_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|Washoe_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|Washoe_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|62532.0|0|63441.0|0|873.0|0|0.0|100
0|2021-10-18|62775.0|0|63717.0|0|880.0|0|0.0|100
0|2021-10-19|62927.0|0|63874.0|0|883.0|0|0.0|100
0|2021-10-20|63041.0|0|64002.0|0|884.0|0|0.0|100
0|2021-10-21|63139.0|0|64106.0|0|888.0|0|0.0|100
0|2021-10-22|63315.0|0|64305.0|0|890.0|0|0.0|100
0|2021-10-23|63315.0|0|64305.0|0|890.0|0|0.0|100
0|2021-10-24|63315.0|0|64305.0|0|890.0|0|0.0|100
0|2021-10-25|63595.0|0|64607.0|0|894.0|0|0.0|100
0|2021-10-26|63689.0|0|64764.0|0|899.0|0|0.0|100
0|2021-10-27|63739.0|0|64819.0|0|901.0|0|0.0|100
0|2021-10-28|63817.0|0|64930.0|0|901.0|0|0.0|100
0|2021-10-29|63817.0|0|64930.0|0|901.0|0|0.0|100
0|2021-10-30|63817.0|0|64930.0|0|901.0|0|0.0|100
0|2021-10-31|63817.0|0|64930.0|0|901.0|0|0.0|100
0|2021-11-01|64059.0|0|65194.0|0|901.0|0|0.0|100
0|2021-11-02|64345.0|0|65491.0|0|904.0|0|0.0|100
0|2021-11-03|64478.0|0|65644.0|0|904.0|0|0.0|100
0|2021-11-04|64660.0|0|65880.0|0|906.0|0|0.0|100
0|2021-11-05|64804.0|0|66051.0|0|911.0|0|0.0|100
0|2021-11-06|64804.0|0|66051.0|0|911.0|0|0.0|100
0|2021-11-07|64804.0|0|66051.0|0|911.0|0|0.0|100
0|2021-11-08|65145.0|0|66433.0|0|919.0|0|0.0|100
0|2021-11-09|65216.0|0|66505.0|0|925.0|0|0.0|100
0|2021-11-10|65350.0|0|66659.0|0|933.0|0|0.0|100
0|2021-11-11|65350.0|0|66659.0|0|933.0|0|0.0|100
0|2021-11-12|65597.0|0|66979.0|0|937.0|0|0.0|100
0|2021-11-13|65597.0|0|66979.0|0|937.0|0|0.0|100
0|2021-11-14|65597.0|0|66979.0|0|937.0|0|0.0|100
0|2021-11-15|65872.0|0|67257.0|0|941.0|0|0.0|100
0|2021-11-16|65979.0|0|67361.0|0|951.0|0|0.0|100
0|2021-11-17|66082.0|0|67472.0|0|952.0|0|0.0|100
0|2021-11-18|66219.0|0|67611.0|0|955.0|0|0.0|100
0|2021-11-19|66326.0|0|67736.0|0|961.0|0|0.0|100
0|2021-11-20|66326.0|0|67736.0|0|961.0|0|0.0|100
0|2021-11-21|66326.0|0|67736.0|0|961.0|0|0.0|100
0|2021-11-22|66556.0|0|67985.0|0|962.0|0|0.0|100
0|2021-11-23|66603.0|0|68034.0|0|966.0|0|0.0|100
0|2021-11-24|66706.0|0|68151.0|0|966.0|0|0.0|100
0|2021-11-25|66706.0|0|68151.0|0|966.0|0|0.0|100
0|2021-11-26|66706.0|0|68151.0|0|966.0|0|0.0|100
0|2021-11-27|66706.0|0|68151.0|0|966.0|0|0.0|100
0|2021-11-28|66706.0|0|68151.0|0|966.0|0|0.0|100
0|2021-11-29|67073.0|0|68566.0|0|967.0|0|0.0|100
0|2021-11-30|67155.0|0|68665.0|0|972.0|0|0.0|100
0|2021-12-01|67249.0|0|68787.0|0|972.0|0|0.0|100
0|2021-12-02|67337.0|0|68892.0|0|974.0|0|0.0|100
0|2021-12-03|67452.0|0|69037.0|0|977.0|0|0.0|100
0|2021-12-04|67452.0|0|69037.0|0|977.0|0|0.0|100
0|2021-12-05|67452.0|0|69037.0|0|977.0|0|0.0|100
0|2021-12-06|67685.0|0|69285.0|0|982.0|0|0.0|100
0|2021-12-07|67732.0|0|69332.0|0|982.0|0|0.0|100
0|2021-12-08|67803.0|0|69422.0|0|988.0|0|0.0|100
0|2021-12-09|67903.0|0|69549.0|0|989.0|0|0.0|100
0|2021-12-10|68014.0|0|69660.0|0|996.0|0|0.0|100
0|2021-12-11|68014.0|0|69660.0|0|996.0|0|0.0|100
0|2021-12-12|68014.0|0|69660.0|0|996.0|0|0.0|100
0|2021-12-13|68238.0|0|69920.0|0|997.0|0|0.0|100
0|2021-12-14|68238.0|0|69978.0|0|997.0|0|0.0|100
0|2021-12-15|68358.0|0|70049.0|0|1002.0|0|0.0|100
0|2021-12-16|68433.0|0|70141.0|0|1003.0|0|0.0|100
0|2021-12-17|68511.0|0|70241.0|0|1003.0|0|0.0|100
0|2021-12-18|68511.0|0|70241.0|0|1003.0|0|0.0|100
0|2021-12-19|68511.0|0|70241.0|0|1003.0|0|0.0|100
0|2021-12-20|68735.0|0|70489.0|0|1006.0|0|0.0|100
0|2021-12-21|68794.0|0|70549.0|0|1010.0|0|0.0|100
0|2021-12-22|68885.0|0|70653.0|0|1011.0|0|0.0|100
0|2021-12-23|68987.0|0|70772.0|0|1013.0|0|0.0|100
0|2021-12-24|68987.0|0|70772.0|0|1013.0|0|0.0|100
0|2021-12-25|68987.0|0|70772.0|0|1013.0|0|0.0|100
0|2021-12-26|68987.0|0|70772.0|0|1013.0|0|0.0|100
0|2021-12-27|69253.0|0|71116.0|0|1015.0|0|0.0|100
0|2021-12-28|69416.0|0|71286.0|0|1015.0|0|0.0|100
0|2021-12-29|69621.0|0|71546.0|0|1015.0|0|0.0|100
0|2021-12-30|70048.0|0|72020.0|0|1016.0|0|0.0|100
0|2021-12-31|70048.0|0|72020.0|0|1016.0|0|0.0|100
0|2022-01-01|70048.0|0|72020.0|0|1016.0|0|0.0|100
0|2022-01-02|70048.0|0|72020.0|0|1016.0|0|0.0|100
0|2022-01-03|70873.0|0|73008.0|0|1020.0|0|0.0|100
0|2022-01-04|71149.0|0|73298.0|0|1020.0|0|0.0|100
0|2022-01-05|71477.0|0|73731.0|0|1025.0|0|0.0|100
0|2022-01-06|71908.0|0|74304.0|0|1025.0|0|0.0|100
0|2022-01-07|72850.0|0|75399.0|0|1027.0|0|0.0|100
0|2022-01-08|72850.0|0|75399.0|0|1027.0|0|0.0|100
0|2022-01-09|72850.0|0|75399.0|0|1027.0|0|0.0|100
0|2022-01-10|74406.0|0|77315.0|0|1030.0|0|0.0|100
0|2022-01-11|75128.0|0|78412.0|0|1030.0|0|0.0|100
0|2022-01-12|75705.0|0|79094.0|0|1033.0|0|0.0|100
0|2022-01-13|75705.0|0|79923.0|0|1033.0|0|0.0|100
0|2022-01-14|77453.0|0|81129.0|0|1036.0|0|0.0|100
0|2022-01-15|77453.0|0|81129.0|0|1036.0|0|0.0|100
0|2022-01-16|77453.0|0|81129.0|0|1036.0|0|0.0|100
0|2022-01-17|77453.0|0|0.0|100|1036.0|0|0.0|100
