|dates|Maury_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Maury_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Maury_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Maury_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Maury_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Maury_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Maury_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Maury_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|19164.0|0|19164.0|0|223.0|0|0.0|100
0|2021-10-18|19205.0|0|19205.0|0|223.0|0|0.0|100
0|2021-10-19|19222.0|0|19222.0|0|225.0|0|0.0|100
0|2021-10-20|19251.0|0|19251.0|0|226.0|0|0.0|100
0|2021-10-21|19281.0|0|19281.0|0|226.0|0|0.0|100
0|2021-10-22|19297.0|0|19297.0|0|226.0|0|0.0|100
0|2021-10-23|19297.0|0|19297.0|0|226.0|0|0.0|100
0|2021-10-24|19297.0|0|19297.0|0|226.0|0|0.0|100
0|2021-10-25|19297.0|0|19297.0|0|226.0|0|0.0|100
0|2021-10-26|19332.0|0|19332.0|0|228.0|0|0.0|100
0|2021-10-27|19345.0|0|19345.0|0|229.0|0|0.0|100
0|2021-10-28|19364.0|0|19364.0|0|229.0|0|0.0|100
0|2021-10-29|19386.0|0|19386.0|0|229.0|0|0.0|100
0|2021-10-30|19386.0|0|19386.0|0|229.0|0|0.0|100
0|2021-10-31|19386.0|0|19386.0|0|229.0|0|0.0|100
0|2021-11-01|19386.0|0|19386.0|0|229.0|0|0.0|100
0|2021-11-02|19437.0|0|19437.0|0|234.0|0|0.0|100
0|2021-11-03|19451.0|0|19451.0|0|235.0|0|0.0|100
0|2021-11-04|19464.0|0|19464.0|0|234.0|0|0.0|100
0|2021-11-05|19471.0|0|19471.0|0|234.0|0|0.0|100
0|2021-11-06|19471.0|0|19471.0|0|234.0|0|0.0|100
0|2021-11-07|19471.0|0|19471.0|0|234.0|0|0.0|100
0|2021-11-08|19471.0|0|19471.0|0|234.0|0|0.0|100
0|2021-11-09|19510.0|0|19510.0|0|234.0|0|0.0|100
0|2021-11-10|19529.0|0|19529.0|0|234.0|0|0.0|100
0|2021-11-11|19529.0|0|19529.0|0|234.0|0|0.0|100
0|2021-11-12|19568.0|0|19568.0|0|236.0|0|0.0|100
0|2021-11-13|19568.0|0|19568.0|0|236.0|0|0.0|100
0|2021-11-14|19568.0|0|19568.0|0|236.0|0|0.0|100
0|2021-11-15|19599.0|0|19599.0|0|236.0|0|0.0|100
0|2021-11-16|19630.0|0|19630.0|0|236.0|0|0.0|100
0|2021-11-17|19647.0|0|19647.0|0|237.0|0|0.0|100
0|2021-11-18|19668.0|0|19668.0|0|237.0|0|0.0|100
0|2021-11-19|19688.0|0|19688.0|0|237.0|0|0.0|100
0|2021-11-20|19688.0|0|19688.0|0|237.0|0|0.0|100
0|2021-11-21|19688.0|0|19688.0|0|237.0|0|0.0|100
0|2021-11-22|19737.0|0|19737.0|0|237.0|0|0.0|100
0|2021-11-23|19753.0|0|19753.0|0|237.0|0|0.0|100
