|dates|Lubbock_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Lubbock_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Lubbock_Texas_UnitedStates.NYT_ConfirmedDeaths.data|Lubbock_Texas_UnitedStates.NYT_ConfirmedDeaths.missing|Lubbock_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Lubbock_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Lubbock_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Lubbock_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|975.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|976.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|983.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|985.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|988.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|991.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|993.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|994.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|994.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|998.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|1000.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|1002.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|1003.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|1004.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|1004.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|1004.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|1006.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|1009.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|1014.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|1014.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|1014.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|1014.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|1014.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|1015.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|1015.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|1020.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|1029.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|1031.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|1031.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|1031.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|1032.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|1032.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|1035.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|1035.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|1035.0|0|0.0|100|0.0|100
