|dates|Saline_Illinois_UnitedStates.JHU_ConfirmedCases.data|Saline_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Saline_Illinois_UnitedStates.NYT_ConfirmedCases.data|Saline_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Saline_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Saline_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Saline_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Saline_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4317.0|0|4317.0|0|69.0|0|0.0|100
0|2021-10-18|4331.0|0|4331.0|0|69.0|0|0.0|100
0|2021-10-19|4332.0|0|4332.0|0|69.0|0|0.0|100
0|2021-10-20|4338.0|0|4338.0|0|69.0|0|0.0|100
0|2021-10-21|4344.0|0|4344.0|0|69.0|0|0.0|100
0|2021-10-22|4361.0|0|4361.0|0|69.0|0|0.0|100
0|2021-10-23|4361.0|0|4361.0|0|69.0|0|0.0|100
0|2021-10-24|4361.0|0|4361.0|0|69.0|0|0.0|100
0|2021-10-25|4373.0|0|4373.0|0|69.0|0|0.0|100
0|2021-10-26|4381.0|0|4381.0|0|69.0|0|0.0|100
0|2021-10-27|4388.0|0|4388.0|0|70.0|0|0.0|100
0|2021-10-28|4394.0|0|4394.0|0|70.0|0|0.0|100
0|2021-10-29|4396.0|0|4396.0|0|70.0|0|0.0|100
0|2021-10-30|4396.0|0|4396.0|0|70.0|0|0.0|100
0|2021-10-31|4396.0|0|4396.0|0|70.0|0|0.0|100
0|2021-11-01|4398.0|0|4398.0|0|70.0|0|0.0|100
0|2021-11-02|4403.0|0|4403.0|0|70.0|0|0.0|100
0|2021-11-03|4408.0|0|4408.0|0|71.0|0|0.0|100
0|2021-11-04|4410.0|0|4410.0|0|71.0|0|0.0|100
0|2021-11-05|4415.0|0|4415.0|0|71.0|0|0.0|100
0|2021-11-06|4415.0|0|4415.0|0|71.0|0|0.0|100
0|2021-11-07|4415.0|0|4415.0|0|71.0|0|0.0|100
0|2021-11-08|4419.0|0|4419.0|0|71.0|0|0.0|100
0|2021-11-09|4426.0|0|4426.0|0|71.0|0|0.0|100
0|2021-11-10|4428.0|0|4428.0|0|71.0|0|0.0|100
0|2021-11-11|4428.0|0|4428.0|0|71.0|0|0.0|100
0|2021-11-12|4437.0|0|4437.0|0|71.0|0|0.0|100
0|2021-11-13|4437.0|0|4437.0|0|71.0|0|0.0|100
0|2021-11-14|4437.0|0|4437.0|0|71.0|0|0.0|100
0|2021-11-15|4441.0|0|4441.0|0|71.0|0|0.0|100
0|2021-11-16|4450.0|0|4450.0|0|71.0|0|0.0|100
0|2021-11-17|4461.0|0|4461.0|0|71.0|0|0.0|100
0|2021-11-18|4467.0|0|4467.0|0|71.0|0|0.0|100
0|2021-11-19|4474.0|0|4474.0|0|71.0|0|0.0|100
0|2021-11-20|4474.0|0|4474.0|0|71.0|0|0.0|100
0|2021-11-21|4474.0|0|4474.0|0|71.0|0|0.0|100
0|2021-11-22|4488.0|0|4488.0|0|71.0|0|0.0|100
0|2021-11-23|4494.0|0|4494.0|0|71.0|0|0.0|100
0|2021-11-24|4507.0|0|4507.0|0|71.0|0|0.0|100
0|2021-11-25|4507.0|0|4507.0|0|71.0|0|0.0|100
0|2021-11-26|4507.0|0|4507.0|0|71.0|0|0.0|100
0|2021-11-27|4507.0|0|4507.0|0|71.0|0|0.0|100
0|2021-11-28|4507.0|0|4507.0|0|71.0|0|0.0|100
0|2021-11-29|4530.0|0|4530.0|0|72.0|0|0.0|100
0|2021-11-30|4533.0|0|4533.0|0|72.0|0|0.0|100
0|2021-12-01|4543.0|0|4543.0|0|73.0|0|0.0|100
0|2021-12-02|4561.0|0|4561.0|0|73.0|0|0.0|100
0|2021-12-03|4582.0|0|4582.0|0|73.0|0|0.0|100
0|2021-12-04|4582.0|0|4582.0|0|73.0|0|0.0|100
0|2021-12-05|4582.0|0|4582.0|0|73.0|0|0.0|100
0|2021-12-06|4619.0|0|4619.0|0|73.0|0|0.0|100
0|2021-12-07|4628.0|0|4628.0|0|73.0|0|0.0|100
0|2021-12-08|4644.0|0|4644.0|0|73.0|0|0.0|100
0|2021-12-09|4655.0|0|4655.0|0|73.0|0|0.0|100
0|2021-12-10|4676.0|0|4676.0|0|74.0|0|0.0|100
0|2021-12-11|4676.0|0|4676.0|0|74.0|0|0.0|100
0|2021-12-12|4676.0|0|4676.0|0|74.0|0|0.0|100
0|2021-12-13|4718.0|0|4718.0|0|74.0|0|0.0|100
0|2021-12-14|4718.0|0|4733.0|0|74.0|0|0.0|100
0|2021-12-15|4758.0|0|4758.0|0|74.0|0|0.0|100
0|2021-12-16|4784.0|0|4784.0|0|74.0|0|0.0|100
0|2021-12-17|4793.0|0|4793.0|0|74.0|0|0.0|100
