|dates|Newberry_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Newberry_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Newberry_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Newberry_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Newberry_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Newberry_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Newberry_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Newberry_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7385.0|0|7385.0|0|143.0|0|0.0|100
0|2021-10-18|7419.0|0|7419.0|0|144.0|0|0.0|100
0|2021-10-19|7426.0|0|7426.0|0|144.0|0|0.0|100
0|2021-10-20|7430.0|0|7430.0|0|144.0|0|0.0|100
0|2021-10-21|7445.0|0|7445.0|0|144.0|0|0.0|100
0|2021-10-22|7454.0|0|7454.0|0|144.0|0|0.0|100
0|2021-10-23|7454.0|0|7454.0|0|144.0|0|0.0|100
0|2021-10-24|7454.0|0|7454.0|0|144.0|0|0.0|100
0|2021-10-25|7478.0|0|7478.0|0|146.0|0|0.0|100
0|2021-10-26|7488.0|0|7488.0|0|146.0|0|0.0|100
0|2021-10-27|7491.0|0|7491.0|0|146.0|0|0.0|100
0|2021-10-28|7501.0|0|7501.0|0|146.0|0|0.0|100
0|2021-10-29|7516.0|0|7516.0|0|146.0|0|0.0|100
0|2021-10-30|7516.0|0|7516.0|0|146.0|0|0.0|100
0|2021-10-31|7516.0|0|7516.0|0|146.0|0|0.0|100
0|2021-11-01|7540.0|0|7540.0|0|146.0|0|0.0|100
0|2021-11-02|7543.0|0|7543.0|0|146.0|0|0.0|100
0|2021-11-03|7554.0|0|7554.0|0|146.0|0|0.0|100
0|2021-11-04|7562.0|0|7562.0|0|146.0|0|0.0|100
0|2021-11-05|7568.0|0|7568.0|0|146.0|0|0.0|100
0|2021-11-06|7568.0|0|7568.0|0|146.0|0|0.0|100
0|2021-11-07|7568.0|0|7568.0|0|146.0|0|0.0|100
0|2021-11-08|7584.0|0|7584.0|0|147.0|0|0.0|100
0|2021-11-09|7587.0|0|7587.0|0|147.0|0|0.0|100
0|2021-11-10|7593.0|0|7593.0|0|147.0|0|0.0|100
0|2021-11-11|7593.0|0|7593.0|0|147.0|0|0.0|100
0|2021-11-12|7602.0|0|7602.0|0|147.0|0|0.0|100
0|2021-11-13|7602.0|0|7602.0|0|147.0|0|0.0|100
0|2021-11-14|7602.0|0|7602.0|0|147.0|0|0.0|100
0|2021-11-15|7613.0|0|7613.0|0|147.0|0|0.0|100
0|2021-11-16|7617.0|0|7617.0|0|147.0|0|0.0|100
0|2021-11-17|7619.0|0|7619.0|0|147.0|0|0.0|100
0|2021-11-18|7629.0|0|7629.0|0|147.0|0|0.0|100
0|2021-11-19|7637.0|0|7637.0|0|147.0|0|0.0|100
0|2021-11-20|7637.0|0|7637.0|0|147.0|0|0.0|100
0|2021-11-21|7637.0|0|7637.0|0|147.0|0|0.0|100
0|2021-11-22|7667.0|0|7667.0|0|147.0|0|0.0|100
0|2021-11-23|7670.0|0|7670.0|0|147.0|0|0.0|100
0|2021-11-24|7671.0|0|7669.0|0|147.0|0|0.0|100
0|2021-11-25|7668.0|0|7668.0|0|147.0|0|0.0|100
0|2021-11-26|7676.0|0|7675.0|0|148.0|0|0.0|100
0|2021-11-27|7676.0|0|7675.0|0|148.0|0|0.0|100
0|2021-11-28|7676.0|0|7675.0|0|148.0|0|0.0|100
0|2021-11-29|7702.0|0|7702.0|0|148.0|0|0.0|100
0|2021-11-30|7707.0|0|7707.0|0|148.0|0|0.0|100
0|2021-12-01|7708.0|0|7708.0|0|149.0|0|0.0|100
0|2021-12-02|7728.0|0|7728.0|0|149.0|0|0.0|100
0|2021-12-03|7741.0|0|7741.0|0|149.0|0|0.0|100
0|2021-12-04|7741.0|0|7741.0|0|149.0|0|0.0|100
0|2021-12-05|7741.0|0|7741.0|0|149.0|0|0.0|100
0|2021-12-06|7773.0|0|7773.0|0|151.0|0|0.0|100
0|2021-12-07|7782.0|0|7782.0|0|151.0|0|0.0|100
0|2021-12-08|7789.0|0|7789.0|0|151.0|0|0.0|100
0|2021-12-09|7795.0|0|7795.0|0|151.0|0|0.0|100
0|2021-12-10|7803.0|0|7803.0|0|151.0|0|0.0|100
0|2021-12-11|7803.0|0|7803.0|0|151.0|0|0.0|100
0|2021-12-12|7803.0|0|7803.0|0|151.0|0|0.0|100
0|2021-12-13|7828.0|0|7828.0|0|152.0|0|0.0|100
0|2021-12-14|7828.0|0|7835.0|0|152.0|0|0.0|100
0|2021-12-15|7845.0|0|7845.0|0|153.0|0|0.0|100
