|dates|Cochise_Arizona_UnitedStates.JHU_ConfirmedCases.data|Cochise_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Cochise_Arizona_UnitedStates.NYT_ConfirmedCases.data|Cochise_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Cochise_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Cochise_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Cochise_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Cochise_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15197.0|0|15197.0|0|331.0|0|0.0|100
0|2021-10-18|15197.0|0|15197.0|0|331.0|0|0.0|100
0|2021-10-19|15281.0|0|15281.0|0|335.0|0|0.0|100
0|2021-10-20|15328.0|0|15328.0|0|335.0|0|0.0|100
0|2021-10-21|15366.0|0|15366.0|0|337.0|0|0.0|100
0|2021-10-22|15455.0|0|15455.0|0|339.0|0|0.0|100
0|2021-10-23|15504.0|0|15504.0|0|339.0|0|0.0|100
0|2021-10-24|15550.0|0|15550.0|0|340.0|0|0.0|100
0|2021-10-25|15555.0|0|15555.0|0|340.0|0|0.0|100
0|2021-10-26|15556.0|0|15556.0|0|342.0|0|0.0|100
0|2021-10-27|15673.0|0|15673.0|0|342.0|0|0.0|100
0|2021-10-28|15728.0|0|15728.0|0|344.0|0|0.0|100
0|2021-10-29|15778.0|0|15778.0|0|344.0|0|0.0|100
0|2021-10-30|15882.0|0|15882.0|0|346.0|0|0.0|100
0|2021-10-31|15934.0|0|15934.0|0|346.0|0|0.0|100
0|2021-11-01|15997.0|0|15997.0|0|346.0|0|0.0|100
0|2021-11-02|16002.0|0|16002.0|0|345.0|0|0.0|100
0|2021-11-03|16064.0|0|16064.0|0|351.0|0|0.0|100
0|2021-11-04|16183.0|0|16183.0|0|351.0|0|0.0|100
0|2021-11-05|16289.0|0|16289.0|0|357.0|0|0.0|100
0|2021-11-06|16386.0|0|16386.0|0|357.0|0|0.0|100
0|2021-11-07|16466.0|0|16466.0|0|358.0|0|0.0|100
0|2021-11-08|16534.0|0|16534.0|0|358.0|0|0.0|100
0|2021-11-09|16553.0|0|16553.0|0|361.0|0|0.0|100
0|2021-11-10|16553.0|0|16651.0|0|361.0|0|0.0|100
0|2021-11-11|16719.0|0|16719.0|0|362.0|0|0.0|100
0|2021-11-12|16783.0|0|16783.0|0|363.0|0|0.0|100
0|2021-11-13|16851.0|0|16851.0|0|364.0|0|0.0|100
0|2021-11-14|16939.0|0|16939.0|0|364.0|0|0.0|100
0|2021-11-15|17031.0|0|17031.0|0|364.0|0|0.0|100
0|2021-11-16|17032.0|0|17032.0|0|366.0|0|0.0|100
0|2021-11-17|17124.0|0|17124.0|0|366.0|0|0.0|100
0|2021-11-18|17185.0|0|17185.0|0|369.0|0|0.0|100
0|2021-11-19|17307.0|0|17307.0|0|374.0|0|0.0|100
0|2021-11-20|17402.0|0|17402.0|0|376.0|0|0.0|100
0|2021-11-21|17484.0|0|17484.0|0|376.0|0|0.0|100
0|2021-11-22|17547.0|0|17547.0|0|376.0|0|0.0|100
0|2021-11-23|17589.0|0|17589.0|0|378.0|0|0.0|100
0|2021-11-24|17689.0|0|17689.0|0|381.0|0|0.0|100
0|2021-11-25|17747.0|0|17747.0|0|383.0|0|0.0|100
0|2021-11-26|17833.0|0|17833.0|0|385.0|0|0.0|100
0|2021-11-27|17951.0|0|17951.0|0|387.0|0|0.0|100
0|2021-11-28|17993.0|0|17993.0|0|388.0|0|0.0|100
0|2021-11-29|18016.0|0|18016.0|0|388.0|0|0.0|100
0|2021-11-30|18016.0|0|18062.0|0|388.0|0|0.0|100
0|2021-12-01|18114.0|0|18114.0|0|392.0|0|0.0|100
0|2021-12-02|18169.0|0|18169.0|0|392.0|0|0.0|100
0|2021-12-03|18321.0|0|18321.0|0|392.0|0|0.0|100
0|2021-12-04|18548.0|0|18548.0|0|408.0|0|0.0|100
0|2021-12-05|18659.0|0|18659.0|0|408.0|0|0.0|100
0|2021-12-06|18720.0|0|18720.0|0|408.0|0|0.0|100
0|2021-12-07|18756.0|0|18756.0|0|415.0|0|0.0|100
0|2021-12-08|18834.0|0|18834.0|0|418.0|0|0.0|100
0|2021-12-09|18872.0|0|18872.0|0|418.0|0|0.0|100
0|2021-12-10|18958.0|0|18958.0|0|419.0|0|0.0|100
0|2021-12-11|19024.0|0|19024.0|0|422.0|0|0.0|100
0|2021-12-12|19098.0|0|19098.0|0|422.0|0|0.0|100
0|2021-12-13|19098.0|0|19126.0|0|422.0|0|0.0|100
0|2021-12-14|19098.0|0|19144.0|0|422.0|0|0.0|100
0|2021-12-15|19278.0|0|19278.0|0|433.0|0|0.0|100
0|2021-12-16|19350.0|0|19350.0|0|433.0|0|0.0|100
0|2021-12-17|19404.0|0|19404.0|0|438.0|0|0.0|100
0|2021-12-18|19404.0|0|19469.0|0|438.0|0|0.0|100
0|2021-12-19|19538.0|0|19538.0|0|440.0|0|0.0|100
0|2021-12-20|19564.0|0|19564.0|0|440.0|0|0.0|100
0|2021-12-21|19599.0|0|19599.0|0|448.0|0|0.0|100
0|2021-12-22|19644.0|0|19644.0|0|454.0|0|0.0|100
0|2021-12-23|19676.0|0|19676.0|0|454.0|0|0.0|100
0|2021-12-24|19746.0|0|19746.0|0|456.0|0|0.0|100
0|2021-12-25|19746.0|0|19788.0|0|456.0|0|0.0|100
0|2021-12-26|19788.0|0|19788.0|0|459.0|0|0.0|100
0|2021-12-27|19869.0|0|19869.0|0|459.0|0|0.0|100
0|2021-12-28|19869.0|0|19881.0|0|459.0|0|0.0|100
0|2021-12-29|19881.0|0|19909.0|0|464.0|0|0.0|100
0|2021-12-30|19909.0|0|19985.0|0|465.0|0|0.0|100
0|2021-12-31|20079.0|0|20079.0|0|466.0|0|0.0|100
0|2022-01-01|20157.0|0|20157.0|0|469.0|0|0.0|100
0|2022-01-02|20156.0|0|20156.0|0|469.0|0|0.0|100
0|2022-01-03|20277.0|0|20277.0|0|469.0|0|0.0|100
0|2022-01-04|20326.0|0|20326.0|0|472.0|0|0.0|100
0|2022-01-05|20399.0|0|20399.0|0|476.0|0|0.0|100
0|2022-01-06|20555.0|0|20555.0|0|476.0|0|0.0|100
0|2022-01-07|20725.0|0|20725.0|0|476.0|0|0.0|100
0|2022-01-08|20970.0|0|20970.0|0|477.0|0|0.0|100
0|2022-01-09|20970.0|0|21311.0|0|477.0|0|0.0|100
0|2022-01-10|21469.0|0|21469.0|0|477.0|0|0.0|100
0|2022-01-11|21605.0|0|21605.0|0|484.0|0|0.0|100
0|2022-01-12|21916.0|0|21916.0|0|483.0|0|0.0|100
0|2022-01-13|21916.0|0|22080.0|0|483.0|0|0.0|100
0|2022-01-14|22285.0|0|22285.0|0|483.0|0|0.0|100
0|2022-01-15|22285.0|0|22675.0|0|483.0|0|0.0|100
0|2022-01-16|22334.0|0|22978.0|0|486.0|0|0.0|100
0|2022-01-17|23090.0|0|0.0|100|487.0|0|0.0|100
