|dates|Reeves_Texas_UnitedStates.JHU_ConfirmedCases.data|Reeves_Texas_UnitedStates.JHU_ConfirmedCases.missing|Reeves_Texas_UnitedStates.NYT_ConfirmedCases.data|Reeves_Texas_UnitedStates.NYT_ConfirmedCases.missing|Reeves_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Reeves_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Reeves_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Reeves_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3477.0|0|3477.0|0|52.0|0|0.0|100
0|2021-10-18|3477.0|0|3477.0|0|52.0|0|0.0|100
0|2021-10-19|3488.0|0|3488.0|0|52.0|0|0.0|100
0|2021-10-20|3498.0|0|3498.0|0|53.0|0|0.0|100
0|2021-10-21|3500.0|0|3500.0|0|53.0|0|0.0|100
0|2021-10-22|3513.0|0|3513.0|0|53.0|0|0.0|100
0|2021-10-23|3521.0|0|3521.0|0|53.0|0|0.0|100
0|2021-10-24|3522.0|0|3522.0|0|53.0|0|0.0|100
0|2021-10-25|3528.0|0|3528.0|0|53.0|0|0.0|100
0|2021-10-26|3531.0|0|3531.0|0|53.0|0|0.0|100
0|2021-10-27|3536.0|0|3536.0|0|53.0|0|0.0|100
0|2021-10-28|3540.0|0|3540.0|0|53.0|0|0.0|100
0|2021-10-29|3543.0|0|3543.0|0|53.0|0|0.0|100
0|2021-10-30|3544.0|0|3544.0|0|53.0|0|0.0|100
0|2021-10-31|3546.0|0|3546.0|0|54.0|0|0.0|100
0|2021-11-01|3551.0|0|3551.0|0|54.0|0|0.0|100
0|2021-11-02|3552.0|0|3552.0|0|54.0|0|0.0|100
0|2021-11-03|3558.0|0|3558.0|0|54.0|0|0.0|100
0|2021-11-04|3571.0|0|3571.0|0|54.0|0|0.0|100
0|2021-11-05|3577.0|0|3577.0|0|55.0|0|0.0|100
0|2021-11-06|3600.0|0|3600.0|0|56.0|0|0.0|100
0|2021-11-07|3607.0|0|3607.0|0|56.0|0|0.0|100
0|2021-11-08|3613.0|0|3613.0|0|56.0|0|0.0|100
0|2021-11-09|3623.0|0|3623.0|0|56.0|0|0.0|100
