|dates|Marquette_Michigan_UnitedStates.JHU_ConfirmedCases.data|Marquette_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Marquette_Michigan_UnitedStates.NYT_ConfirmedCases.data|Marquette_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Marquette_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Marquette_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Marquette_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Marquette_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6815.0|0|7667.0|0|75.0|0|0.0|100
0|2021-10-18|6876.0|0|7728.0|0|75.0|0|0.0|100
0|2021-10-19|6876.0|0|7728.0|0|75.0|0|0.0|100
0|2021-10-20|6957.0|0|7809.0|0|77.0|0|0.0|100
0|2021-10-21|6957.0|0|7809.0|0|77.0|0|0.0|100
0|2021-10-22|7013.0|0|7865.0|0|77.0|0|0.0|100
0|2021-10-23|7013.0|0|7865.0|0|77.0|0|0.0|100
0|2021-10-24|7013.0|0|7865.0|0|77.0|0|0.0|100
0|2021-10-25|7066.0|0|7918.0|0|77.0|0|0.0|100
0|2021-10-26|7066.0|0|7918.0|0|77.0|0|0.0|100
0|2021-10-27|7178.0|0|8030.0|0|79.0|0|0.0|100
0|2021-10-28|7178.0|0|8030.0|0|79.0|0|0.0|100
0|2021-10-29|7248.0|0|8100.0|0|81.0|0|0.0|100
0|2021-10-30|7248.0|0|8100.0|0|81.0|0|0.0|100
0|2021-10-31|7248.0|0|8100.0|0|81.0|0|0.0|100
0|2021-11-01|7303.0|0|8155.0|0|81.0|0|0.0|100
0|2021-11-02|7303.0|0|8155.0|0|81.0|0|0.0|100
0|2021-11-03|7408.0|0|8260.0|0|81.0|0|0.0|100
0|2021-11-04|7408.0|0|8260.0|0|81.0|0|0.0|100
0|2021-11-05|7478.0|0|8330.0|0|81.0|0|0.0|100
0|2021-11-06|7478.0|0|8330.0|0|81.0|0|0.0|100
0|2021-11-07|7478.0|0|8330.0|0|81.0|0|0.0|100
0|2021-11-08|7541.0|0|8393.0|0|81.0|0|0.0|100
0|2021-11-09|7541.0|0|8393.0|0|81.0|0|0.0|100
