|dates|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Lehigh_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Lehigh_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|47612.0|0|47612.0|0|922.0|0|0.0|100
0|2021-10-18|47643.0|0|47643.0|0|924.0|0|0.0|100
0|2021-10-19|47712.0|0|47712.0|0|925.0|0|0.0|100
0|2021-10-20|47784.0|0|47784.0|0|930.0|0|0.0|100
0|2021-10-21|47872.0|0|47872.0|0|932.0|0|0.0|100
0|2021-10-22|47984.0|0|47984.0|0|933.0|0|0.0|100
0|2021-10-23|48060.0|0|48060.0|0|933.0|0|0.0|100
0|2021-10-24|48121.0|0|48121.0|0|933.0|0|0.0|100
0|2021-10-25|48154.0|0|48154.0|0|933.0|0|0.0|100
0|2021-10-26|48225.0|0|48225.0|0|936.0|0|0.0|100
0|2021-10-27|48278.0|0|48278.0|0|937.0|0|0.0|100
0|2021-10-28|48369.0|0|48369.0|0|937.0|0|0.0|100
0|2021-10-29|48482.0|0|48482.0|0|938.0|0|0.0|100
0|2021-10-30|48544.0|0|48544.0|0|938.0|0|0.0|100
0|2021-10-31|48618.0|0|48618.0|0|939.0|0|0.0|100
0|2021-11-01|48618.0|0|48618.0|0|939.0|0|0.0|100
0|2021-11-02|48768.0|0|48768.0|0|939.0|0|0.0|100
0|2021-11-03|48818.0|0|48818.0|0|943.0|0|0.0|100
0|2021-11-04|48932.0|0|48932.0|0|944.0|0|0.0|100
0|2021-11-05|48991.0|0|48991.0|0|945.0|0|0.0|100
0|2021-11-06|49078.0|0|49078.0|0|946.0|0|0.0|100
0|2021-11-07|49157.0|0|49157.0|0|946.0|0|0.0|100
0|2021-11-08|49207.0|0|49207.0|0|947.0|0|0.0|100
0|2021-11-09|49300.0|0|49300.0|0|947.0|0|0.0|100
0|2021-11-10|49391.0|0|49391.0|0|950.0|0|0.0|100
0|2021-11-11|49519.0|0|49519.0|0|951.0|0|0.0|100
0|2021-11-12|49611.0|0|49611.0|0|951.0|0|0.0|100
0|2021-11-13|50148.0|0|50148.0|0|953.0|0|0.0|100
0|2021-11-14|50254.0|0|50254.0|0|953.0|0|0.0|100
0|2021-11-15|50329.0|0|50329.0|0|953.0|0|0.0|100
0|2021-11-16|50486.0|0|50486.0|0|953.0|0|0.0|100
0|2021-11-17|50662.0|0|50662.0|0|955.0|0|0.0|100
0|2021-11-18|50839.0|0|50839.0|0|957.0|0|0.0|100
0|2021-11-19|51023.0|0|51023.0|0|957.0|0|0.0|100
