|dates|Arroyo_PuertoRico_UnitedStates.BLS_EmployedPopulation.data|Arroyo_PuertoRico_UnitedStates.BLS_EmployedPopulation.missing|Arroyo_PuertoRico_UnitedStates.BLS_UnemployedPopulation.data|Arroyo_PuertoRico_UnitedStates.BLS_UnemployedPopulation.missing|Arroyo_PuertoRico_UnitedStates.BLS_UnemploymentRate.data|Arroyo_PuertoRico_UnitedStates.BLS_UnemploymentRate.missing|Arroyo_PuertoRico_UnitedStates.BLS_LaborForcePopulation.data|Arroyo_PuertoRico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-02|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-03|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-04|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-05|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-06|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-07|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-08|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-09|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-10|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-11|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-12|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-13|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-14|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-15|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-16|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-17|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-18|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-19|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-20|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-21|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-22|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-23|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-24|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-25|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-26|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-27|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
0|2020-01-28|3821.0|0|713.0|0|15.72562858403176|0|4534.0|0
