|dates|Presidio_Texas_UnitedStates.JHU_ConfirmedCases.data|Presidio_Texas_UnitedStates.JHU_ConfirmedCases.missing|Presidio_Texas_UnitedStates.NYT_ConfirmedCases.data|Presidio_Texas_UnitedStates.NYT_ConfirmedCases.missing|Presidio_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Presidio_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Presidio_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Presidio_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|896.0|0|896.0|0|28.0|0|0.0|100
0|2021-10-18|896.0|0|896.0|0|28.0|0|0.0|100
0|2021-10-19|896.0|0|896.0|0|28.0|0|0.0|100
0|2021-10-20|897.0|0|897.0|0|28.0|0|0.0|100
0|2021-10-21|897.0|0|897.0|0|28.0|0|0.0|100
0|2021-10-22|897.0|0|897.0|0|28.0|0|0.0|100
0|2021-10-23|898.0|0|898.0|0|28.0|0|0.0|100
0|2021-10-24|898.0|0|898.0|0|28.0|0|0.0|100
0|2021-10-25|898.0|0|898.0|0|28.0|0|0.0|100
0|2021-10-26|898.0|0|898.0|0|28.0|0|0.0|100
0|2021-10-27|898.0|0|898.0|0|28.0|0|0.0|100
0|2021-10-28|898.0|0|898.0|0|28.0|0|0.0|100
0|2021-10-29|898.0|0|898.0|0|28.0|0|0.0|100
0|2021-10-30|898.0|0|898.0|0|28.0|0|0.0|100
0|2021-10-31|899.0|0|899.0|0|28.0|0|0.0|100
0|2021-11-01|899.0|0|899.0|0|28.0|0|0.0|100
0|2021-11-02|899.0|0|899.0|0|28.0|0|0.0|100
0|2021-11-03|899.0|0|899.0|0|28.0|0|0.0|100
0|2021-11-04|900.0|0|900.0|0|28.0|0|0.0|100
0|2021-11-05|902.0|0|902.0|0|28.0|0|0.0|100
0|2021-11-06|903.0|0|903.0|0|28.0|0|0.0|100
0|2021-11-07|904.0|0|904.0|0|28.0|0|0.0|100
0|2021-11-08|904.0|0|904.0|0|28.0|0|0.0|100
0|2021-11-09|911.0|0|911.0|0|28.0|0|0.0|100
0|2021-11-10|911.0|0|911.0|0|28.0|0|0.0|100
0|2021-11-11|913.0|0|913.0|0|28.0|0|0.0|100
0|2021-11-12|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-13|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-14|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-15|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-16|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-17|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-18|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-19|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-20|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-21|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-22|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-23|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-24|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-25|914.0|0|914.0|0|28.0|0|0.0|100
0|2021-11-26|914.0|0|914.0|0|28.0|0|0.0|100
