|dates|Chase_Kansas_UnitedStates.JHU_ConfirmedCases.data|Chase_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Chase_Kansas_UnitedStates.NYT_ConfirmedCases.data|Chase_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Chase_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Chase_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Chase_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Chase_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|342.0|0|342.0|0|4.0|0|0.0|100
0|2021-10-18|345.0|0|345.0|0|4.0|0|0.0|100
0|2021-10-19|345.0|0|345.0|0|4.0|0|0.0|100
0|2021-10-20|350.0|0|350.0|0|4.0|0|0.0|100
0|2021-10-21|350.0|0|350.0|0|4.0|0|0.0|100
0|2021-10-22|353.0|0|353.0|0|4.0|0|0.0|100
0|2021-10-23|353.0|0|353.0|0|4.0|0|0.0|100
0|2021-10-24|353.0|0|353.0|0|4.0|0|0.0|100
0|2021-10-25|353.0|0|353.0|0|4.0|0|0.0|100
0|2021-10-26|353.0|0|353.0|0|4.0|0|0.0|100
0|2021-10-27|365.0|0|365.0|0|4.0|0|0.0|100
0|2021-10-28|365.0|0|365.0|0|4.0|0|0.0|100
0|2021-10-29|368.0|0|368.0|0|4.0|0|0.0|100
0|2021-10-30|368.0|0|368.0|0|4.0|0|0.0|100
0|2021-10-31|368.0|0|368.0|0|4.0|0|0.0|100
0|2021-11-01|369.0|0|369.0|0|4.0|0|0.0|100
0|2021-11-02|369.0|0|369.0|0|4.0|0|0.0|100
0|2021-11-03|369.0|0|369.0|0|4.0|0|0.0|100
0|2021-11-04|369.0|0|369.0|0|4.0|0|0.0|100
0|2021-11-05|372.0|0|372.0|0|4.0|0|0.0|100
0|2021-11-06|372.0|0|372.0|0|4.0|0|0.0|100
0|2021-11-07|372.0|0|372.0|0|4.0|0|0.0|100
0|2021-11-08|374.0|0|374.0|0|4.0|0|0.0|100
0|2021-11-09|374.0|0|374.0|0|4.0|0|0.0|100
0|2021-11-10|378.0|0|378.0|0|4.0|0|0.0|100
0|2021-11-11|378.0|0|378.0|0|4.0|0|0.0|100
0|2021-11-12|381.0|0|381.0|0|4.0|0|0.0|100
0|2021-11-13|381.0|0|381.0|0|4.0|0|0.0|100
0|2021-11-14|381.0|0|381.0|0|4.0|0|0.0|100
0|2021-11-15|384.0|0|384.0|0|4.0|0|0.0|100
0|2021-11-16|384.0|0|384.0|0|4.0|0|0.0|100
0|2021-11-17|393.0|0|393.0|0|4.0|0|0.0|100
0|2021-11-18|393.0|0|393.0|0|4.0|0|0.0|100
0|2021-11-19|398.0|0|398.0|0|4.0|0|0.0|100
