|dates|Nash_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Nash_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Nash_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Nash_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Nash_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Nash_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Nash_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Nash_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15116.0|0|15116.0|0|226.0|0|0.0|100
0|2021-10-18|15167.0|0|15167.0|0|226.0|0|0.0|100
0|2021-10-19|15179.0|0|15179.0|0|226.0|0|0.0|100
0|2021-10-20|15199.0|0|15199.0|0|229.0|0|0.0|100
0|2021-10-21|15212.0|0|15212.0|0|233.0|0|0.0|100
0|2021-10-22|15210.0|0|15210.0|0|233.0|0|0.0|100
0|2021-10-23|15210.0|0|15210.0|0|233.0|0|0.0|100
0|2021-10-24|15210.0|0|15210.0|0|233.0|0|0.0|100
0|2021-10-25|15241.0|0|15241.0|0|233.0|0|0.0|100
0|2021-10-26|15243.0|0|15243.0|0|233.0|0|0.0|100
0|2021-10-27|15230.0|0|15230.0|0|233.0|0|0.0|100
0|2021-10-28|15234.0|0|15234.0|0|233.0|0|0.0|100
0|2021-10-29|15256.0|0|15256.0|0|233.0|0|0.0|100
0|2021-10-30|15256.0|0|15256.0|0|233.0|0|0.0|100
0|2021-10-31|15256.0|0|15256.0|0|233.0|0|0.0|100
0|2021-11-01|15282.0|0|15282.0|0|233.0|0|0.0|100
0|2021-11-02|15292.0|0|15292.0|0|233.0|0|0.0|100
0|2021-11-03|15302.0|0|15302.0|0|234.0|0|0.0|100
0|2021-11-04|15321.0|0|15321.0|0|234.0|0|0.0|100
0|2021-11-05|15332.0|0|15332.0|0|234.0|0|0.0|100
0|2021-11-06|15332.0|0|15332.0|0|234.0|0|0.0|100
0|2021-11-07|15332.0|0|15332.0|0|234.0|0|0.0|100
0|2021-11-08|15375.0|0|15375.0|0|234.0|0|0.0|100
0|2021-11-09|15380.0|0|15380.0|0|234.0|0|0.0|100
0|2021-11-10|15380.0|0|15389.0|0|234.0|0|0.0|100
0|2021-11-11|15389.0|0|15389.0|0|234.0|0|0.0|100
0|2021-11-12|15408.0|0|15408.0|0|234.0|0|0.0|100
0|2021-11-13|15408.0|0|15408.0|0|234.0|0|0.0|100
0|2021-11-14|15408.0|0|15408.0|0|234.0|0|0.0|100
0|2021-11-15|15439.0|0|15439.0|0|234.0|0|0.0|100
0|2021-11-16|15446.0|0|15446.0|0|234.0|0|0.0|100
