|dates|Sharkey_Mississippi_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sharkey_Mississippi_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sharkey_Mississippi_UnitedStates.Male_Total_Population.data|Sharkey_Mississippi_UnitedStates.Male_Total_Population.missing|Sharkey_Mississippi_UnitedStates.Female_Total_Population.data|Sharkey_Mississippi_UnitedStates.Female_Total_Population.missing|Sharkey_Mississippi_UnitedStates.MaleAndFemale_Under18_Population.data|Sharkey_Mississippi_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-18|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-19|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-20|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-21|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-22|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-23|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-24|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-25|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-26|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-27|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-28|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-29|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-30|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-10-31|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-01|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-02|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-03|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-04|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-05|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-06|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-07|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-08|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-09|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-10|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-11|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-12|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-13|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-14|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-15|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-16|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-17|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-18|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-19|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-20|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-21|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-22|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-23|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-24|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-25|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-26|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-27|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-28|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-29|838.0|0|2091.0|0|2286.0|0|1056.0|0
0|2021-11-30|838.0|0|2091.0|0|2286.0|0|1056.0|0
