|dates|Lyon_Kansas_UnitedStates.BLS_EmployedPopulation.data|Lyon_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Lyon_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Lyon_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Lyon_Kansas_UnitedStates.BLS_UnemploymentRate.data|Lyon_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Lyon_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Lyon_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-18|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-19|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-20|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-21|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-22|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-23|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-24|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-25|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-26|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-27|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-28|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-29|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-30|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-10-31|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-11-01|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-11-02|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-11-03|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
0|2021-11-04|15914.0|0|520.0|0|3.164171838870634|0|16434.0|0
