|dates|Napa_California_UnitedStates.BLS_EmployedPopulation.data|Napa_California_UnitedStates.BLS_EmployedPopulation.missing|Napa_California_UnitedStates.BLS_UnemployedPopulation.data|Napa_California_UnitedStates.BLS_UnemployedPopulation.missing|Napa_California_UnitedStates.BLS_UnemploymentRate.data|Napa_California_UnitedStates.BLS_UnemploymentRate.missing|Napa_California_UnitedStates.BLS_LaborForcePopulation.data|Napa_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-18|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-19|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-20|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-21|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-22|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-23|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-24|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-25|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-26|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-27|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-28|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-29|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-30|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-10-31|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-11-01|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-11-02|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-11-03|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-11-04|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-11-05|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-11-06|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
0|2021-11-07|67421.0|0|3958.0|0|5.5450482634948655|0|71379.0|0
