|dates|Trego_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Trego_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Trego_Kansas_UnitedStates.Male_Total_Population.data|Trego_Kansas_UnitedStates.Male_Total_Population.missing|Trego_Kansas_UnitedStates.Female_Total_Population.data|Trego_Kansas_UnitedStates.Female_Total_Population.missing|Trego_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Trego_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-18|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-19|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-20|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-21|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-22|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-23|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-24|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-25|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-26|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-27|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-28|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-29|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-30|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-10-31|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-01|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-02|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-03|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-04|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-05|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-06|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-07|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-08|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-09|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-10|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-11|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-12|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-13|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-14|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-15|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-16|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-17|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-18|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-19|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-20|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-21|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-22|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-23|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-24|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-25|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-26|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-27|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-28|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-29|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-11-30|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-01|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-02|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-03|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-04|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-05|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-06|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-07|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-08|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-09|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-10|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-11|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-12|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-13|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-14|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-15|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-16|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-17|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-18|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-19|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-20|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-21|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-22|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-23|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-24|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-25|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-26|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-27|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-28|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-29|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-30|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2021-12-31|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-01|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-02|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-03|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-04|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-05|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-06|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-07|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-08|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-09|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-10|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-11|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-12|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-13|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-14|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-15|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-16|740.0|0|1418.0|0|1375.0|0|500.0|0
0|2022-01-17|740.0|0|1418.0|0|1375.0|0|500.0|0
