|dates|Macon_Illinois_UnitedStates.JHU_ConfirmedCases.data|Macon_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Macon_Illinois_UnitedStates.NYT_ConfirmedCases.data|Macon_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Macon_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Macon_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Macon_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Macon_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15222.0|0|15222.0|0|250.0|0|0.0|100
0|2021-10-18|15259.0|0|15259.0|0|250.0|0|0.0|100
0|2021-10-19|15280.0|0|15280.0|0|250.0|0|0.0|100
0|2021-10-20|15305.0|0|15305.0|0|250.0|0|0.0|100
0|2021-10-21|15321.0|0|15321.0|0|251.0|0|0.0|100
0|2021-10-22|15344.0|0|15344.0|0|252.0|0|0.0|100
0|2021-10-23|15344.0|0|15344.0|0|252.0|0|0.0|100
0|2021-10-24|15344.0|0|15344.0|0|252.0|0|0.0|100
0|2021-10-25|15382.0|0|15382.0|0|252.0|0|0.0|100
0|2021-10-26|15402.0|0|15402.0|0|252.0|0|0.0|100
0|2021-10-27|15416.0|0|15416.0|0|253.0|0|0.0|100
0|2021-10-28|15439.0|0|15439.0|0|253.0|0|0.0|100
0|2021-10-29|15467.0|0|15467.0|0|253.0|0|0.0|100
0|2021-10-30|15467.0|0|15467.0|0|253.0|0|0.0|100
0|2021-10-31|15467.0|0|15467.0|0|253.0|0|0.0|100
0|2021-11-01|15533.0|0|15533.0|0|252.0|0|0.0|100
0|2021-11-02|15552.0|0|15552.0|0|252.0|0|0.0|100
0|2021-11-03|15572.0|0|15572.0|0|252.0|0|0.0|100
0|2021-11-04|15609.0|0|15609.0|0|252.0|0|0.0|100
0|2021-11-05|15630.0|0|15630.0|0|252.0|0|0.0|100
0|2021-11-06|15630.0|0|15630.0|0|252.0|0|0.0|100
0|2021-11-07|15630.0|0|15630.0|0|252.0|0|0.0|100
0|2021-11-08|15699.0|0|15699.0|0|252.0|0|0.0|100
0|2021-11-09|15720.0|0|15720.0|0|252.0|0|0.0|100
0|2021-11-10|15720.0|0|15770.0|0|252.0|0|0.0|100
0|2021-11-11|15770.0|0|15770.0|0|253.0|0|0.0|100
0|2021-11-12|15855.0|0|15855.0|0|254.0|0|0.0|100
0|2021-11-13|15855.0|0|15855.0|0|254.0|0|0.0|100
0|2021-11-14|15855.0|0|15855.0|0|254.0|0|0.0|100
