|dates|Putnam_WestVirginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Putnam_WestVirginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Putnam_WestVirginia_UnitedStates.Male_Total_Population.data|Putnam_WestVirginia_UnitedStates.Male_Total_Population.missing|Putnam_WestVirginia_UnitedStates.Female_Total_Population.data|Putnam_WestVirginia_UnitedStates.Female_Total_Population.missing|Putnam_WestVirginia_UnitedStates.MaleAndFemale_Under18_Population.data|Putnam_WestVirginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-18|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-19|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-20|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-21|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-22|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-23|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-24|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-25|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-26|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-27|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-28|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-29|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-30|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-10-31|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-11-01|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-11-02|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-11-03|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-11-04|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-11-05|10388.0|0|27871.0|0|28811.0|0|12619.0|0
0|2021-11-06|10388.0|0|27871.0|0|28811.0|0|12619.0|0
