|dates|Mercer_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Mercer_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Mercer_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Mercer_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Mercer_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1674.0|0|1674.0|0|12.0|0|0.0|100
0|2021-10-18|1676.0|0|1676.0|0|12.0|0|0.0|100
0|2021-10-19|1684.0|0|1684.0|0|12.0|0|0.0|100
0|2021-10-20|1691.0|0|1691.0|0|12.0|0|0.0|100
0|2021-10-21|1696.0|0|1696.0|0|12.0|0|0.0|100
0|2021-10-22|1705.0|0|1705.0|0|12.0|0|0.0|100
0|2021-10-23|1709.0|0|1709.0|0|12.0|0|0.0|100
0|2021-10-24|1710.0|0|1710.0|0|12.0|0|0.0|100
0|2021-10-25|1713.0|0|1713.0|0|12.0|0|0.0|100
0|2021-10-26|1723.0|0|1723.0|0|12.0|0|0.0|100
0|2021-10-27|1727.0|0|1727.0|0|13.0|0|0.0|100
0|2021-10-28|1737.0|0|1737.0|0|13.0|0|0.0|100
0|2021-10-29|1742.0|0|1742.0|0|14.0|0|0.0|100
0|2021-10-30|1747.0|0|1747.0|0|15.0|0|0.0|100
0|2021-10-31|1749.0|0|1749.0|0|15.0|0|0.0|100
0|2021-11-01|1750.0|0|1750.0|0|15.0|0|0.0|100
0|2021-11-02|1751.0|0|1751.0|0|15.0|0|0.0|100
0|2021-11-03|1755.0|0|1755.0|0|16.0|0|0.0|100
0|2021-11-04|1758.0|0|1758.0|0|16.0|0|0.0|100
0|2021-11-05|1761.0|0|1761.0|0|17.0|0|0.0|100
0|2021-11-06|1771.0|0|1771.0|0|17.0|0|0.0|100
0|2021-11-07|1771.0|0|1771.0|0|17.0|0|0.0|100
0|2021-11-08|1772.0|0|1772.0|0|17.0|0|0.0|100
0|2021-11-09|1774.0|0|1774.0|0|17.0|0|0.0|100
0|2021-11-10|1774.0|0|1776.0|0|17.0|0|0.0|100
0|2021-11-11|1780.0|0|1780.0|0|17.0|0|0.0|100
0|2021-11-12|1788.0|0|1788.0|0|17.0|0|0.0|100
0|2021-11-13|1794.0|0|1794.0|0|17.0|0|0.0|100
0|2021-11-14|1796.0|0|1796.0|0|17.0|0|0.0|100
0|2021-11-15|1796.0|0|1796.0|0|17.0|0|0.0|100
0|2021-11-16|1804.0|0|1804.0|0|17.0|0|0.0|100
0|2021-11-17|1814.0|0|1814.0|0|17.0|0|0.0|100
0|2021-11-18|1824.0|0|1824.0|0|17.0|0|0.0|100
0|2021-11-19|1830.0|0|1830.0|0|17.0|0|0.0|100
0|2021-11-20|1837.0|0|1837.0|0|17.0|0|0.0|100
0|2021-11-21|1839.0|0|1839.0|0|17.0|0|0.0|100
0|2021-11-22|1841.0|0|1841.0|0|17.0|0|0.0|100
0|2021-11-23|1852.0|0|1852.0|0|17.0|0|0.0|100
0|2021-11-24|1862.0|0|1862.0|0|17.0|0|0.0|100
0|2021-11-25|1865.0|0|1865.0|0|17.0|0|0.0|100
0|2021-11-26|1865.0|0|1865.0|0|17.0|0|0.0|100
0|2021-11-27|1871.0|0|1871.0|0|17.0|0|0.0|100
0|2021-11-28|1871.0|0|1871.0|0|17.0|0|0.0|100
0|2021-11-29|1874.0|0|1874.0|0|17.0|0|0.0|100
0|2021-11-30|1886.0|0|1886.0|0|17.0|0|0.0|100
0|2021-12-01|1895.0|0|1895.0|0|17.0|0|0.0|100
0|2021-12-02|1902.0|0|1902.0|0|17.0|0|0.0|100
0|2021-12-03|1902.0|0|1905.0|0|17.0|0|0.0|100
0|2021-12-04|1907.0|0|1907.0|0|19.0|0|0.0|100
0|2021-12-05|1908.0|0|1908.0|0|19.0|0|0.0|100
0|2021-12-06|1910.0|0|1910.0|0|19.0|0|0.0|100
0|2021-12-07|1914.0|0|1914.0|0|19.0|0|0.0|100
0|2021-12-08|1918.0|0|1918.0|0|19.0|0|0.0|100
0|2021-12-09|1921.0|0|1921.0|0|19.0|0|0.0|100
0|2021-12-10|1928.0|0|1928.0|0|19.0|0|0.0|100
0|2021-12-11|1933.0|0|1933.0|0|20.0|0|0.0|100
0|2021-12-12|1936.0|0|1936.0|0|20.0|0|0.0|100
0|2021-12-13|1938.0|0|1938.0|0|20.0|0|0.0|100
0|2021-12-14|1938.0|0|1940.0|0|20.0|0|0.0|100
0|2021-12-15|1943.0|0|1943.0|0|21.0|0|0.0|100
0|2021-12-16|1945.0|0|1945.0|0|21.0|0|0.0|100
0|2021-12-17|1949.0|0|1949.0|0|21.0|0|0.0|100
0|2021-12-18|1949.0|0|1949.0|0|21.0|0|0.0|100
0|2021-12-19|1949.0|0|1949.0|0|21.0|0|0.0|100
0|2021-12-20|1949.0|0|1949.0|0|21.0|0|0.0|100
0|2021-12-21|1953.0|0|1953.0|0|22.0|0|0.0|100
0|2021-12-22|1954.0|0|1954.0|0|22.0|0|0.0|100
0|2021-12-23|1958.0|0|1958.0|0|22.0|0|0.0|100
0|2021-12-24|1959.0|0|1959.0|0|22.0|0|0.0|100
0|2021-12-25|1960.0|0|1960.0|0|22.0|0|0.0|100
0|2021-12-26|1960.0|0|1960.0|0|22.0|0|0.0|100
