|dates|Harnett_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Harnett_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Harnett_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Harnett_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Harnett_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Harnett_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Harnett_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Harnett_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-18|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-19|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-20|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-21|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-22|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-23|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-24|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-25|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-26|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-27|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-28|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-29|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-30|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-10-31|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-01|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-02|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-03|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-04|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-05|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-06|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-07|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-08|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-09|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-10|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
0|2021-11-11|50084.0|0|2608.0|0|4.949517953389509|0|52692.0|0
