|dates|Morgan_Ohio_UnitedStates.JHU_ConfirmedCases.data|Morgan_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Morgan_Ohio_UnitedStates.NYT_ConfirmedCases.data|Morgan_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Morgan_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Morgan_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Morgan_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Morgan_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1902.0|0|1902.0|0|35.0|0|0.0|100
0|2021-10-18|1908.0|0|1908.0|0|35.0|0|0.0|100
0|2021-10-19|1915.0|0|1915.0|0|35.0|0|0.0|100
0|2021-10-20|1923.0|0|1923.0|0|35.0|0|0.0|100
0|2021-10-21|1932.0|0|1932.0|0|36.0|0|0.0|100
0|2021-10-22|1939.0|0|1939.0|0|36.0|0|0.0|100
0|2021-10-23|1940.0|0|1940.0|0|36.0|0|0.0|100
0|2021-10-24|1941.0|0|1941.0|0|36.0|0|0.0|100
0|2021-10-25|1943.0|0|1943.0|0|36.0|0|0.0|100
0|2021-10-26|1943.0|0|1943.0|0|36.0|0|0.0|100
0|2021-10-27|1949.0|0|1949.0|0|36.0|0|0.0|100
0|2021-10-28|1952.0|0|1952.0|0|36.0|0|0.0|100
0|2021-10-29|1952.0|0|1952.0|0|36.0|0|0.0|100
0|2021-10-30|1954.0|0|1954.0|0|36.0|0|0.0|100
0|2021-10-31|1957.0|0|1957.0|0|36.0|0|0.0|100
0|2021-11-01|1958.0|0|1958.0|0|36.0|0|0.0|100
0|2021-11-02|1961.0|0|1961.0|0|36.0|0|0.0|100
0|2021-11-03|1966.0|0|1966.0|0|36.0|0|0.0|100
0|2021-11-04|1968.0|0|1968.0|0|36.0|0|0.0|100
0|2021-11-05|1971.0|0|1971.0|0|36.0|0|0.0|100
0|2021-11-06|1976.0|0|1976.0|0|36.0|0|0.0|100
0|2021-11-07|1981.0|0|1981.0|0|36.0|0|0.0|100
0|2021-11-08|1981.0|0|1981.0|0|36.0|0|0.0|100
0|2021-11-09|1983.0|0|1983.0|0|37.0|0|0.0|100
0|2021-11-10|1986.0|0|1986.0|0|37.0|0|0.0|100
0|2021-11-11|1993.0|0|1993.0|0|37.0|0|0.0|100
0|2021-11-12|1997.0|0|1997.0|0|37.0|0|0.0|100
0|2021-11-13|2003.0|0|2003.0|0|37.0|0|0.0|100
0|2021-11-14|2007.0|0|2007.0|0|37.0|0|0.0|100
0|2021-11-15|2008.0|0|2008.0|0|37.0|0|0.0|100
0|2021-11-16|2016.0|0|2016.0|0|38.0|0|0.0|100
0|2021-11-17|2025.0|0|2025.0|0|38.0|0|0.0|100
0|2021-11-18|2042.0|0|2042.0|0|38.0|0|0.0|100
0|2021-11-19|2043.0|0|2043.0|0|38.0|0|0.0|100
0|2021-11-20|2049.0|0|2049.0|0|38.0|0|0.0|100
0|2021-11-21|2057.0|0|2057.0|0|38.0|0|0.0|100
0|2021-11-22|2058.0|0|2058.0|0|38.0|0|0.0|100
0|2021-11-23|2064.0|0|2064.0|0|38.0|0|0.0|100
0|2021-11-24|2071.0|0|2071.0|0|38.0|0|0.0|100
0|2021-11-25|2071.0|0|2071.0|0|38.0|0|0.0|100
0|2021-11-26|2071.0|0|2083.0|0|38.0|0|0.0|100
0|2021-11-27|2089.0|0|2089.0|0|38.0|0|0.0|100
0|2021-11-28|2096.0|0|2096.0|0|38.0|0|0.0|100
0|2021-11-29|2101.0|0|2101.0|0|38.0|0|0.0|100
0|2021-11-30|2121.0|0|2121.0|0|38.0|0|0.0|100
0|2021-12-01|2144.0|0|2144.0|0|38.0|0|0.0|100
0|2021-12-02|2152.0|0|2152.0|0|38.0|0|0.0|100
0|2021-12-03|2169.0|0|2169.0|0|39.0|0|0.0|100
0|2021-12-04|2185.0|0|2185.0|0|39.0|0|0.0|100
0|2021-12-05|2190.0|0|2190.0|0|39.0|0|0.0|100
0|2021-12-06|2194.0|0|2194.0|0|39.0|0|0.0|100
0|2021-12-07|2204.0|0|2204.0|0|39.0|0|0.0|100
0|2021-12-08|2216.0|0|2216.0|0|39.0|0|0.0|100
0|2021-12-09|2229.0|0|2229.0|0|39.0|0|0.0|100
0|2021-12-10|2238.0|0|2238.0|0|39.0|0|0.0|100
0|2021-12-11|2249.0|0|2249.0|0|39.0|0|0.0|100
0|2021-12-12|2255.0|0|2255.0|0|39.0|0|0.0|100
0|2021-12-13|2260.0|0|2260.0|0|39.0|0|0.0|100
0|2021-12-14|2260.0|0|2265.0|0|39.0|0|0.0|100
0|2021-12-15|2270.0|0|2270.0|0|39.0|0|0.0|100
0|2021-12-16|2281.0|0|2281.0|0|39.0|0|0.0|100
0|2021-12-17|2289.0|0|2289.0|0|40.0|0|0.0|100
0|2021-12-18|2298.0|0|2298.0|0|40.0|0|0.0|100
0|2021-12-19|2301.0|0|2301.0|0|40.0|0|0.0|100
0|2021-12-20|2306.0|0|2306.0|0|40.0|0|0.0|100
0|2021-12-21|2323.0|0|2323.0|0|43.0|0|0.0|100
0|2021-12-22|2332.0|0|2332.0|0|43.0|0|0.0|100
0|2021-12-23|2341.0|0|2341.0|0|43.0|0|0.0|100
0|2021-12-24|2344.0|0|2344.0|0|43.0|0|0.0|100
0|2021-12-25|2344.0|0|2344.0|0|43.0|0|0.0|100
0|2021-12-26|2348.0|0|2348.0|0|43.0|0|0.0|100
0|2021-12-27|2354.0|0|2354.0|0|43.0|0|0.0|100
0|2021-12-28|2366.0|0|2366.0|0|43.0|0|0.0|100
0|2021-12-29|2384.0|0|2384.0|0|43.0|0|0.0|100
0|2021-12-30|2397.0|0|2397.0|0|43.0|0|0.0|100
0|2021-12-31|2408.0|0|2408.0|0|46.0|0|0.0|100
0|2022-01-01|2408.0|0|2408.0|0|46.0|0|0.0|100
0|2022-01-02|2424.0|0|2424.0|0|46.0|0|0.0|100
0|2022-01-03|2441.0|0|2441.0|0|46.0|0|0.0|100
0|2022-01-04|2453.0|0|2453.0|0|47.0|0|0.0|100
0|2022-01-05|2491.0|0|2491.0|0|47.0|0|0.0|100
0|2022-01-06|2516.0|0|2516.0|0|47.0|0|0.0|100
0|2022-01-07|2529.0|0|2529.0|0|47.0|0|0.0|100
0|2022-01-08|2537.0|0|2537.0|0|47.0|0|0.0|100
0|2022-01-09|2547.0|0|2547.0|0|47.0|0|0.0|100
0|2022-01-10|2560.0|0|2560.0|0|47.0|0|0.0|100
0|2022-01-11|2582.0|0|2582.0|0|47.0|0|0.0|100
0|2022-01-12|2605.0|0|2605.0|0|47.0|0|0.0|100
0|2022-01-13|2605.0|0|2643.0|0|47.0|0|0.0|100
0|2022-01-14|2682.0|0|2682.0|0|48.0|0|0.0|100
0|2022-01-15|2722.0|0|2722.0|0|48.0|0|0.0|100
0|2022-01-16|2753.0|0|2753.0|0|48.0|0|0.0|100
0|2022-01-17|2768.0|0|0.0|100|48.0|0|0.0|100
