|dates|Archuleta_Colorado_UnitedStates.JHU_ConfirmedCases.data|Archuleta_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Archuleta_Colorado_UnitedStates.NYT_ConfirmedCases.data|Archuleta_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Archuleta_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Archuleta_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Archuleta_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Archuleta_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1429.0|0|1429.0|0|4.0|0|0.0|100
0|2021-10-18|1444.0|0|1444.0|0|4.0|0|0.0|100
0|2021-10-19|1447.0|0|1447.0|0|4.0|0|0.0|100
0|2021-10-20|1453.0|0|1453.0|0|4.0|0|0.0|100
0|2021-10-21|1459.0|0|1459.0|0|4.0|0|0.0|100
0|2021-10-22|1469.0|0|1469.0|0|4.0|0|0.0|100
0|2021-10-23|1469.0|0|1469.0|0|4.0|0|0.0|100
0|2021-10-24|1469.0|0|1469.0|0|4.0|0|0.0|100
0|2021-10-25|1481.0|0|1481.0|0|4.0|0|0.0|100
0|2021-10-26|1489.0|0|1489.0|0|4.0|0|0.0|100
0|2021-10-27|1506.0|0|1506.0|0|4.0|0|0.0|100
0|2021-10-28|1512.0|0|1512.0|0|4.0|0|0.0|100
0|2021-10-29|1525.0|0|1525.0|0|4.0|0|0.0|100
0|2021-10-30|1525.0|0|1525.0|0|4.0|0|0.0|100
0|2021-10-31|1525.0|0|1525.0|0|4.0|0|0.0|100
0|2021-11-01|1532.0|0|1532.0|0|4.0|0|0.0|100
0|2021-11-02|1538.0|0|1538.0|0|4.0|0|0.0|100
0|2021-11-03|1556.0|0|1556.0|0|4.0|0|0.0|100
0|2021-11-04|1565.0|0|1565.0|0|4.0|0|0.0|100
0|2021-11-05|1577.0|0|1577.0|0|4.0|0|0.0|100
0|2021-11-06|1577.0|0|1577.0|0|4.0|0|0.0|100
0|2021-11-07|1577.0|0|1577.0|0|4.0|0|0.0|100
0|2021-11-08|1607.0|0|1607.0|0|4.0|0|0.0|100
0|2021-11-09|1620.0|0|1620.0|0|4.0|0|0.0|100
0|2021-11-10|1620.0|0|1646.0|0|4.0|0|0.0|100
0|2021-11-11|1660.0|0|1660.0|0|5.0|0|0.0|100
0|2021-11-12|1683.0|0|1683.0|0|5.0|0|0.0|100
0|2021-11-13|1683.0|0|1683.0|0|5.0|0|0.0|100
0|2021-11-14|1683.0|0|1683.0|0|5.0|0|0.0|100
0|2021-11-15|1699.0|0|1699.0|0|6.0|0|0.0|100
0|2021-11-16|1708.0|0|1708.0|0|6.0|0|0.0|100
0|2021-11-17|1738.0|0|1738.0|0|6.0|0|0.0|100
0|2021-11-18|1749.0|0|1749.0|0|6.0|0|0.0|100
0|2021-11-19|1760.0|0|1760.0|0|7.0|0|0.0|100
0|2021-11-20|1760.0|0|1760.0|0|7.0|0|0.0|100
0|2021-11-21|1760.0|0|1760.0|0|7.0|0|0.0|100
0|2021-11-22|1798.0|0|1798.0|0|7.0|0|0.0|100
0|2021-11-23|1811.0|0|1811.0|0|7.0|0|0.0|100
0|2021-11-24|1817.0|0|1817.0|0|7.0|0|0.0|100
0|2021-11-25|1827.0|0|1827.0|0|7.0|0|0.0|100
0|2021-11-26|1844.0|0|1827.0|0|7.0|0|0.0|100
0|2021-11-27|1844.0|0|1827.0|0|7.0|0|0.0|100
0|2021-11-28|1844.0|0|1844.0|0|7.0|0|0.0|100
0|2021-11-29|1857.0|0|1857.0|0|7.0|0|0.0|100
0|2021-11-30|1864.0|0|1864.0|0|7.0|0|0.0|100
0|2021-12-01|1864.0|0|1892.0|0|7.0|0|0.0|100
0|2021-12-02|1892.0|0|1921.0|0|7.0|0|0.0|100
0|2021-12-03|1933.0|0|1927.0|0|8.0|0|0.0|100
0|2021-12-04|1933.0|0|1933.0|0|8.0|0|0.0|100
0|2021-12-05|1933.0|0|1933.0|0|8.0|0|0.0|100
0|2021-12-06|1946.0|0|1946.0|0|8.0|0|0.0|100
0|2021-12-07|1948.0|0|1948.0|0|9.0|0|0.0|100
0|2021-12-08|1967.0|0|1967.0|0|8.0|0|0.0|100
0|2021-12-09|1968.0|0|1968.0|0|8.0|0|0.0|100
0|2021-12-10|1972.0|0|1972.0|0|8.0|0|0.0|100
0|2021-12-11|1972.0|0|1972.0|0|8.0|0|0.0|100
0|2021-12-12|1972.0|0|1972.0|0|8.0|0|0.0|100
0|2021-12-13|1978.0|0|1978.0|0|8.0|0|0.0|100
0|2021-12-14|1978.0|0|1985.0|0|8.0|0|0.0|100
0|2021-12-15|1990.0|0|1990.0|0|8.0|0|0.0|100
0|2021-12-16|1995.0|0|1995.0|0|8.0|0|0.0|100
0|2021-12-17|1996.0|0|1996.0|0|8.0|0|0.0|100
0|2021-12-18|1996.0|0|1996.0|0|8.0|0|0.0|100
0|2021-12-19|1996.0|0|1996.0|0|8.0|0|0.0|100
0|2021-12-20|2001.0|0|2001.0|0|9.0|0|0.0|100
0|2021-12-21|2012.0|0|2012.0|0|9.0|0|0.0|100
0|2021-12-22|2017.0|0|2017.0|0|9.0|0|0.0|100
0|2021-12-23|2019.0|0|2019.0|0|9.0|0|0.0|100
0|2021-12-24|2027.0|0|2027.0|0|9.0|0|0.0|100
0|2021-12-25|2027.0|0|2027.0|0|9.0|0|0.0|100
0|2021-12-26|2027.0|0|2027.0|0|9.0|0|0.0|100
0|2021-12-27|2031.0|0|2031.0|0|9.0|0|0.0|100
0|2021-12-28|2039.0|0|2039.0|0|9.0|0|0.0|100
0|2021-12-29|2053.0|0|2053.0|0|9.0|0|0.0|100
0|2021-12-30|2063.0|0|2063.0|0|9.0|0|0.0|100
0|2021-12-31|2066.0|0|2066.0|0|9.0|0|0.0|100
0|2022-01-01|2066.0|0|2066.0|0|9.0|0|0.0|100
0|2022-01-02|2066.0|0|2066.0|0|9.0|0|0.0|100
0|2022-01-03|2090.0|0|2090.0|0|9.0|0|0.0|100
0|2022-01-04|2102.0|0|2102.0|0|9.0|0|0.0|100
0|2022-01-05|2116.0|0|2116.0|0|9.0|0|0.0|100
0|2022-01-06|2129.0|0|2129.0|0|9.0|0|0.0|100
0|2022-01-07|2146.0|0|2146.0|0|9.0|0|0.0|100
0|2022-01-08|2146.0|0|2146.0|0|9.0|0|0.0|100
0|2022-01-09|2146.0|0|2146.0|0|9.0|0|0.0|100
0|2022-01-10|2232.0|0|2232.0|0|10.0|0|0.0|100
0|2022-01-11|2264.0|0|2264.0|0|9.0|0|0.0|100
0|2022-01-12|2289.0|0|2289.0|0|9.0|0|0.0|100
0|2022-01-13|2289.0|0|2342.0|0|9.0|0|0.0|100
0|2022-01-14|2384.0|0|2363.0|0|9.0|0|0.0|100
0|2022-01-15|2384.0|0|2384.0|0|9.0|0|0.0|100
0|2022-01-16|2384.0|0|2384.0|0|9.0|0|0.0|100
0|2022-01-17|2437.0|0|0.0|100|9.0|0|0.0|100
