|dates|Columbia_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Columbia_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Columbia_Washington_UnitedStates.Male_Total_Population.data|Columbia_Washington_UnitedStates.Male_Total_Population.missing|Columbia_Washington_UnitedStates.Female_Total_Population.data|Columbia_Washington_UnitedStates.Female_Total_Population.missing|Columbia_Washington_UnitedStates.MaleAndFemale_Under18_Population.data|Columbia_Washington_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-18|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-19|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-20|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-21|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-22|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-23|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-24|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-25|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-26|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-27|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-28|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-29|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-30|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-10-31|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-01|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-02|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-03|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-04|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-05|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-06|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-07|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-08|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-09|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-10|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-11|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-12|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-13|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-14|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-15|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-16|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-17|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-18|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-19|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-20|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-21|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-22|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-23|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-24|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-25|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-26|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-27|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-28|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-29|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-11-30|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-01|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-02|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-03|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-04|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-05|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-06|1131.0|0|1982.0|0|2077.0|0|765.0|0
