|dates|Trimble_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Trimble_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Trimble_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Trimble_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Trimble_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Trimble_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Trimble_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Trimble_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1168.0|0|1168.0|0|14.0|0|0.0|100
0|2021-10-18|1187.0|0|1187.0|0|15.0|0|0.0|100
0|2021-10-19|1188.0|0|1188.0|0|17.0|0|0.0|100
0|2021-10-20|1191.0|0|1191.0|0|17.0|0|0.0|100
0|2021-10-21|1201.0|0|1201.0|0|17.0|0|0.0|100
0|2021-10-22|1205.0|0|1205.0|0|17.0|0|0.0|100
0|2021-10-23|1205.0|0|1205.0|0|17.0|0|0.0|100
0|2021-10-24|1205.0|0|1205.0|0|17.0|0|0.0|100
0|2021-10-25|1215.0|0|1215.0|0|17.0|0|0.0|100
0|2021-10-26|1220.0|0|1220.0|0|17.0|0|0.0|100
0|2021-10-27|1227.0|0|1227.0|0|17.0|0|0.0|100
0|2021-10-28|1231.0|0|1231.0|0|17.0|0|0.0|100
0|2021-10-29|1234.0|0|1234.0|0|17.0|0|0.0|100
0|2021-10-30|1234.0|0|1234.0|0|17.0|0|0.0|100
0|2021-10-31|1234.0|0|1234.0|0|17.0|0|0.0|100
0|2021-11-01|1248.0|0|1248.0|0|17.0|0|0.0|100
0|2021-11-02|1252.0|0|1252.0|0|17.0|0|0.0|100
0|2021-11-03|1254.0|0|1254.0|0|17.0|0|0.0|100
0|2021-11-04|1259.0|0|1259.0|0|17.0|0|0.0|100
0|2021-11-05|1261.0|0|1261.0|0|17.0|0|0.0|100
0|2021-11-06|1261.0|0|1261.0|0|17.0|0|0.0|100
0|2021-11-07|1261.0|0|1261.0|0|17.0|0|0.0|100
0|2021-11-08|1264.0|0|1264.0|0|17.0|0|0.0|100
0|2021-11-09|1265.0|0|1265.0|0|17.0|0|0.0|100
0|2021-11-10|1265.0|0|1272.0|0|17.0|0|0.0|100
0|2021-11-11|1272.0|0|1272.0|0|17.0|0|0.0|100
0|2021-11-12|1275.0|0|1275.0|0|17.0|0|0.0|100
0|2021-11-13|1275.0|0|1275.0|0|17.0|0|0.0|100
0|2021-11-14|1275.0|0|1275.0|0|17.0|0|0.0|100
0|2021-11-15|1280.0|0|1280.0|0|18.0|0|0.0|100
0|2021-11-16|1286.0|0|1286.0|0|18.0|0|0.0|100
0|2021-11-17|1292.0|0|1292.0|0|19.0|0|0.0|100
0|2021-11-18|1295.0|0|1295.0|0|19.0|0|0.0|100
