|dates|Unassigned_Michigan_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Michigan_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|43.0|0|913.0|0|0.0|0|0.0|100
0|2021-10-18|46.0|0|1076.0|0|0.0|0|0.0|100
0|2021-10-19|46.0|0|869.0|0|0.0|0|0.0|100
0|2021-10-20|39.0|0|1156.0|0|0.0|0|0.0|100
0|2021-10-21|39.0|0|810.0|0|0.0|0|0.0|100
0|2021-10-22|37.0|0|1113.0|0|0.0|0|0.0|100
0|2021-10-23|37.0|0|1113.0|0|0.0|0|0.0|100
0|2021-10-24|37.0|0|1113.0|0|0.0|0|0.0|100
0|2021-10-25|40.0|0|1181.0|0|0.0|0|0.0|100
0|2021-10-26|40.0|0|972.0|0|0.0|0|0.0|100
0|2021-10-27|43.0|0|1314.0|0|0.0|0|0.0|100
0|2021-10-28|43.0|0|1011.0|0|0.0|0|0.0|100
0|2021-10-29|54.0|0|1330.0|0|0.0|0|0.0|100
0|2021-10-30|54.0|0|1330.0|0|0.0|0|0.0|100
0|2021-10-31|54.0|0|1258.0|0|0.0|0|0.0|100
0|2021-11-01|67.0|0|1393.0|0|0.0|0|0.0|100
0|2021-11-02|67.0|0|1131.0|0|0.0|0|0.0|100
0|2021-11-03|45.0|0|1434.0|0|0.0|0|0.0|100
0|2021-11-04|45.0|0|1086.0|0|0.0|0|0.0|100
0|2021-11-05|44.0|0|1488.0|0|0.0|0|0.0|100
0|2021-11-06|44.0|0|1488.0|0|0.0|0|0.0|100
0|2021-11-07|44.0|0|1363.0|0|0.0|0|0.0|100
0|2021-11-08|44.0|0|1513.0|0|0.0|0|0.0|100
0|2021-11-09|44.0|0|1229.0|0|0.0|0|0.0|100
