|dates|Henderson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Henderson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Henderson_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Henderson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Henderson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Henderson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Henderson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Henderson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7864.0|0|7864.0|0|98.0|0|0.0|100
0|2021-10-18|7881.0|0|7881.0|0|98.0|0|0.0|100
0|2021-10-19|7887.0|0|7887.0|0|98.0|0|0.0|100
0|2021-10-20|7896.0|0|7896.0|0|98.0|0|0.0|100
0|2021-10-21|7903.0|0|7903.0|0|98.0|0|0.0|100
0|2021-10-22|7914.0|0|7914.0|0|98.0|0|0.0|100
0|2021-10-23|7914.0|0|7914.0|0|98.0|0|0.0|100
0|2021-10-24|7914.0|0|7914.0|0|98.0|0|0.0|100
0|2021-10-25|7928.0|0|7928.0|0|99.0|0|0.0|100
0|2021-10-26|7936.0|0|7936.0|0|99.0|0|0.0|100
0|2021-10-27|7950.0|0|7950.0|0|99.0|0|0.0|100
0|2021-10-28|7960.0|0|7960.0|0|99.0|0|0.0|100
0|2021-10-29|7980.0|0|7980.0|0|99.0|0|0.0|100
0|2021-10-30|7980.0|0|7980.0|0|99.0|0|0.0|100
0|2021-10-31|7980.0|0|7980.0|0|99.0|0|0.0|100
0|2021-11-01|7991.0|0|7991.0|0|99.0|0|0.0|100
0|2021-11-02|8007.0|0|8007.0|0|99.0|0|0.0|100
0|2021-11-03|8012.0|0|8012.0|0|100.0|0|0.0|100
0|2021-11-04|8023.0|0|8023.0|0|100.0|0|0.0|100
0|2021-11-05|8037.0|0|8037.0|0|101.0|0|0.0|100
0|2021-11-06|8037.0|0|8037.0|0|101.0|0|0.0|100
