|dates|Union_Ohio_UnitedStates.JHU_ConfirmedCases.data|Union_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Union_Ohio_UnitedStates.NYT_ConfirmedCases.data|Union_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Union_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Union_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Union_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Union_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8095.0|0|8095.0|0|63.0|0|0.0|100
0|2021-10-18|8107.0|0|8107.0|0|63.0|0|0.0|100
0|2021-10-19|8118.0|0|8118.0|0|63.0|0|0.0|100
0|2021-10-20|8150.0|0|8150.0|0|64.0|0|0.0|100
0|2021-10-21|8165.0|0|8165.0|0|65.0|0|0.0|100
0|2021-10-22|8188.0|0|8188.0|0|65.0|0|0.0|100
0|2021-10-23|8198.0|0|8198.0|0|65.0|0|0.0|100
0|2021-10-24|8213.0|0|8213.0|0|66.0|0|0.0|100
0|2021-10-25|8222.0|0|8222.0|0|66.0|0|0.0|100
0|2021-10-26|8254.0|0|8254.0|0|66.0|0|0.0|100
0|2021-10-27|8273.0|0|8273.0|0|66.0|0|0.0|100
0|2021-10-28|8301.0|0|8301.0|0|66.0|0|0.0|100
0|2021-10-29|8320.0|0|8320.0|0|66.0|0|0.0|100
0|2021-10-30|8350.0|0|8350.0|0|66.0|0|0.0|100
0|2021-10-31|8374.0|0|8374.0|0|66.0|0|0.0|100
0|2021-11-01|8393.0|0|8393.0|0|66.0|0|0.0|100
0|2021-11-02|8420.0|0|8420.0|0|66.0|0|0.0|100
0|2021-11-03|8458.0|0|8458.0|0|66.0|0|0.0|100
0|2021-11-04|8495.0|0|8495.0|0|66.0|0|0.0|100
0|2021-11-05|8537.0|0|8537.0|0|66.0|0|0.0|100
0|2021-11-06|8564.0|0|8564.0|0|66.0|0|0.0|100
0|2021-11-07|8596.0|0|8596.0|0|66.0|0|0.0|100
0|2021-11-08|8613.0|0|8613.0|0|66.0|0|0.0|100
0|2021-11-09|8660.0|0|8660.0|0|66.0|0|0.0|100
0|2021-11-10|8660.0|0|8718.0|0|66.0|0|0.0|100
0|2021-11-11|8761.0|0|8761.0|0|66.0|0|0.0|100
0|2021-11-12|8796.0|0|8796.0|0|67.0|0|0.0|100
0|2021-11-13|8855.0|0|8855.0|0|67.0|0|0.0|100
0|2021-11-14|8863.0|0|8863.0|0|67.0|0|0.0|100
0|2021-11-15|8886.0|0|8886.0|0|67.0|0|0.0|100
0|2021-11-16|8961.0|0|8961.0|0|69.0|0|0.0|100
0|2021-11-17|9003.0|0|9003.0|0|69.0|0|0.0|100
0|2021-11-18|9053.0|0|9053.0|0|69.0|0|0.0|100
0|2021-11-19|9096.0|0|9096.0|0|71.0|0|0.0|100
0|2021-11-20|9136.0|0|9136.0|0|71.0|0|0.0|100
0|2021-11-21|9153.0|0|9153.0|0|71.0|0|0.0|100
0|2021-11-22|9177.0|0|9177.0|0|71.0|0|0.0|100
0|2021-11-23|9223.0|0|9223.0|0|72.0|0|0.0|100
0|2021-11-24|9268.0|0|9268.0|0|72.0|0|0.0|100
0|2021-11-25|9268.0|0|9268.0|0|72.0|0|0.0|100
0|2021-11-26|9305.0|0|9305.0|0|75.0|0|0.0|100
0|2021-11-27|9333.0|0|9333.0|0|75.0|0|0.0|100
0|2021-11-28|9354.0|0|9354.0|0|75.0|0|0.0|100
0|2021-11-29|9391.0|0|9391.0|0|75.0|0|0.0|100
0|2021-11-30|9440.0|0|9440.0|0|75.0|0|0.0|100
0|2021-12-01|9503.0|0|9503.0|0|75.0|0|0.0|100
0|2021-12-02|9540.0|0|9540.0|0|75.0|0|0.0|100
0|2021-12-03|9540.0|0|9573.0|0|75.0|0|0.0|100
0|2021-12-04|9606.0|0|9606.0|0|75.0|0|0.0|100
0|2021-12-05|9637.0|0|9637.0|0|75.0|0|0.0|100
0|2021-12-06|9665.0|0|9665.0|0|75.0|0|0.0|100
0|2021-12-07|9703.0|0|9703.0|0|76.0|0|0.0|100
0|2021-12-08|9747.0|0|9747.0|0|76.0|0|0.0|100
0|2021-12-09|9784.0|0|9784.0|0|76.0|0|0.0|100
0|2021-12-10|9819.0|0|9819.0|0|76.0|0|0.0|100
0|2021-12-11|9858.0|0|9858.0|0|76.0|0|0.0|100
0|2021-12-12|9873.0|0|9873.0|0|76.0|0|0.0|100
0|2021-12-13|9896.0|0|9896.0|0|76.0|0|0.0|100
0|2021-12-14|9896.0|0|9936.0|0|76.0|0|0.0|100
0|2021-12-15|9974.0|0|9974.0|0|75.0|0|0.0|100
0|2021-12-16|10008.0|0|10008.0|0|75.0|0|0.0|100
0|2021-12-17|10054.0|0|10054.0|0|77.0|0|0.0|100
0|2021-12-18|10085.0|0|10085.0|0|77.0|0|0.0|100
0|2021-12-19|10112.0|0|10112.0|0|77.0|0|0.0|100
0|2021-12-20|10135.0|0|10135.0|0|77.0|0|0.0|100
0|2021-12-21|10192.0|0|10192.0|0|78.0|0|0.0|100
0|2021-12-22|10247.0|0|10247.0|0|78.0|0|0.0|100
0|2021-12-23|10303.0|0|10303.0|0|78.0|0|0.0|100
0|2021-12-24|10358.0|0|10358.0|0|79.0|0|0.0|100
0|2021-12-25|10358.0|0|10358.0|0|79.0|0|0.0|100
0|2021-12-26|10403.0|0|10403.0|0|79.0|0|0.0|100
0|2021-12-27|10441.0|0|10441.0|0|79.0|0|0.0|100
0|2021-12-28|10549.0|0|10549.0|0|79.0|0|0.0|100
0|2021-12-29|10642.0|0|10642.0|0|79.0|0|0.0|100
0|2021-12-30|10733.0|0|10733.0|0|79.0|0|0.0|100
0|2021-12-31|10864.0|0|10864.0|0|81.0|0|0.0|100
0|2022-01-01|10864.0|0|10864.0|0|81.0|0|0.0|100
0|2022-01-02|11003.0|0|11003.0|0|81.0|0|0.0|100
0|2022-01-03|11068.0|0|11068.0|0|81.0|0|0.0|100
0|2022-01-04|11175.0|0|11175.0|0|81.0|0|0.0|100
0|2022-01-05|11329.0|0|11329.0|0|81.0|0|0.0|100
0|2022-01-06|11458.0|0|11458.0|0|81.0|0|0.0|100
0|2022-01-07|11586.0|0|11586.0|0|81.0|0|0.0|100
0|2022-01-08|11678.0|0|11678.0|0|81.0|0|0.0|100
0|2022-01-09|11803.0|0|11803.0|0|81.0|0|0.0|100
0|2022-01-10|11904.0|0|11904.0|0|81.0|0|0.0|100
0|2022-01-11|12049.0|0|12049.0|0|82.0|0|0.0|100
0|2022-01-12|12186.0|0|12186.0|0|82.0|0|0.0|100
0|2022-01-13|12186.0|0|12380.0|0|82.0|0|0.0|100
0|2022-01-14|12667.0|0|12667.0|0|83.0|0|0.0|100
0|2022-01-15|12988.0|0|12988.0|0|83.0|0|0.0|100
0|2022-01-16|13184.0|0|13184.0|0|83.0|0|0.0|100
0|2022-01-17|13296.0|0|0.0|100|83.0|0|0.0|100
