|dates|Edgar_Illinois_UnitedStates.JHU_ConfirmedCases.data|Edgar_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Edgar_Illinois_UnitedStates.NYT_ConfirmedCases.data|Edgar_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Edgar_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Edgar_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Edgar_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Edgar_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2552.0|0|2552.0|0|49.0|0|0.0|100
0|2021-10-18|2567.0|0|2567.0|0|49.0|0|0.0|100
0|2021-10-19|2575.0|0|2575.0|0|49.0|0|0.0|100
0|2021-10-20|2580.0|0|2580.0|0|49.0|0|0.0|100
0|2021-10-21|2601.0|0|2601.0|0|49.0|0|0.0|100
0|2021-10-22|2606.0|0|2606.0|0|49.0|0|0.0|100
0|2021-10-23|2606.0|0|2606.0|0|49.0|0|0.0|100
0|2021-10-24|2606.0|0|2606.0|0|49.0|0|0.0|100
0|2021-10-25|2610.0|0|2610.0|0|49.0|0|0.0|100
0|2021-10-26|2618.0|0|2618.0|0|49.0|0|0.0|100
0|2021-10-27|2626.0|0|2626.0|0|49.0|0|0.0|100
0|2021-10-28|2629.0|0|2629.0|0|49.0|0|0.0|100
0|2021-10-29|2633.0|0|2633.0|0|49.0|0|0.0|100
0|2021-10-30|2633.0|0|2633.0|0|49.0|0|0.0|100
0|2021-10-31|2633.0|0|2633.0|0|49.0|0|0.0|100
0|2021-11-01|2643.0|0|2643.0|0|49.0|0|0.0|100
0|2021-11-02|2653.0|0|2653.0|0|49.0|0|0.0|100
0|2021-11-03|2660.0|0|2660.0|0|49.0|0|0.0|100
0|2021-11-04|2674.0|0|2674.0|0|50.0|0|0.0|100
0|2021-11-05|2684.0|0|2684.0|0|50.0|0|0.0|100
0|2021-11-06|2684.0|0|2684.0|0|50.0|0|0.0|100
0|2021-11-07|2684.0|0|2684.0|0|50.0|0|0.0|100
0|2021-11-08|2704.0|0|2704.0|0|50.0|0|0.0|100
0|2021-11-09|2717.0|0|2717.0|0|50.0|0|0.0|100
0|2021-11-10|2717.0|0|2723.0|0|50.0|0|0.0|100
0|2021-11-11|2723.0|0|2723.0|0|50.0|0|0.0|100
0|2021-11-12|2730.0|0|2730.0|0|50.0|0|0.0|100
0|2021-11-13|2730.0|0|2730.0|0|50.0|0|0.0|100
0|2021-11-14|2730.0|0|2730.0|0|50.0|0|0.0|100
0|2021-11-15|2749.0|0|2749.0|0|50.0|0|0.0|100
0|2021-11-16|2757.0|0|2757.0|0|50.0|0|0.0|100
0|2021-11-17|2764.0|0|2764.0|0|50.0|0|0.0|100
0|2021-11-18|2778.0|0|2778.0|0|50.0|0|0.0|100
0|2021-11-19|2789.0|0|2789.0|0|50.0|0|0.0|100
0|2021-11-20|2789.0|0|2789.0|0|50.0|0|0.0|100
0|2021-11-21|2789.0|0|2789.0|0|50.0|0|0.0|100
0|2021-11-22|2800.0|0|2800.0|0|50.0|0|0.0|100
0|2021-11-23|2815.0|0|2815.0|0|50.0|0|0.0|100
0|2021-11-24|2829.0|0|2829.0|0|50.0|0|0.0|100
0|2021-11-25|2829.0|0|2829.0|0|50.0|0|0.0|100
0|2021-11-26|2829.0|0|2829.0|0|50.0|0|0.0|100
0|2021-11-27|2829.0|0|2829.0|0|50.0|0|0.0|100
0|2021-11-28|2829.0|0|2829.0|0|50.0|0|0.0|100
0|2021-11-29|2875.0|0|2875.0|0|50.0|0|0.0|100
0|2021-11-30|2896.0|0|2896.0|0|50.0|0|0.0|100
0|2021-12-01|2912.0|0|2912.0|0|50.0|0|0.0|100
0|2021-12-02|2912.0|0|2932.0|0|50.0|0|0.0|100
0|2021-12-03|2962.0|0|2962.0|0|50.0|0|0.0|100
0|2021-12-04|2962.0|0|2962.0|0|50.0|0|0.0|100
0|2021-12-05|2962.0|0|2962.0|0|50.0|0|0.0|100
0|2021-12-06|2999.0|0|2999.0|0|50.0|0|0.0|100
0|2021-12-07|3054.0|0|3054.0|0|50.0|0|0.0|100
