|dates|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Nicollet_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Nicollet_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4230.0|0|4230.0|0|51.0|0|0.0|100
0|2021-10-18|4264.0|0|4264.0|0|51.0|0|0.0|100
0|2021-10-19|4313.0|0|4313.0|0|51.0|0|0.0|100
0|2021-10-20|4319.0|0|4319.0|0|51.0|0|0.0|100
0|2021-10-21|4333.0|0|4333.0|0|52.0|0|0.0|100
0|2021-10-22|4344.0|0|4344.0|0|54.0|0|0.0|100
0|2021-10-23|4344.0|0|4344.0|0|54.0|0|0.0|100
0|2021-10-24|4344.0|0|4344.0|0|54.0|0|0.0|100
0|2021-10-25|4354.0|0|4354.0|0|54.0|0|0.0|100
0|2021-10-26|4404.0|0|4404.0|0|54.0|0|0.0|100
0|2021-10-27|4409.0|0|4409.0|0|54.0|0|0.0|100
0|2021-10-28|4424.0|0|4424.0|0|55.0|0|0.0|100
0|2021-10-29|4446.0|0|4446.0|0|55.0|0|0.0|100
0|2021-10-30|4446.0|0|4446.0|0|55.0|0|0.0|100
0|2021-10-31|4446.0|0|4446.0|0|55.0|0|0.0|100
0|2021-11-01|4504.0|0|4504.0|0|55.0|0|0.0|100
0|2021-11-02|4548.0|0|4548.0|0|56.0|0|0.0|100
0|2021-11-03|4558.0|0|4558.0|0|56.0|0|0.0|100
0|2021-11-04|4586.0|0|4586.0|0|57.0|0|0.0|100
0|2021-11-05|4611.0|0|4611.0|0|57.0|0|0.0|100
0|2021-11-06|4611.0|0|4611.0|0|57.0|0|0.0|100
0|2021-11-07|4611.0|0|4611.0|0|57.0|0|0.0|100
0|2021-11-08|4638.0|0|4638.0|0|57.0|0|0.0|100
0|2021-11-09|4684.0|0|4684.0|0|57.0|0|0.0|100
0|2021-11-10|4711.0|0|4711.0|0|57.0|0|0.0|100
0|2021-11-11|4739.0|0|4739.0|0|57.0|0|0.0|100
0|2021-11-12|4767.0|0|4767.0|0|57.0|0|0.0|100
0|2021-11-13|4767.0|0|4767.0|0|57.0|0|0.0|100
0|2021-11-14|4767.0|0|4767.0|0|57.0|0|0.0|100
0|2021-11-15|4821.0|0|4821.0|0|57.0|0|0.0|100
0|2021-11-16|4872.0|0|4872.0|0|57.0|0|0.0|100
0|2021-11-17|4878.0|0|4878.0|0|57.0|0|0.0|100
0|2021-11-18|4913.0|0|4913.0|0|57.0|0|0.0|100
0|2021-11-19|4948.0|0|4948.0|0|57.0|0|0.0|100
0|2021-11-20|4948.0|0|4948.0|0|57.0|0|0.0|100
0|2021-11-21|4948.0|0|4948.0|0|57.0|0|0.0|100
0|2021-11-22|4971.0|0|4971.0|0|57.0|0|0.0|100
0|2021-11-23|5056.0|0|5056.0|0|59.0|0|0.0|100
0|2021-11-24|5075.0|0|5075.0|0|59.0|0|0.0|100
0|2021-11-25|5075.0|0|5075.0|0|59.0|0|0.0|100
0|2021-11-26|5109.0|0|5109.0|0|60.0|0|0.0|100
0|2021-11-27|5109.0|0|5109.0|0|60.0|0|0.0|100
0|2021-11-28|5109.0|0|5109.0|0|60.0|0|0.0|100
0|2021-11-29|5131.0|0|5131.0|0|60.0|0|0.0|100
0|2021-11-30|5211.0|0|5211.0|0|60.0|0|0.0|100
0|2021-12-01|5224.0|0|5224.0|0|60.0|0|0.0|100
0|2021-12-02|5256.0|0|5256.0|0|61.0|0|0.0|100
0|2021-12-03|5285.0|0|5285.0|0|61.0|0|0.0|100
