|dates|NorthSlope_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|NorthSlope_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|NorthSlope_Alaska_UnitedStates.Male_Total_Population.data|NorthSlope_Alaska_UnitedStates.Male_Total_Population.missing|NorthSlope_Alaska_UnitedStates.Female_Total_Population.data|NorthSlope_Alaska_UnitedStates.Female_Total_Population.missing|NorthSlope_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|NorthSlope_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-18|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-19|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-20|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-21|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-22|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-23|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-24|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-25|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-26|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-27|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-28|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-29|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-30|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-10-31|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-01|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-02|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-03|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-04|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-05|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-06|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-07|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-08|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-09|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-10|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-11|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-12|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-13|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-14|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-15|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-16|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-17|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-18|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-19|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-20|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-21|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-22|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-23|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-24|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-25|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-26|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-27|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-28|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-29|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-11-30|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-01|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-02|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-03|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-04|673.0|0|6145.0|0|3727.0|0|2613.0|0
0|2021-12-05|673.0|0|6145.0|0|3727.0|0|2613.0|0
