|dates|Wheatland_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Wheatland_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Wheatland_Montana_UnitedStates.Male_Total_Population.data|Wheatland_Montana_UnitedStates.Male_Total_Population.missing|Wheatland_Montana_UnitedStates.Female_Total_Population.data|Wheatland_Montana_UnitedStates.Female_Total_Population.missing|Wheatland_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Wheatland_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-18|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-19|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-20|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-21|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-22|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-23|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-24|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-25|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-26|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-27|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-28|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-29|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-30|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-10-31|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-01|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-02|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-03|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-04|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-05|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-06|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-07|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-08|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-09|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-10|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-11|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-12|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-13|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-14|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-15|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-16|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-17|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-18|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-19|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-20|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-21|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-22|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-23|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-24|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-25|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-26|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-27|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-28|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-29|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-11-30|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-01|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-02|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-03|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-04|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-05|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-06|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-07|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-08|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-09|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-10|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-11|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-12|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-13|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-14|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-15|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-16|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-17|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-18|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-19|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-20|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-21|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-22|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-23|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-24|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-25|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-26|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-27|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-28|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-29|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-30|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2021-12-31|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-01|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-02|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-03|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-04|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-05|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-06|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-07|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-08|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-09|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-10|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-11|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-12|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-13|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-14|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-15|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-16|534.0|0|1151.0|0|1085.0|0|554.0|0
0|2022-01-17|534.0|0|1151.0|0|1085.0|0|554.0|0
