|dates|Clark_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clark_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clark_SouthDakota_UnitedStates.Male_Total_Population.data|Clark_SouthDakota_UnitedStates.Male_Total_Population.missing|Clark_SouthDakota_UnitedStates.Female_Total_Population.data|Clark_SouthDakota_UnitedStates.Female_Total_Population.missing|Clark_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Clark_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-18|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-19|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-20|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-21|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-22|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-23|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-24|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-25|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-26|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-27|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-28|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-29|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-30|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-10-31|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-01|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-02|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-03|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-04|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-05|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-06|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-07|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-08|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-09|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-10|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-11|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-12|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-13|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-14|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-15|791.0|0|1925.0|0|1814.0|0|966.0|0
0|2021-11-16|791.0|0|1925.0|0|1814.0|0|966.0|0
