|dates|Sierra_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sierra_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sierra_California_UnitedStates.Male_Total_Population.data|Sierra_California_UnitedStates.Male_Total_Population.missing|Sierra_California_UnitedStates.Female_Total_Population.data|Sierra_California_UnitedStates.Female_Total_Population.missing|Sierra_California_UnitedStates.MaleAndFemale_Under18_Population.data|Sierra_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-18|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-19|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-20|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-21|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-22|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-23|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-24|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-25|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-26|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-27|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-28|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-29|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-30|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-10-31|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-01|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-02|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-03|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-04|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-05|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-06|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-07|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-08|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-09|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-10|945.0|0|1511.0|0|1476.0|0|480.0|0
0|2021-11-11|945.0|0|1511.0|0|1476.0|0|480.0|0
