|dates|Licking_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Licking_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Licking_Ohio_UnitedStates.Male_Total_Population.data|Licking_Ohio_UnitedStates.Male_Total_Population.missing|Licking_Ohio_UnitedStates.Female_Total_Population.data|Licking_Ohio_UnitedStates.Female_Total_Population.missing|Licking_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Licking_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-18|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-19|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-20|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-21|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-22|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-23|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-24|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-25|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-26|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-27|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-28|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-29|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-30|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-10-31|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-01|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-02|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-03|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-04|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-05|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-06|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-07|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-08|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-09|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-10|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-11|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-12|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-13|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-14|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-15|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-16|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-17|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-18|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-19|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-20|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-21|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-22|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-23|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-24|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-25|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-26|28906.0|0|86261.0|0|89508.0|0|40733.0|0
0|2021-11-27|28906.0|0|86261.0|0|89508.0|0|40733.0|0
