|dates|Robertson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Robertson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Robertson_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Robertson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Robertson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Robertson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Robertson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Robertson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|331.0|0|331.0|0|16.0|0|0.0|100
0|2021-10-18|331.0|0|331.0|0|16.0|0|0.0|100
0|2021-10-19|332.0|0|332.0|0|16.0|0|0.0|100
0|2021-10-20|333.0|0|333.0|0|16.0|0|0.0|100
0|2021-10-21|334.0|0|334.0|0|16.0|0|0.0|100
0|2021-10-22|334.0|0|334.0|0|16.0|0|0.0|100
0|2021-10-23|334.0|0|334.0|0|16.0|0|0.0|100
0|2021-10-24|334.0|0|334.0|0|16.0|0|0.0|100
0|2021-10-25|335.0|0|335.0|0|16.0|0|0.0|100
0|2021-10-26|335.0|0|335.0|0|16.0|0|0.0|100
0|2021-10-27|334.0|0|334.0|0|16.0|0|0.0|100
0|2021-10-28|336.0|0|336.0|0|16.0|0|0.0|100
0|2021-10-29|336.0|0|336.0|0|16.0|0|0.0|100
0|2021-10-30|336.0|0|336.0|0|16.0|0|0.0|100
0|2021-10-31|336.0|0|336.0|0|16.0|0|0.0|100
0|2021-11-01|337.0|0|337.0|0|16.0|0|0.0|100
0|2021-11-02|337.0|0|337.0|0|16.0|0|0.0|100
0|2021-11-03|337.0|0|337.0|0|16.0|0|0.0|100
0|2021-11-04|339.0|0|339.0|0|16.0|0|0.0|100
0|2021-11-05|341.0|0|341.0|0|16.0|0|0.0|100
0|2021-11-06|341.0|0|341.0|0|16.0|0|0.0|100
0|2021-11-07|341.0|0|341.0|0|16.0|0|0.0|100
0|2021-11-08|347.0|0|347.0|0|16.0|0|0.0|100
0|2021-11-09|348.0|0|348.0|0|16.0|0|0.0|100
0|2021-11-10|350.0|0|350.0|0|16.0|0|0.0|100
0|2021-11-11|350.0|0|350.0|0|16.0|0|0.0|100
0|2021-11-12|352.0|0|352.0|0|16.0|0|0.0|100
0|2021-11-13|352.0|0|352.0|0|16.0|0|0.0|100
0|2021-11-14|352.0|0|352.0|0|16.0|0|0.0|100
0|2021-11-15|355.0|0|355.0|0|16.0|0|0.0|100
0|2021-11-16|356.0|0|356.0|0|16.0|0|0.0|100
0|2021-11-17|362.0|0|362.0|0|16.0|0|0.0|100
0|2021-11-18|367.0|0|367.0|0|16.0|0|0.0|100
0|2021-11-19|368.0|0|368.0|0|16.0|0|0.0|100
0|2021-11-20|368.0|0|368.0|0|16.0|0|0.0|100
0|2021-11-21|368.0|0|368.0|0|16.0|0|0.0|100
0|2021-11-22|373.0|0|373.0|0|16.0|0|0.0|100
0|2021-11-23|379.0|0|379.0|0|16.0|0|0.0|100
0|2021-11-24|379.0|0|379.0|0|16.0|0|0.0|100
0|2021-11-25|379.0|0|379.0|0|16.0|0|0.0|100
0|2021-11-26|379.0|0|379.0|0|16.0|0|0.0|100
0|2021-11-27|379.0|0|379.0|0|16.0|0|0.0|100
0|2021-11-28|379.0|0|379.0|0|16.0|0|0.0|100
0|2021-11-29|384.0|0|384.0|0|16.0|0|0.0|100
0|2021-11-30|387.0|0|387.0|0|16.0|0|0.0|100
0|2021-12-01|388.0|0|388.0|0|16.0|0|0.0|100
0|2021-12-02|395.0|0|395.0|0|16.0|0|0.0|100
0|2021-12-03|397.0|0|397.0|0|16.0|0|0.0|100
0|2021-12-04|397.0|0|397.0|0|16.0|0|0.0|100
0|2021-12-05|397.0|0|397.0|0|16.0|0|0.0|100
0|2021-12-06|400.0|0|400.0|0|16.0|0|0.0|100
0|2021-12-07|404.0|0|404.0|0|16.0|0|0.0|100
0|2021-12-08|403.0|0|403.0|0|16.0|0|0.0|100
0|2021-12-09|408.0|0|408.0|0|16.0|0|0.0|100
0|2021-12-10|408.0|0|408.0|0|16.0|0|0.0|100
0|2021-12-11|408.0|0|408.0|0|16.0|0|0.0|100
0|2021-12-12|408.0|0|408.0|0|16.0|0|0.0|100
0|2021-12-13|412.0|0|412.0|0|16.0|0|0.0|100
0|2021-12-14|412.0|0|428.0|0|16.0|0|0.0|100
0|2021-12-15|435.0|0|435.0|0|16.0|0|0.0|100
0|2021-12-16|437.0|0|437.0|0|16.0|0|0.0|100
0|2021-12-17|440.0|0|440.0|0|16.0|0|0.0|100
0|2021-12-18|440.0|0|440.0|0|16.0|0|0.0|100
0|2021-12-19|440.0|0|440.0|0|16.0|0|0.0|100
0|2021-12-20|447.0|0|447.0|0|16.0|0|0.0|100
0|2021-12-21|447.0|0|447.0|0|17.0|0|0.0|100
0|2021-12-22|447.0|0|447.0|0|17.0|0|0.0|100
0|2021-12-23|447.0|0|447.0|0|17.0|0|0.0|100
0|2021-12-24|447.0|0|447.0|0|17.0|0|0.0|100
0|2021-12-25|447.0|0|447.0|0|17.0|0|0.0|100
0|2021-12-26|447.0|0|447.0|0|17.0|0|0.0|100
0|2021-12-27|448.0|0|448.0|0|17.0|0|0.0|100
0|2021-12-28|448.0|0|448.0|0|18.0|0|0.0|100
0|2021-12-29|449.0|0|449.0|0|18.0|0|0.0|100
0|2021-12-30|449.0|0|449.0|0|18.0|0|0.0|100
0|2021-12-31|449.0|0|449.0|0|18.0|0|0.0|100
0|2022-01-01|449.0|0|449.0|0|18.0|0|0.0|100
0|2022-01-02|449.0|0|449.0|0|18.0|0|0.0|100
0|2022-01-03|465.0|0|465.0|0|18.0|0|0.0|100
0|2022-01-04|465.0|0|465.0|0|18.0|0|0.0|100
0|2022-01-05|470.0|0|470.0|0|18.0|0|0.0|100
0|2022-01-06|476.0|0|476.0|0|19.0|0|0.0|100
0|2022-01-07|478.0|0|478.0|0|19.0|0|0.0|100
0|2022-01-08|478.0|0|478.0|0|19.0|0|0.0|100
0|2022-01-09|478.0|0|478.0|0|19.0|0|0.0|100
0|2022-01-10|475.0|0|475.0|0|19.0|0|0.0|100
0|2022-01-11|479.0|0|479.0|0|19.0|0|0.0|100
0|2022-01-12|482.0|0|482.0|0|19.0|0|0.0|100
0|2022-01-13|482.0|0|484.0|0|19.0|0|0.0|100
0|2022-01-14|488.0|0|488.0|0|19.0|0|0.0|100
0|2022-01-15|488.0|0|488.0|0|19.0|0|0.0|100
0|2022-01-16|488.0|0|488.0|0|19.0|0|0.0|100
0|2022-01-17|488.0|0|0.0|100|19.0|0|0.0|100
