|dates|LaSalle_Texas_UnitedStates.JHU_ConfirmedCases.data|LaSalle_Texas_UnitedStates.JHU_ConfirmedCases.missing|LaSalle_Texas_UnitedStates.NYT_ConfirmedCases.data|LaSalle_Texas_UnitedStates.NYT_ConfirmedCases.missing|LaSalle_Texas_UnitedStates.JHU_ConfirmedDeaths.data|LaSalle_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|LaSalle_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|LaSalle_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1201.0|0|1201.0|0|37.0|0|0.0|100
0|2021-10-18|1203.0|0|1203.0|0|37.0|0|0.0|100
0|2021-10-19|1207.0|0|1207.0|0|37.0|0|0.0|100
0|2021-10-20|1215.0|0|1215.0|0|40.0|0|0.0|100
0|2021-10-21|1220.0|0|1220.0|0|40.0|0|0.0|100
0|2021-10-22|1221.0|0|1221.0|0|40.0|0|0.0|100
0|2021-10-23|1221.0|0|1221.0|0|40.0|0|0.0|100
0|2021-10-24|1221.0|0|1221.0|0|40.0|0|0.0|100
0|2021-10-25|1223.0|0|1223.0|0|40.0|0|0.0|100
0|2021-10-26|1227.0|0|1227.0|0|40.0|0|0.0|100
0|2021-10-27|1227.0|0|1227.0|0|40.0|0|0.0|100
0|2021-10-28|1228.0|0|1228.0|0|40.0|0|0.0|100
0|2021-10-29|1232.0|0|1232.0|0|40.0|0|0.0|100
0|2021-10-30|1232.0|0|1232.0|0|40.0|0|0.0|100
0|2021-10-31|1232.0|0|1232.0|0|40.0|0|0.0|100
0|2021-11-01|1233.0|0|1233.0|0|40.0|0|0.0|100
0|2021-11-02|1228.0|0|1228.0|0|40.0|0|0.0|100
0|2021-11-03|1230.0|0|1230.0|0|40.0|0|0.0|100
0|2021-11-04|1230.0|0|1230.0|0|40.0|0|0.0|100
0|2021-11-05|1228.0|0|1228.0|0|40.0|0|0.0|100
0|2021-11-06|1228.0|0|1228.0|0|40.0|0|0.0|100
0|2021-11-07|1228.0|0|1228.0|0|40.0|0|0.0|100
0|2021-11-08|1228.0|0|1228.0|0|40.0|0|0.0|100
0|2021-11-09|1228.0|0|1228.0|0|40.0|0|0.0|100
0|2021-11-10|1228.0|0|1228.0|0|40.0|0|0.0|100
0|2021-11-11|1228.0|0|1228.0|0|40.0|0|0.0|100
0|2021-11-12|1238.0|0|1238.0|0|40.0|0|0.0|100
0|2021-11-13|1238.0|0|1238.0|0|40.0|0|0.0|100
0|2021-11-14|1238.0|0|1238.0|0|40.0|0|0.0|100
0|2021-11-15|1240.0|0|1240.0|0|40.0|0|0.0|100
0|2021-11-16|1268.0|0|1268.0|0|40.0|0|0.0|100
0|2021-11-17|1300.0|0|1300.0|0|40.0|0|0.0|100
0|2021-11-18|1299.0|0|1299.0|0|40.0|0|0.0|100
0|2021-11-19|1332.0|0|1332.0|0|40.0|0|0.0|100
0|2021-11-20|1332.0|0|1332.0|0|40.0|0|0.0|100
0|2021-11-21|1332.0|0|1332.0|0|40.0|0|0.0|100
0|2021-11-22|1361.0|0|1361.0|0|40.0|0|0.0|100
0|2021-11-23|1361.0|0|1361.0|0|40.0|0|0.0|100
0|2021-11-24|1361.0|0|1361.0|0|40.0|0|0.0|100
0|2021-11-25|1361.0|0|1361.0|0|40.0|0|0.0|100
0|2021-11-26|1361.0|0|1361.0|0|40.0|0|0.0|100
0|2021-11-27|1361.0|0|1361.0|0|40.0|0|0.0|100
0|2021-11-28|1361.0|0|1361.0|0|40.0|0|0.0|100
0|2021-11-29|1361.0|0|1361.0|0|40.0|0|0.0|100
0|2021-11-30|1376.0|0|1376.0|0|40.0|0|0.0|100
0|2021-12-01|1377.0|0|1377.0|0|40.0|0|0.0|100
0|2021-12-02|1391.0|0|1391.0|0|40.0|0|0.0|100
0|2021-12-03|1395.0|0|1395.0|0|40.0|0|0.0|100
0|2021-12-04|1403.0|0|1403.0|0|40.0|0|0.0|100
0|2021-12-05|1403.0|0|1404.0|0|40.0|0|0.0|100
0|2021-12-06|1404.0|0|1404.0|0|40.0|0|0.0|100
0|2021-12-07|1405.0|0|1405.0|0|40.0|0|0.0|100
0|2021-12-08|1406.0|0|1406.0|0|40.0|0|0.0|100
0|2021-12-09|1411.0|0|1411.0|0|40.0|0|0.0|100
0|2021-12-10|1419.0|0|1419.0|0|40.0|0|0.0|100
0|2021-12-11|1429.0|0|1429.0|0|40.0|0|0.0|100
0|2021-12-12|1430.0|0|1430.0|0|40.0|0|0.0|100
0|2021-12-13|1431.0|0|1431.0|0|40.0|0|0.0|100
0|2021-12-14|1431.0|0|1440.0|0|40.0|0|0.0|100
0|2021-12-15|1442.0|0|1442.0|0|40.0|0|0.0|100
0|2021-12-16|1442.0|0|1443.0|0|40.0|0|0.0|100
0|2021-12-17|1444.0|0|1444.0|0|40.0|0|0.0|100
0|2021-12-18|1446.0|0|1446.0|0|40.0|0|0.0|100
0|2021-12-19|1446.0|0|1446.0|0|40.0|0|0.0|100
0|2021-12-20|1446.0|0|1446.0|0|40.0|0|0.0|100
0|2021-12-21|1447.0|0|1447.0|0|40.0|0|0.0|100
0|2021-12-22|1451.0|0|1451.0|0|40.0|0|0.0|100
0|2021-12-23|1452.0|0|1452.0|0|40.0|0|0.0|100
0|2021-12-24|1452.0|0|1452.0|0|40.0|0|0.0|100
0|2021-12-25|1452.0|0|1452.0|0|40.0|0|0.0|100
0|2021-12-26|1452.0|0|1452.0|0|40.0|0|0.0|100
0|2021-12-27|1457.0|0|1457.0|0|40.0|0|0.0|100
0|2021-12-28|1457.0|0|1457.0|0|41.0|0|0.0|100
0|2021-12-29|1457.0|0|1457.0|0|41.0|0|0.0|100
0|2021-12-30|1457.0|0|1457.0|0|41.0|0|0.0|100
0|2021-12-31|1457.0|0|1457.0|0|41.0|0|0.0|100
0|2022-01-01|1457.0|0|1457.0|0|41.0|0|0.0|100
0|2022-01-02|1457.0|0|1457.0|0|41.0|0|0.0|100
0|2022-01-03|1478.0|0|1478.0|0|41.0|0|0.0|100
0|2022-01-04|1493.0|0|1493.0|0|41.0|0|0.0|100
0|2022-01-05|1526.0|0|1526.0|0|41.0|0|0.0|100
0|2022-01-06|1548.0|0|1548.0|0|41.0|0|0.0|100
0|2022-01-07|1558.0|0|1558.0|0|41.0|0|0.0|100
0|2022-01-08|1579.0|0|1579.0|0|41.0|0|0.0|100
0|2022-01-09|1592.0|0|1592.0|0|41.0|0|0.0|100
0|2022-01-10|1602.0|0|1602.0|0|41.0|0|0.0|100
0|2022-01-11|1615.0|0|1615.0|0|41.0|0|0.0|100
0|2022-01-12|1636.0|0|1636.0|0|41.0|0|0.0|100
