|dates|Whatcom_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Whatcom_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Whatcom_Washington_UnitedStates.Male_Total_Population.data|Whatcom_Washington_UnitedStates.Male_Total_Population.missing|Whatcom_Washington_UnitedStates.Female_Total_Population.data|Whatcom_Washington_UnitedStates.Female_Total_Population.missing|Whatcom_Washington_UnitedStates.MaleAndFemale_Under18_Population.data|Whatcom_Washington_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-18|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-19|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-20|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-21|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-22|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-23|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-24|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-25|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-26|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-27|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-28|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-29|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-30|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-10-31|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-01|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-02|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-03|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-04|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-05|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-06|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-07|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-08|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-09|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-10|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-11|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-12|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-13|39158.0|0|111688.0|0|113997.0|0|43910.0|0
0|2021-11-14|39158.0|0|111688.0|0|113997.0|0|43910.0|0
