|dates|Tensas_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Tensas_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Tensas_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Tensas_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Tensas_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Tensas_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Tensas_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Tensas_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|516.0|0|516.0|0|8.0|0|0.0|100
0|2021-10-18|516.0|0|516.0|0|8.0|0|0.0|100
0|2021-10-19|516.0|0|516.0|0|8.0|0|0.0|100
0|2021-10-20|516.0|0|516.0|0|8.0|0|0.0|100
0|2021-10-21|519.0|0|519.0|0|8.0|0|0.0|100
0|2021-10-22|520.0|0|520.0|0|8.0|0|0.0|100
0|2021-10-23|520.0|0|520.0|0|8.0|0|0.0|100
0|2021-10-24|520.0|0|520.0|0|8.0|0|0.0|100
0|2021-10-25|522.0|0|522.0|0|8.0|0|0.0|100
0|2021-10-26|523.0|0|523.0|0|9.0|0|0.0|100
0|2021-10-27|524.0|0|524.0|0|9.0|0|0.0|100
0|2021-10-28|524.0|0|524.0|0|9.0|0|0.0|100
0|2021-10-29|524.0|0|524.0|0|9.0|0|0.0|100
0|2021-10-30|524.0|0|524.0|0|9.0|0|0.0|100
0|2021-10-31|524.0|0|524.0|0|9.0|0|0.0|100
0|2021-11-01|530.0|0|530.0|0|9.0|0|0.0|100
0|2021-11-02|531.0|0|531.0|0|9.0|0|0.0|100
0|2021-11-03|531.0|0|531.0|0|9.0|0|0.0|100
0|2021-11-04|531.0|0|531.0|0|9.0|0|0.0|100
0|2021-11-05|532.0|0|532.0|0|9.0|0|0.0|100
0|2021-11-06|532.0|0|532.0|0|9.0|0|0.0|100
0|2021-11-07|532.0|0|532.0|0|9.0|0|0.0|100
0|2021-11-08|532.0|0|532.0|0|9.0|0|0.0|100
0|2021-11-09|532.0|0|532.0|0|9.0|0|0.0|100
0|2021-11-10|532.0|0|533.0|0|9.0|0|0.0|100
0|2021-11-11|533.0|0|533.0|0|9.0|0|0.0|100
0|2021-11-12|533.0|0|533.0|0|9.0|0|0.0|100
0|2021-11-13|533.0|0|533.0|0|9.0|0|0.0|100
0|2021-11-14|533.0|0|533.0|0|9.0|0|0.0|100
0|2021-11-15|533.0|0|533.0|0|9.0|0|0.0|100
0|2021-11-16|534.0|0|534.0|0|10.0|0|0.0|100
0|2021-11-17|534.0|0|534.0|0|10.0|0|0.0|100
0|2021-11-18|535.0|0|535.0|0|10.0|0|0.0|100
0|2021-11-19|535.0|0|535.0|0|10.0|0|0.0|100
0|2021-11-20|535.0|0|535.0|0|10.0|0|0.0|100
0|2021-11-21|535.0|0|535.0|0|10.0|0|0.0|100
0|2021-11-22|535.0|0|535.0|0|10.0|0|0.0|100
0|2021-11-23|537.0|0|537.0|0|10.0|0|0.0|100
0|2021-11-24|537.0|0|537.0|0|10.0|0|0.0|100
0|2021-11-25|537.0|0|537.0|0|10.0|0|0.0|100
0|2021-11-26|537.0|0|537.0|0|10.0|0|0.0|100
0|2021-11-27|537.0|0|537.0|0|10.0|0|0.0|100
0|2021-11-28|537.0|0|537.0|0|10.0|0|0.0|100
0|2021-11-29|563.0|0|563.0|0|10.0|0|0.0|100
0|2021-11-30|564.0|0|564.0|0|10.0|0|0.0|100
0|2021-12-01|564.0|0|564.0|0|10.0|0|0.0|100
0|2021-12-02|564.0|0|564.0|0|10.0|0|0.0|100
0|2021-12-03|564.0|0|564.0|0|10.0|0|0.0|100
0|2021-12-04|564.0|0|564.0|0|10.0|0|0.0|100
0|2021-12-05|564.0|0|564.0|0|10.0|0|0.0|100
