|dates|Webster_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Webster_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Webster_Missouri_UnitedStates.Male_Total_Population.data|Webster_Missouri_UnitedStates.Male_Total_Population.missing|Webster_Missouri_UnitedStates.Female_Total_Population.data|Webster_Missouri_UnitedStates.Female_Total_Population.missing|Webster_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Webster_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-18|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-19|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-20|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-21|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-22|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-23|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-24|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-25|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-26|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-27|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-28|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-29|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-30|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-10-31|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-01|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-02|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-03|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-04|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-05|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-06|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-07|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-08|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-09|6014.0|0|19965.0|0|19144.0|0|10663.0|0
0|2021-11-10|6014.0|0|19965.0|0|19144.0|0|10663.0|0
