|dates|Logan_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Logan_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Logan_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Logan_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Logan_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Logan_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Logan_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Logan_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|319.0|0|319.0|0|11.0|0|0.0|100
0|2021-10-18|320.0|0|320.0|0|11.0|0|0.0|100
0|2021-10-19|322.0|0|322.0|0|11.0|0|0.0|100
0|2021-10-20|324.0|0|324.0|0|11.0|0|0.0|100
0|2021-10-21|325.0|0|325.0|0|11.0|0|0.0|100
0|2021-10-22|327.0|0|327.0|0|11.0|0|0.0|100
0|2021-10-23|327.0|0|327.0|0|11.0|0|0.0|100
0|2021-10-24|327.0|0|327.0|0|11.0|0|0.0|100
0|2021-10-25|327.0|0|327.0|0|11.0|0|0.0|100
0|2021-10-26|328.0|0|328.0|0|11.0|0|0.0|100
0|2021-10-27|328.0|0|328.0|0|11.0|0|0.0|100
0|2021-10-28|329.0|0|329.0|0|11.0|0|0.0|100
0|2021-10-29|328.0|0|328.0|0|11.0|0|0.0|100
0|2021-10-30|328.0|0|328.0|0|11.0|0|0.0|100
0|2021-10-31|328.0|0|328.0|0|11.0|0|0.0|100
0|2021-11-01|328.0|0|328.0|0|11.0|0|0.0|100
0|2021-11-02|328.0|0|328.0|0|11.0|0|0.0|100
0|2021-11-03|328.0|0|328.0|0|11.0|0|0.0|100
0|2021-11-04|328.0|0|328.0|0|11.0|0|0.0|100
0|2021-11-05|329.0|0|329.0|0|11.0|0|0.0|100
0|2021-11-06|329.0|0|329.0|0|11.0|0|0.0|100
0|2021-11-07|329.0|0|329.0|0|11.0|0|0.0|100
0|2021-11-08|329.0|0|329.0|0|11.0|0|0.0|100
0|2021-11-09|330.0|0|330.0|0|11.0|0|0.0|100
0|2021-11-10|330.0|0|330.0|0|11.0|0|0.0|100
0|2021-11-11|330.0|0|330.0|0|11.0|0|0.0|100
