|dates|Hudspeth_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hudspeth_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hudspeth_Texas_UnitedStates.Male_Total_Population.data|Hudspeth_Texas_UnitedStates.Male_Total_Population.missing|Hudspeth_Texas_UnitedStates.Female_Total_Population.data|Hudspeth_Texas_UnitedStates.Female_Total_Population.missing|Hudspeth_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Hudspeth_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-18|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-19|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-20|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-21|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-22|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-23|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-24|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-25|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-26|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-27|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-28|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-29|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-30|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-10-31|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-01|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-02|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-03|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-04|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-05|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-06|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-07|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-08|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-09|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-10|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-11|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-12|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-13|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-14|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-15|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-16|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-17|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-18|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-19|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-20|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-21|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-22|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-23|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-24|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-25|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-26|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-27|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-28|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-29|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-11-30|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-01|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-02|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-03|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-04|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-05|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-06|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-07|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-08|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-09|737.0|0|2541.0|0|2254.0|0|1016.0|0
0|2021-12-10|737.0|0|2541.0|0|2254.0|0|1016.0|0
