|dates|Sarpy_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sarpy_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sarpy_Nebraska_UnitedStates.Male_Total_Population.data|Sarpy_Nebraska_UnitedStates.Male_Total_Population.missing|Sarpy_Nebraska_UnitedStates.Female_Total_Population.data|Sarpy_Nebraska_UnitedStates.Female_Total_Population.missing|Sarpy_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Sarpy_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-18|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-19|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-20|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-21|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-22|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-23|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-24|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-25|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-26|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-27|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-28|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-29|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-30|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-10-31|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-01|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-02|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-03|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-04|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-05|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-06|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-07|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-08|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-09|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-10|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-11|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-12|21677.0|0|92307.0|0|92152.0|0|50551.0|0
0|2021-11-13|21677.0|0|92307.0|0|92152.0|0|50551.0|0
