|dates|Unassigned_Connecticut_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Connecticut_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Connecticut_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Connecticut_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Connecticut_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Connecticut_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1347.0|0|1347.0|0|9.0|0|0.0|100
0|2021-10-18|1347.0|0|1347.0|0|9.0|0|0.0|100
0|2021-10-19|1346.0|0|1346.0|0|9.0|0|0.0|100
0|2021-10-20|1348.0|0|1348.0|0|9.0|0|0.0|100
0|2021-10-21|1347.0|0|1347.0|0|9.0|0|0.0|100
0|2021-10-22|1343.0|0|1343.0|0|5.0|0|0.0|100
0|2021-10-23|1343.0|0|1343.0|0|5.0|0|0.0|100
0|2021-10-24|1343.0|0|1343.0|0|5.0|0|0.0|100
0|2021-10-25|1344.0|0|1344.0|0|5.0|0|0.0|100
0|2021-10-26|1346.0|0|1346.0|0|5.0|0|0.0|100
0|2021-10-27|1352.0|0|1352.0|0|5.0|0|0.0|100
0|2021-10-28|1355.0|0|1355.0|0|5.0|0|0.0|100
0|2021-10-29|1356.0|0|1356.0|0|5.0|0|0.0|100
0|2021-10-30|1356.0|0|1356.0|0|5.0|0|0.0|100
0|2021-10-31|1356.0|0|1356.0|0|5.0|0|0.0|100
0|2021-11-01|1358.0|0|1358.0|0|5.0|0|0.0|100
0|2021-11-02|1361.0|0|1361.0|0|5.0|0|0.0|100
0|2021-11-03|1363.0|0|1363.0|0|5.0|0|0.0|100
0|2021-11-04|1362.0|0|1362.0|0|5.0|0|0.0|100
0|2021-11-05|1361.0|0|1361.0|0|5.0|0|0.0|100
0|2021-11-06|1361.0|0|1361.0|0|5.0|0|0.0|100
0|2021-11-07|1361.0|0|1361.0|0|5.0|0|0.0|100
0|2021-11-08|1363.0|0|1363.0|0|5.0|0|0.0|100
0|2021-11-09|1369.0|0|1369.0|0|5.0|0|0.0|100
