|dates|Marion_Ohio_UnitedStates.JHU_ConfirmedCases.data|Marion_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Marion_Ohio_UnitedStates.NYT_ConfirmedCases.data|Marion_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Marion_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11770.0|0|11770.0|0|183.0|0|0.0|100
0|2021-10-18|11797.0|0|11797.0|0|183.0|0|0.0|100
0|2021-10-19|11831.0|0|11831.0|0|183.0|0|0.0|100
0|2021-10-20|11864.0|0|11864.0|0|183.0|0|0.0|100
0|2021-10-21|11906.0|0|11906.0|0|184.0|0|0.0|100
0|2021-10-22|11957.0|0|11957.0|0|185.0|0|0.0|100
0|2021-10-23|11976.0|0|11976.0|0|185.0|0|0.0|100
0|2021-10-24|11995.0|0|11995.0|0|185.0|0|0.0|100
0|2021-10-25|12016.0|0|12016.0|0|185.0|0|0.0|100
0|2021-10-26|12047.0|0|12047.0|0|185.0|0|0.0|100
0|2021-10-27|12065.0|0|12065.0|0|185.0|0|0.0|100
0|2021-10-28|12091.0|0|12091.0|0|185.0|0|0.0|100
0|2021-10-29|12117.0|0|12117.0|0|185.0|0|0.0|100
0|2021-10-30|12147.0|0|12147.0|0|185.0|0|0.0|100
0|2021-10-31|12165.0|0|12165.0|0|185.0|0|0.0|100
0|2021-11-01|12181.0|0|12181.0|0|185.0|0|0.0|100
0|2021-11-02|12191.0|0|12191.0|0|185.0|0|0.0|100
0|2021-11-03|12216.0|0|12216.0|0|185.0|0|0.0|100
0|2021-11-04|12247.0|0|12247.0|0|185.0|0|0.0|100
0|2021-11-05|12279.0|0|12279.0|0|185.0|0|0.0|100
0|2021-11-06|12303.0|0|12303.0|0|185.0|0|0.0|100
0|2021-11-07|12326.0|0|12326.0|0|185.0|0|0.0|100
0|2021-11-08|12344.0|0|12344.0|0|185.0|0|0.0|100
0|2021-11-09|12367.0|0|12367.0|0|186.0|0|0.0|100
0|2021-11-10|12414.0|0|12414.0|0|186.0|0|0.0|100
0|2021-11-11|12446.0|0|12446.0|0|186.0|0|0.0|100
0|2021-11-12|12481.0|0|12481.0|0|187.0|0|0.0|100
0|2021-11-13|12512.0|0|12512.0|0|187.0|0|0.0|100
