|dates|Mono_California_UnitedStates.JHU_ConfirmedCases.data|Mono_California_UnitedStates.JHU_ConfirmedCases.missing|Mono_California_UnitedStates.NYT_ConfirmedCases.data|Mono_California_UnitedStates.NYT_ConfirmedCases.missing|Mono_California_UnitedStates.JHU_ConfirmedDeaths.data|Mono_California_UnitedStates.JHU_ConfirmedDeaths.missing|Mono_California_UnitedStates.JHU_ConfirmedRecoveries.data|Mono_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-29|2065.0|0|2065.0|0|4.0|0|0.0|100
0|2021-12-30|2077.0|0|2077.0|0|4.0|0|0.0|100
0|2021-12-31|2122.0|0|2122.0|0|4.0|0|0.0|100
0|2022-01-01|2122.0|0|2122.0|0|4.0|0|0.0|100
0|2022-01-02|2122.0|0|2122.0|0|4.0|0|0.0|100
0|2022-01-03|2122.0|0|2122.0|0|4.0|0|0.0|100
0|2022-01-04|2193.0|0|2193.0|0|4.0|0|0.0|100
0|2022-01-05|2211.0|0|2211.0|0|4.0|0|0.0|100
0|2022-01-06|2234.0|0|2234.0|0|4.0|0|0.0|100
0|2022-01-07|2273.0|0|2273.0|0|4.0|0|0.0|100
0|2022-01-08|2273.0|0|2273.0|0|4.0|0|0.0|100
0|2022-01-09|2273.0|0|2273.0|0|4.0|0|0.0|100
0|2022-01-10|2423.0|0|2423.0|0|4.0|0|0.0|100
0|2022-01-11|2448.0|0|2448.0|0|4.0|0|0.0|100
0|2022-01-12|2552.0|0|2458.0|0|4.0|0|0.0|100
0|2022-01-13|2552.0|0|2552.0|0|4.0|0|0.0|100
0|2022-01-14|2594.0|0|2594.0|0|4.0|0|0.0|100
0|2022-01-15|2594.0|0|2594.0|0|4.0|0|0.0|100
0|2022-01-16|2594.0|0|2594.0|0|4.0|0|0.0|100
0|2022-01-17|2700.0|0|0.0|100|4.0|0|0.0|100
