|dates|Butte_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Butte_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Butte_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Butte_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Butte_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Butte_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Butte_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Butte_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1773.0|0|1773.0|0|27.0|0|0.0|100
0|2021-10-18|1773.0|0|1780.0|0|27.0|0|0.0|100
0|2021-10-19|1773.0|0|1794.0|0|27.0|0|0.0|100
0|2021-10-20|1810.0|0|1810.0|0|27.0|0|0.0|100
0|2021-10-21|1817.0|0|1817.0|0|29.0|0|0.0|100
0|2021-10-22|1825.0|0|1825.0|0|29.0|0|0.0|100
0|2021-10-23|1825.0|0|1825.0|0|29.0|0|0.0|100
0|2021-10-24|1825.0|0|1825.0|0|29.0|0|0.0|100
0|2021-10-25|1829.0|0|1829.0|0|29.0|0|0.0|100
0|2021-10-26|1847.0|0|1847.0|0|30.0|0|0.0|100
0|2021-10-27|1860.0|0|1860.0|0|31.0|0|0.0|100
0|2021-10-28|1867.0|0|1867.0|0|31.0|0|0.0|100
0|2021-10-29|1876.0|0|1876.0|0|31.0|0|0.0|100
0|2021-10-30|1876.0|0|1876.0|0|31.0|0|0.0|100
0|2021-10-31|1876.0|0|1876.0|0|31.0|0|0.0|100
0|2021-11-01|1885.0|0|1885.0|0|31.0|0|0.0|100
0|2021-11-02|1899.0|0|1899.0|0|31.0|0|0.0|100
0|2021-11-03|1906.0|0|1906.0|0|31.0|0|0.0|100
0|2021-11-04|1914.0|0|1914.0|0|31.0|0|0.0|100
0|2021-11-05|1923.0|0|1923.0|0|31.0|0|0.0|100
0|2021-11-06|1923.0|0|1923.0|0|31.0|0|0.0|100
0|2021-11-07|1923.0|0|1923.0|0|31.0|0|0.0|100
0|2021-11-08|1928.0|0|1928.0|0|31.0|0|0.0|100
0|2021-11-09|1942.0|0|1942.0|0|31.0|0|0.0|100
0|2021-11-10|1952.0|0|1952.0|0|33.0|0|0.0|100
0|2021-11-11|1952.0|0|1952.0|0|33.0|0|0.0|100
0|2021-11-12|1962.0|0|1962.0|0|33.0|0|0.0|100
0|2021-11-13|1962.0|0|1962.0|0|33.0|0|0.0|100
0|2021-11-14|1962.0|0|1962.0|0|33.0|0|0.0|100
0|2021-11-15|1976.0|0|1976.0|0|33.0|0|0.0|100
0|2021-11-16|1989.0|0|1989.0|0|33.0|0|0.0|100
0|2021-11-17|1997.0|0|1997.0|0|33.0|0|0.0|100
0|2021-11-18|2000.0|0|2000.0|0|33.0|0|0.0|100
0|2021-11-19|2006.0|0|2006.0|0|33.0|0|0.0|100
0|2021-11-20|2006.0|0|2006.0|0|33.0|0|0.0|100
0|2021-11-21|2006.0|0|2006.0|0|33.0|0|0.0|100
0|2021-11-22|2011.0|0|2011.0|0|33.0|0|0.0|100
0|2021-11-23|2026.0|0|2026.0|0|34.0|0|0.0|100
0|2021-11-24|2036.0|0|2036.0|0|34.0|0|0.0|100
0|2021-11-25|2036.0|0|2036.0|0|34.0|0|0.0|100
0|2021-11-26|2036.0|0|2036.0|0|34.0|0|0.0|100
0|2021-11-27|2036.0|0|2036.0|0|34.0|0|0.0|100
0|2021-11-28|2036.0|0|2036.0|0|34.0|0|0.0|100
0|2021-11-29|2046.0|0|2046.0|0|34.0|0|0.0|100
0|2021-11-30|2053.0|0|2053.0|0|34.0|0|0.0|100
0|2021-12-01|2065.0|0|2065.0|0|34.0|0|0.0|100
0|2021-12-02|2073.0|0|2073.0|0|34.0|0|0.0|100
0|2021-12-03|2081.0|0|2081.0|0|34.0|0|0.0|100
0|2021-12-04|2081.0|0|2081.0|0|34.0|0|0.0|100
0|2021-12-05|2081.0|0|2081.0|0|34.0|0|0.0|100
0|2021-12-06|2088.0|0|2088.0|0|34.0|0|0.0|100
0|2021-12-07|2099.0|0|2099.0|0|34.0|0|0.0|100
0|2021-12-08|2107.0|0|2107.0|0|35.0|0|0.0|100
0|2021-12-09|2110.0|0|2110.0|0|35.0|0|0.0|100
0|2021-12-10|2115.0|0|2115.0|0|35.0|0|0.0|100
0|2021-12-11|2115.0|0|2115.0|0|35.0|0|0.0|100
0|2021-12-12|2115.0|0|2115.0|0|35.0|0|0.0|100
0|2021-12-13|2107.0|0|2107.0|0|35.0|0|0.0|100
0|2021-12-14|2107.0|0|2115.0|0|35.0|0|0.0|100
0|2021-12-15|2120.0|0|2120.0|0|35.0|0|0.0|100
0|2021-12-16|2124.0|0|2124.0|0|36.0|0|0.0|100
0|2021-12-17|2125.0|0|2125.0|0|36.0|0|0.0|100
0|2021-12-18|2125.0|0|2125.0|0|36.0|0|0.0|100
0|2021-12-19|2125.0|0|2125.0|0|36.0|0|0.0|100
0|2021-12-20|2128.0|0|2128.0|0|36.0|0|0.0|100
0|2021-12-21|2130.0|0|2130.0|0|36.0|0|0.0|100
0|2021-12-22|2133.0|0|2133.0|0|36.0|0|0.0|100
0|2021-12-23|2135.0|0|2135.0|0|37.0|0|0.0|100
0|2021-12-24|2135.0|0|2135.0|0|37.0|0|0.0|100
0|2021-12-25|2135.0|0|2135.0|0|37.0|0|0.0|100
0|2021-12-26|2135.0|0|2135.0|0|37.0|0|0.0|100
0|2021-12-27|2137.0|0|2137.0|0|39.0|0|0.0|100
0|2021-12-28|2139.0|0|2139.0|0|39.0|0|0.0|100
0|2021-12-29|2142.0|0|2142.0|0|39.0|0|0.0|100
0|2021-12-30|2146.0|0|2146.0|0|40.0|0|0.0|100
0|2021-12-31|2146.0|0|2146.0|0|40.0|0|0.0|100
0|2022-01-01|2146.0|0|2146.0|0|40.0|0|0.0|100
0|2022-01-02|2146.0|0|2146.0|0|40.0|0|0.0|100
0|2022-01-03|2153.0|0|2153.0|0|40.0|0|0.0|100
0|2022-01-04|2165.0|0|2165.0|0|40.0|0|0.0|100
0|2022-01-05|2172.0|0|2172.0|0|40.0|0|0.0|100
0|2022-01-06|2184.0|0|2184.0|0|40.0|0|0.0|100
0|2022-01-07|2195.0|0|2195.0|0|40.0|0|0.0|100
0|2022-01-08|2195.0|0|2195.0|0|40.0|0|0.0|100
0|2022-01-09|2195.0|0|2195.0|0|40.0|0|0.0|100
0|2022-01-10|2208.0|0|2208.0|0|40.0|0|0.0|100
0|2022-01-11|2216.0|0|2216.0|0|40.0|0|0.0|100
0|2022-01-12|2240.0|0|2240.0|0|40.0|0|0.0|100
0|2022-01-13|2240.0|0|2257.0|0|40.0|0|0.0|100
0|2022-01-14|2257.0|0|2274.0|0|40.0|0|0.0|100
0|2022-01-15|2274.0|0|2274.0|0|41.0|0|0.0|100
0|2022-01-16|2274.0|0|2274.0|0|41.0|0|0.0|100
0|2022-01-17|2274.0|0|0.0|100|41.0|0|0.0|100
