|dates|Sac_Iowa_UnitedStates.JHU_ConfirmedCases.data|Sac_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Sac_Iowa_UnitedStates.NYT_ConfirmedCases.data|Sac_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Sac_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Sac_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Sac_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Sac_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1563.0|0|1565.0|0|23.0|0|0.0|100
0|2021-10-18|1563.0|0|1565.0|0|23.0|0|0.0|100
0|2021-10-19|1563.0|0|1565.0|0|23.0|0|0.0|100
0|2021-10-20|1579.0|0|1579.0|0|24.0|0|0.0|100
0|2021-10-21|1579.0|0|1579.0|0|24.0|0|0.0|100
0|2021-10-22|1579.0|0|1579.0|0|24.0|0|0.0|100
0|2021-10-23|1579.0|0|1579.0|0|24.0|0|0.0|100
0|2021-10-24|1579.0|0|1579.0|0|24.0|0|0.0|100
0|2021-10-25|1579.0|0|1579.0|0|24.0|0|0.0|100
0|2021-10-26|1579.0|0|1579.0|0|24.0|0|0.0|100
0|2021-10-27|1605.0|0|1605.0|0|25.0|0|0.0|100
0|2021-10-28|1605.0|0|1605.0|0|25.0|0|0.0|100
0|2021-10-29|1605.0|0|1605.0|0|25.0|0|0.0|100
0|2021-10-30|1605.0|0|1605.0|0|25.0|0|0.0|100
0|2021-10-31|1605.0|0|1605.0|0|25.0|0|0.0|100
0|2021-11-01|1605.0|0|1605.0|0|25.0|0|0.0|100
0|2021-11-02|1605.0|0|1605.0|0|25.0|0|0.0|100
0|2021-11-03|1618.0|0|1619.0|0|26.0|0|0.0|100
0|2021-11-04|1618.0|0|1619.0|0|26.0|0|0.0|100
0|2021-11-05|1618.0|0|1619.0|0|26.0|0|0.0|100
0|2021-11-06|1618.0|0|1619.0|0|26.0|0|0.0|100
0|2021-11-07|1618.0|0|1619.0|0|26.0|0|0.0|100
0|2021-11-08|1618.0|0|1619.0|0|26.0|0|0.0|100
0|2021-11-09|1618.0|0|1619.0|0|26.0|0|0.0|100
0|2021-11-10|1618.0|0|1652.0|0|26.0|0|0.0|100
0|2021-11-11|1650.0|0|1652.0|0|26.0|0|0.0|100
0|2021-11-12|1650.0|0|1652.0|0|26.0|0|0.0|100
0|2021-11-13|1650.0|0|1652.0|0|26.0|0|0.0|100
0|2021-11-14|1650.0|0|1652.0|0|26.0|0|0.0|100
0|2021-11-15|1650.0|0|1652.0|0|26.0|0|0.0|100
0|2021-11-16|1650.0|0|1652.0|0|26.0|0|0.0|100
0|2021-11-17|1668.0|0|1676.0|0|26.0|0|0.0|100
0|2021-11-18|1668.0|0|1676.0|0|26.0|0|0.0|100
0|2021-11-19|1668.0|0|1676.0|0|26.0|0|0.0|100
0|2021-11-20|1668.0|0|1676.0|0|26.0|0|0.0|100
0|2021-11-21|1668.0|0|1676.0|0|26.0|0|0.0|100
0|2021-11-22|1668.0|0|1676.0|0|26.0|0|0.0|100
0|2021-11-23|1668.0|0|1676.0|0|26.0|0|0.0|100
0|2021-11-24|1710.0|0|1717.0|0|26.0|0|0.0|100
0|2021-11-25|1710.0|0|1717.0|0|26.0|0|0.0|100
0|2021-11-26|1710.0|0|1717.0|0|26.0|0|0.0|100
0|2021-11-27|1710.0|0|1717.0|0|26.0|0|0.0|100
0|2021-11-28|1710.0|0|1717.0|0|26.0|0|0.0|100
0|2021-11-29|1710.0|0|1717.0|0|26.0|0|0.0|100
0|2021-11-30|1710.0|0|1717.0|0|26.0|0|0.0|100
0|2021-12-01|1756.0|0|1762.0|0|26.0|0|0.0|100
0|2021-12-02|1756.0|0|1762.0|0|26.0|0|0.0|100
0|2021-12-03|1756.0|0|1762.0|0|26.0|0|0.0|100
0|2021-12-04|1756.0|0|1762.0|0|26.0|0|0.0|100
0|2021-12-05|1756.0|0|1762.0|0|26.0|0|0.0|100
0|2021-12-06|1756.0|0|1762.0|0|26.0|0|0.0|100
0|2021-12-07|1756.0|0|1762.0|0|26.0|0|0.0|100
0|2021-12-08|1792.0|0|1797.0|0|26.0|0|0.0|100
0|2021-12-09|1792.0|0|1797.0|0|26.0|0|0.0|100
0|2021-12-10|1809.0|0|1797.0|0|26.0|0|0.0|100
0|2021-12-11|1809.0|0|1797.0|0|26.0|0|0.0|100
0|2021-12-12|1809.0|0|1797.0|0|26.0|0|0.0|100
0|2021-12-13|1809.0|0|1797.0|0|26.0|0|0.0|100
0|2021-12-14|1809.0|0|1797.0|0|26.0|0|0.0|100
0|2021-12-15|1827.0|0|1827.0|0|26.0|0|0.0|100
0|2021-12-16|1827.0|0|1827.0|0|26.0|0|0.0|100
0|2021-12-17|1827.0|0|1827.0|0|26.0|0|0.0|100
0|2021-12-18|1827.0|0|1827.0|0|26.0|0|0.0|100
0|2021-12-19|1827.0|0|1827.0|0|26.0|0|0.0|100
0|2021-12-20|1827.0|0|1827.0|0|26.0|0|0.0|100
0|2021-12-21|1827.0|0|1827.0|0|26.0|0|0.0|100
0|2021-12-22|1843.0|0|1847.0|0|27.0|0|0.0|100
0|2021-12-23|1843.0|0|1847.0|0|27.0|0|0.0|100
0|2021-12-24|1843.0|0|1847.0|0|27.0|0|0.0|100
0|2021-12-25|1843.0|0|1847.0|0|27.0|0|0.0|100
