|dates|Blount_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Blount_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Blount_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Blount_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Blount_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Blount_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Blount_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Blount_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23412.0|0|23412.0|0|259.0|0|0.0|100
0|2021-10-18|23491.0|0|23491.0|0|265.0|0|0.0|100
0|2021-10-19|23518.0|0|23518.0|0|265.0|0|0.0|100
0|2021-10-20|23542.0|0|23542.0|0|265.0|0|0.0|100
0|2021-10-21|23571.0|0|23571.0|0|265.0|0|0.0|100
0|2021-10-22|23605.0|0|23605.0|0|265.0|0|0.0|100
0|2021-10-23|23605.0|0|23605.0|0|265.0|0|0.0|100
0|2021-10-24|23605.0|0|23605.0|0|265.0|0|0.0|100
0|2021-10-25|23605.0|0|23605.0|0|265.0|0|0.0|100
0|2021-10-26|23672.0|0|23672.0|0|267.0|0|0.0|100
0|2021-10-27|23708.0|0|23708.0|0|267.0|0|0.0|100
0|2021-10-28|23744.0|0|23744.0|0|269.0|0|0.0|100
0|2021-10-29|23759.0|0|23759.0|0|269.0|0|0.0|100
0|2021-10-30|23759.0|0|23759.0|0|269.0|0|0.0|100
0|2021-10-31|23759.0|0|23759.0|0|269.0|0|0.0|100
0|2021-11-01|23759.0|0|23759.0|0|269.0|0|0.0|100
0|2021-11-02|23819.0|0|23819.0|0|269.0|0|0.0|100
0|2021-11-03|23842.0|0|23842.0|0|269.0|0|0.0|100
0|2021-11-04|23865.0|0|23865.0|0|269.0|0|0.0|100
0|2021-11-05|23886.0|0|23886.0|0|269.0|0|0.0|100
0|2021-11-06|23886.0|0|23886.0|0|269.0|0|0.0|100
0|2021-11-07|23886.0|0|23886.0|0|269.0|0|0.0|100
0|2021-11-08|23886.0|0|23886.0|0|269.0|0|0.0|100
0|2021-11-09|23951.0|0|23951.0|0|270.0|0|0.0|100
