|dates|Custer_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Custer_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Custer_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Custer_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Custer_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Custer_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Custer_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Custer_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4902.0|0|4902.0|0|115.0|0|0.0|100
0|2021-10-18|4902.0|0|4902.0|0|115.0|0|0.0|100
0|2021-10-19|4902.0|0|4902.0|0|115.0|0|0.0|100
0|2021-10-20|4978.0|0|4978.0|0|128.0|0|0.0|100
0|2021-10-21|4978.0|0|4978.0|0|128.0|0|0.0|100
0|2021-10-22|4978.0|0|4978.0|0|128.0|0|0.0|100
0|2021-10-23|4978.0|0|4978.0|0|128.0|0|0.0|100
0|2021-10-24|4978.0|0|4978.0|0|128.0|0|0.0|100
0|2021-10-25|4978.0|0|4978.0|0|128.0|0|0.0|100
0|2021-10-26|4978.0|0|4978.0|0|128.0|0|0.0|100
0|2021-10-27|5026.0|0|5026.0|0|128.0|0|0.0|100
0|2021-10-28|5026.0|0|5026.0|0|128.0|0|0.0|100
0|2021-10-29|5026.0|0|5026.0|0|128.0|0|0.0|100
0|2021-10-30|5026.0|0|5026.0|0|128.0|0|0.0|100
0|2021-10-31|5026.0|0|5026.0|0|128.0|0|0.0|100
0|2021-11-01|5026.0|0|5026.0|0|128.0|0|0.0|100
0|2021-11-02|5026.0|0|5026.0|0|128.0|0|0.0|100
0|2021-11-03|5075.0|0|5075.0|0|129.0|0|0.0|100
0|2021-11-04|5075.0|0|5075.0|0|129.0|0|0.0|100
0|2021-11-05|5075.0|0|5075.0|0|129.0|0|0.0|100
0|2021-11-06|5075.0|0|5075.0|0|129.0|0|0.0|100
0|2021-11-07|5075.0|0|5075.0|0|129.0|0|0.0|100
0|2021-11-08|5075.0|0|5075.0|0|129.0|0|0.0|100
0|2021-11-09|5075.0|0|5075.0|0|129.0|0|0.0|100
0|2021-11-10|5075.0|0|5119.0|0|129.0|0|0.0|100
0|2021-11-11|5075.0|0|5119.0|0|129.0|0|0.0|100
0|2021-11-12|5119.0|0|5119.0|0|129.0|0|0.0|100
0|2021-11-13|5119.0|0|5119.0|0|129.0|0|0.0|100
0|2021-11-14|5119.0|0|5119.0|0|129.0|0|0.0|100
0|2021-11-15|5119.0|0|5119.0|0|129.0|0|0.0|100
0|2021-11-16|5119.0|0|5119.0|0|129.0|0|0.0|100
0|2021-11-17|5173.0|0|5173.0|0|129.0|0|0.0|100
0|2021-11-18|5173.0|0|5173.0|0|129.0|0|0.0|100
0|2021-11-19|5173.0|0|5173.0|0|129.0|0|0.0|100
0|2021-11-20|5173.0|0|5173.0|0|129.0|0|0.0|100
0|2021-11-21|5173.0|0|5173.0|0|129.0|0|0.0|100
