|dates|Maricopa_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Maricopa_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Maricopa_Arizona_UnitedStates.NYT_ConfirmedDeaths.data|Maricopa_Arizona_UnitedStates.NYT_ConfirmedDeaths.missing|Maricopa_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Maricopa_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Maricopa_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Maricopa_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|11827.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|11827.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|11922.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|11968.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|12000.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|12027.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|12041.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|12047.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|12047.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|12092.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|12160.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|12147.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|12197.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|12232.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|12230.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|12230.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|12223.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|12277.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|12286.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|12318.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|12351.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|12352.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|12352.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|12367.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|12397.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|12419.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|12439.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|12459.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|12459.0|0|0.0|100|0.0|100
