|dates|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-01|617.0|0|617.0|0|0.0|0|0.0|100
0|2022-01-02|617.0|0|617.0|0|0.0|0|0.0|100
0|2022-01-03|634.0|0|634.0|0|0.0|0|0.0|100
0|2022-01-04|653.0|0|653.0|0|0.0|0|0.0|100
0|2022-01-05|661.0|0|661.0|0|0.0|0|0.0|100
0|2022-01-06|666.0|0|666.0|0|0.0|0|0.0|100
0|2022-01-07|691.0|0|691.0|0|0.0|0|0.0|100
0|2022-01-08|691.0|0|691.0|0|0.0|0|0.0|100
0|2022-01-09|691.0|0|691.0|0|0.0|0|0.0|100
0|2022-01-10|706.0|0|706.0|0|0.0|0|0.0|100
0|2022-01-11|714.0|0|714.0|0|0.0|0|0.0|100
0|2022-01-12|714.0|0|18306.0|0|0.0|0|0.0|100
0|2022-01-13|714.0|0|33238.0|0|0.0|0|0.0|100
0|2022-01-14|799.0|0|799.0|0|0.0|0|0.0|100
0|2022-01-15|799.0|0|799.0|0|0.0|0|0.0|100
0|2022-01-16|799.0|0|799.0|0|0.0|0|0.0|100
0|2022-01-17|799.0|0|0.0|100|0.0|0|0.0|100
