|dates|Penobscot_Maine_UnitedStates.JHU_ConfirmedCases.data|Penobscot_Maine_UnitedStates.JHU_ConfirmedCases.missing|Penobscot_Maine_UnitedStates.NYT_ConfirmedCases.data|Penobscot_Maine_UnitedStates.NYT_ConfirmedCases.missing|Penobscot_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Penobscot_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Penobscot_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Penobscot_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11665.0|0|11665.0|0|172.0|0|0.0|100
0|2021-10-18|11665.0|0|11665.0|0|172.0|0|0.0|100
0|2021-10-19|11776.0|0|11776.0|0|172.0|0|0.0|100
0|2021-10-20|11847.0|0|11847.0|0|172.0|0|0.0|100
0|2021-10-21|11893.0|0|11893.0|0|172.0|0|0.0|100
0|2021-10-22|11961.0|0|11961.0|0|172.0|0|0.0|100
0|2021-10-23|12025.0|0|12025.0|0|174.0|0|0.0|100
0|2021-10-24|12025.0|0|12025.0|0|174.0|0|0.0|100
0|2021-10-25|12025.0|0|12025.0|0|174.0|0|0.0|100
0|2021-10-26|12115.0|0|12115.0|0|181.0|0|0.0|100
0|2021-10-27|12161.0|0|12161.0|0|184.0|0|0.0|100
0|2021-10-28|12204.0|0|12204.0|0|185.0|0|0.0|100
0|2021-10-29|12270.0|0|12270.0|0|185.0|0|0.0|100
0|2021-10-30|12321.0|0|12321.0|0|185.0|0|0.0|100
0|2021-10-31|12321.0|0|12321.0|0|185.0|0|0.0|100
0|2021-11-01|12321.0|0|12321.0|0|185.0|0|0.0|100
0|2021-11-02|12421.0|0|12421.0|0|185.0|0|0.0|100
0|2021-11-03|12467.0|0|12467.0|0|189.0|0|0.0|100
0|2021-11-04|12529.0|0|12529.0|0|190.0|0|0.0|100
0|2021-11-05|12557.0|0|12557.0|0|191.0|0|0.0|100
0|2021-11-06|12621.0|0|12621.0|0|192.0|0|0.0|100
0|2021-11-07|12621.0|0|12621.0|0|192.0|0|0.0|100
0|2021-11-08|12621.0|0|12621.0|0|192.0|0|0.0|100
0|2021-11-09|12740.0|0|12740.0|0|192.0|0|0.0|100
0|2021-11-10|12740.0|0|12806.0|0|192.0|0|0.0|100
0|2021-11-11|12891.0|0|12891.0|0|192.0|0|0.0|100
0|2021-11-12|12891.0|0|12891.0|0|192.0|0|0.0|100
0|2021-11-13|12978.0|0|12978.0|0|192.0|0|0.0|100
0|2021-11-14|12978.0|0|12978.0|0|192.0|0|0.0|100
0|2021-11-15|12978.0|0|12978.0|0|192.0|0|0.0|100
0|2021-11-16|13085.0|0|13085.0|0|194.0|0|0.0|100
0|2021-11-17|13149.0|0|13149.0|0|194.0|0|0.0|100
0|2021-11-18|13240.0|0|13240.0|0|196.0|0|0.0|100
0|2021-11-19|13311.0|0|13311.0|0|197.0|0|0.0|100
0|2021-11-20|13435.0|0|13435.0|0|197.0|0|0.0|100
0|2021-11-21|13436.0|0|13436.0|0|197.0|0|0.0|100
0|2021-11-22|13436.0|0|13436.0|0|197.0|0|0.0|100
0|2021-11-23|13561.0|0|13561.0|0|202.0|0|0.0|100
0|2021-11-24|13660.0|0|13660.0|0|202.0|0|0.0|100
0|2021-11-25|13725.0|0|13725.0|0|202.0|0|0.0|100
0|2021-11-26|13725.0|0|13725.0|0|202.0|0|0.0|100
0|2021-11-27|13725.0|0|13725.0|0|202.0|0|0.0|100
0|2021-11-28|13725.0|0|13725.0|0|202.0|0|0.0|100
0|2021-11-29|13759.0|0|13759.0|0|203.0|0|0.0|100
0|2021-11-30|13879.0|0|13879.0|0|204.0|0|0.0|100
0|2021-12-01|14000.0|0|14000.0|0|205.0|0|0.0|100
0|2021-12-02|14000.0|0|14103.0|0|205.0|0|0.0|100
0|2021-12-03|14212.0|0|14212.0|0|205.0|0|0.0|100
0|2021-12-04|14340.0|0|14340.0|0|205.0|0|0.0|100
0|2021-12-05|14340.0|0|14340.0|0|205.0|0|0.0|100
0|2021-12-06|14340.0|0|14340.0|0|205.0|0|0.0|100
0|2021-12-07|14473.0|0|14473.0|0|206.0|0|0.0|100
0|2021-12-08|14601.0|0|14601.0|0|206.0|0|0.0|100
0|2021-12-09|14739.0|0|14739.0|0|206.0|0|0.0|100
0|2021-12-10|15103.0|0|15103.0|0|206.0|0|0.0|100
0|2021-12-11|15194.0|0|15194.0|0|206.0|0|0.0|100
0|2021-12-12|15194.0|0|15194.0|0|206.0|0|0.0|100
0|2021-12-13|15195.0|0|15195.0|0|206.0|0|0.0|100
0|2021-12-14|15195.0|0|15380.0|0|206.0|0|0.0|100
0|2021-12-15|15615.0|0|15615.0|0|208.0|0|0.0|100
0|2021-12-16|15910.0|0|15910.0|0|209.0|0|0.0|100
0|2021-12-17|16057.0|0|16057.0|0|213.0|0|0.0|100
0|2021-12-18|16193.0|0|16193.0|0|214.0|0|0.0|100
0|2021-12-19|16193.0|0|16193.0|0|214.0|0|0.0|100
0|2021-12-20|16193.0|0|16193.0|0|214.0|0|0.0|100
0|2021-12-21|16354.0|0|16354.0|0|215.0|0|0.0|100
0|2021-12-22|16604.0|0|16604.0|0|215.0|0|0.0|100
0|2021-12-23|16738.0|0|16738.0|0|217.0|0|0.0|100
0|2021-12-24|16925.0|0|16925.0|0|218.0|0|0.0|100
0|2021-12-25|16925.0|0|16925.0|0|218.0|0|0.0|100
0|2021-12-26|16925.0|0|16925.0|0|218.0|0|0.0|100
0|2021-12-27|16928.0|0|16928.0|0|218.0|0|0.0|100
0|2021-12-28|17081.0|0|17081.0|0|221.0|0|0.0|100
0|2021-12-29|17200.0|0|17200.0|0|222.0|0|0.0|100
0|2021-12-30|17360.0|0|17360.0|0|224.0|0|0.0|100
0|2021-12-31|17516.0|0|17516.0|0|225.0|0|0.0|100
0|2022-01-01|17516.0|0|17516.0|0|225.0|0|0.0|100
0|2022-01-02|17516.0|0|17516.0|0|225.0|0|0.0|100
0|2022-01-03|17516.0|0|17516.0|0|225.0|0|0.0|100
0|2022-01-04|17687.0|0|17687.0|0|229.0|0|0.0|100
0|2022-01-05|17818.0|0|17818.0|0|232.0|0|0.0|100
0|2022-01-06|17942.0|0|17942.0|0|234.0|0|0.0|100
0|2022-01-07|18073.0|0|18073.0|0|235.0|0|0.0|100
0|2022-01-08|18165.0|0|18165.0|0|236.0|0|0.0|100
0|2022-01-09|18165.0|0|18165.0|0|236.0|0|0.0|100
0|2022-01-10|18165.0|0|18165.0|0|236.0|0|0.0|100
0|2022-01-11|18371.0|0|18371.0|0|237.0|0|0.0|100
0|2022-01-12|18534.0|0|18534.0|0|237.0|0|0.0|100
0|2022-01-13|18534.0|0|18635.0|0|237.0|0|0.0|100
0|2022-01-14|18662.0|0|18662.0|0|239.0|0|0.0|100
0|2022-01-15|18734.0|0|18734.0|0|241.0|0|0.0|100
0|2022-01-16|18734.0|0|18734.0|0|241.0|0|0.0|100
0|2022-01-17|18734.0|0|0.0|100|241.0|0|0.0|100
