|dates|Washington_Texas_UnitedStates.JHU_ConfirmedCases.data|Washington_Texas_UnitedStates.JHU_ConfirmedCases.missing|Washington_Texas_UnitedStates.NYT_ConfirmedCases.data|Washington_Texas_UnitedStates.NYT_ConfirmedCases.missing|Washington_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5685.0|0|5685.0|0|125.0|0|0.0|100
0|2021-10-18|5697.0|0|5697.0|0|125.0|0|0.0|100
0|2021-10-19|5702.0|0|5702.0|0|125.0|0|0.0|100
0|2021-10-20|5706.0|0|5706.0|0|125.0|0|0.0|100
0|2021-10-21|5717.0|0|5717.0|0|126.0|0|0.0|100
0|2021-10-22|5719.0|0|5719.0|0|127.0|0|0.0|100
0|2021-10-23|5721.0|0|5721.0|0|127.0|0|0.0|100
0|2021-10-24|5721.0|0|5721.0|0|128.0|0|0.0|100
0|2021-10-25|5730.0|0|5730.0|0|128.0|0|0.0|100
0|2021-10-26|5733.0|0|5733.0|0|128.0|0|0.0|100
0|2021-10-27|5737.0|0|5737.0|0|128.0|0|0.0|100
0|2021-10-28|5737.0|0|5737.0|0|128.0|0|0.0|100
0|2021-10-29|5747.0|0|5747.0|0|128.0|0|0.0|100
0|2021-10-30|5749.0|0|5749.0|0|128.0|0|0.0|100
0|2021-10-31|5749.0|0|5749.0|0|128.0|0|0.0|100
0|2021-11-01|5754.0|0|5754.0|0|128.0|0|0.0|100
0|2021-11-02|5756.0|0|5756.0|0|128.0|0|0.0|100
0|2021-11-03|5756.0|0|5756.0|0|128.0|0|0.0|100
0|2021-11-04|5758.0|0|5758.0|0|128.0|0|0.0|100
0|2021-11-05|5758.0|0|5758.0|0|129.0|0|0.0|100
0|2021-11-06|5767.0|0|5767.0|0|130.0|0|0.0|100
0|2021-11-07|5767.0|0|5767.0|0|130.0|0|0.0|100
0|2021-11-08|5780.0|0|5780.0|0|130.0|0|0.0|100
0|2021-11-09|5781.0|0|5781.0|0|130.0|0|0.0|100
0|2021-11-10|5781.0|0|5781.0|0|130.0|0|0.0|100
0|2021-11-11|5789.0|0|5789.0|0|130.0|0|0.0|100
0|2021-11-12|5793.0|0|5793.0|0|131.0|0|0.0|100
