|dates|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedCases.data|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|HotSpring_Arkansas_UnitedStates.NYT_ConfirmedCases.data|HotSpring_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|HotSpring_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7554.0|0|7554.0|0|105.0|0|0.0|100
0|2021-10-18|7555.0|0|7555.0|0|105.0|0|0.0|100
0|2021-10-19|7543.0|0|7543.0|0|105.0|0|0.0|100
0|2021-10-20|7556.0|0|7556.0|0|105.0|0|0.0|100
0|2021-10-21|7569.0|0|7569.0|0|105.0|0|0.0|100
0|2021-10-22|7574.0|0|7574.0|0|105.0|0|0.0|100
0|2021-10-23|7598.0|0|7598.0|0|105.0|0|0.0|100
0|2021-10-24|7603.0|0|7603.0|0|105.0|0|0.0|100
0|2021-10-25|7605.0|0|7605.0|0|105.0|0|0.0|100
0|2021-10-26|7608.0|0|7608.0|0|105.0|0|0.0|100
0|2021-10-27|7614.0|0|7614.0|0|105.0|0|0.0|100
0|2021-10-28|7624.0|0|7624.0|0|105.0|0|0.0|100
0|2021-10-29|7629.0|0|7629.0|0|105.0|0|0.0|100
0|2021-10-30|7641.0|0|7641.0|0|106.0|0|0.0|100
0|2021-10-31|7642.0|0|7642.0|0|106.0|0|0.0|100
0|2021-11-01|7645.0|0|7645.0|0|106.0|0|0.0|100
0|2021-11-02|7650.0|0|7650.0|0|106.0|0|0.0|100
0|2021-11-03|7652.0|0|7652.0|0|106.0|0|0.0|100
0|2021-11-04|7660.0|0|7660.0|0|106.0|0|0.0|100
0|2021-11-05|7662.0|0|7662.0|0|106.0|0|0.0|100
0|2021-11-06|7667.0|0|7667.0|0|106.0|0|0.0|100
0|2021-11-07|7676.0|0|7676.0|0|106.0|0|0.0|100
0|2021-11-08|7676.0|0|7677.0|0|106.0|0|0.0|100
0|2021-11-09|7685.0|0|7685.0|0|107.0|0|0.0|100
0|2021-11-10|7685.0|0|7692.0|0|107.0|0|0.0|100
0|2021-11-11|7693.0|0|7693.0|0|107.0|0|0.0|100
0|2021-11-12|7698.0|0|7698.0|0|107.0|0|0.0|100
0|2021-11-13|7699.0|0|7699.0|0|107.0|0|0.0|100
0|2021-11-14|7703.0|0|7703.0|0|107.0|0|0.0|100
0|2021-11-15|7704.0|0|7704.0|0|107.0|0|0.0|100
0|2021-11-16|7716.0|0|7716.0|0|107.0|0|0.0|100
0|2021-11-17|7721.0|0|7721.0|0|107.0|0|0.0|100
0|2021-11-18|7727.0|0|7727.0|0|107.0|0|0.0|100
0|2021-11-19|7734.0|0|7734.0|0|107.0|0|0.0|100
0|2021-11-20|7739.0|0|7739.0|0|107.0|0|0.0|100
0|2021-11-21|7741.0|0|7741.0|0|107.0|0|0.0|100
0|2021-11-22|7741.0|0|7741.0|0|107.0|0|0.0|100
0|2021-11-23|7745.0|0|7745.0|0|107.0|0|0.0|100
0|2021-11-24|7751.0|0|7751.0|0|109.0|0|0.0|100
0|2021-11-25|7757.0|0|7757.0|0|109.0|0|0.0|100
0|2021-11-26|7759.0|0|7759.0|0|109.0|0|0.0|100
0|2021-11-27|7761.0|0|7761.0|0|109.0|0|0.0|100
0|2021-11-28|7766.0|0|7766.0|0|109.0|0|0.0|100
0|2021-11-29|7766.0|0|7766.0|0|109.0|0|0.0|100
0|2021-11-30|7766.0|0|7774.0|0|109.0|0|0.0|100
0|2021-12-01|7779.0|0|7779.0|0|109.0|0|0.0|100
0|2021-12-02|7785.0|0|7785.0|0|109.0|0|0.0|100
0|2021-12-03|7794.0|0|7794.0|0|110.0|0|0.0|100
0|2021-12-04|7798.0|0|7798.0|0|111.0|0|0.0|100
0|2021-12-05|7803.0|0|7803.0|0|111.0|0|0.0|100
0|2021-12-06|7803.0|0|7803.0|0|111.0|0|0.0|100
0|2021-12-07|7813.0|0|7813.0|0|111.0|0|0.0|100
0|2021-12-08|7821.0|0|7821.0|0|111.0|0|0.0|100
0|2021-12-09|7829.0|0|7829.0|0|111.0|0|0.0|100
0|2021-12-10|7842.0|0|7842.0|0|112.0|0|0.0|100
0|2021-12-11|7849.0|0|7849.0|0|112.0|0|0.0|100
0|2021-12-12|7848.0|0|7848.0|0|112.0|0|0.0|100
0|2021-12-13|7849.0|0|7849.0|0|112.0|0|0.0|100
0|2021-12-14|7849.0|0|7866.0|0|112.0|0|0.0|100
