|dates|Mason_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Mason_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Mason_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Mason_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Mason_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Mason_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Mason_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Mason_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3535.0|0|3535.0|0|51.0|0|0.0|100
0|2021-10-18|3537.0|0|3537.0|0|51.0|0|0.0|100
0|2021-10-19|3548.0|0|3548.0|0|51.0|0|0.0|100
0|2021-10-20|3564.0|0|3564.0|0|53.0|0|0.0|100
0|2021-10-21|3578.0|0|3578.0|0|53.0|0|0.0|100
0|2021-10-22|3586.0|0|3586.0|0|53.0|0|0.0|100
0|2021-10-23|3587.0|0|3587.0|0|53.0|0|0.0|100
0|2021-10-24|3587.0|0|3587.0|0|53.0|0|0.0|100
0|2021-10-25|3590.0|0|3590.0|0|54.0|0|0.0|100
0|2021-10-26|3595.0|0|3595.0|0|54.0|0|0.0|100
0|2021-10-27|3605.0|0|3605.0|0|54.0|0|0.0|100
0|2021-10-28|3614.0|0|3614.0|0|55.0|0|0.0|100
0|2021-10-29|3622.0|0|3622.0|0|55.0|0|0.0|100
0|2021-10-30|3629.0|0|3629.0|0|55.0|0|0.0|100
0|2021-10-31|3633.0|0|3633.0|0|55.0|0|0.0|100
0|2021-11-01|3633.0|0|3633.0|0|55.0|0|0.0|100
0|2021-11-02|3644.0|0|3644.0|0|56.0|0|0.0|100
0|2021-11-03|3662.0|0|3662.0|0|57.0|0|0.0|100
0|2021-11-04|3675.0|0|3675.0|0|57.0|0|0.0|100
0|2021-11-05|3687.0|0|3687.0|0|57.0|0|0.0|100
0|2021-11-06|3696.0|0|3696.0|0|57.0|0|0.0|100
0|2021-11-07|3702.0|0|3702.0|0|57.0|0|0.0|100
0|2021-11-08|3709.0|0|3709.0|0|57.0|0|0.0|100
0|2021-11-09|3721.0|0|3721.0|0|58.0|0|0.0|100
0|2021-11-10|3724.0|0|3724.0|0|59.0|0|0.0|100
0|2021-11-11|3737.0|0|3737.0|0|59.0|0|0.0|100
0|2021-11-12|3748.0|0|3748.0|0|59.0|0|0.0|100
0|2021-11-13|3751.0|0|3751.0|0|59.0|0|0.0|100
0|2021-11-14|3755.0|0|3755.0|0|59.0|0|0.0|100
0|2021-11-15|3758.0|0|3758.0|0|59.0|0|0.0|100
0|2021-11-16|3774.0|0|3774.0|0|60.0|0|0.0|100
0|2021-11-17|3792.0|0|3792.0|0|61.0|0|0.0|100
0|2021-11-18|3807.0|0|3807.0|0|61.0|0|0.0|100
0|2021-11-19|3822.0|0|3822.0|0|61.0|0|0.0|100
0|2021-11-20|3843.0|0|3843.0|0|61.0|0|0.0|100
0|2021-11-21|3855.0|0|3855.0|0|61.0|0|0.0|100
0|2021-11-22|3861.0|0|3861.0|0|61.0|0|0.0|100
0|2021-11-23|3874.0|0|3874.0|0|61.0|0|0.0|100
0|2021-11-24|3888.0|0|3888.0|0|61.0|0|0.0|100
0|2021-11-25|3888.0|0|3888.0|0|61.0|0|0.0|100
0|2021-11-26|3888.0|0|3888.0|0|61.0|0|0.0|100
0|2021-11-27|3888.0|0|3888.0|0|61.0|0|0.0|100
0|2021-11-28|3888.0|0|3888.0|0|61.0|0|0.0|100
0|2021-11-29|3920.0|0|3920.0|0|61.0|0|0.0|100
0|2021-11-30|3935.0|0|3935.0|0|62.0|0|0.0|100
0|2021-12-01|3945.0|0|3945.0|0|62.0|0|0.0|100
0|2021-12-02|3963.0|0|3963.0|0|62.0|0|0.0|100
0|2021-12-03|3971.0|0|3971.0|0|62.0|0|0.0|100
0|2021-12-04|3998.0|0|3998.0|0|62.0|0|0.0|100
0|2021-12-05|4006.0|0|4006.0|0|62.0|0|0.0|100
0|2021-12-06|4012.0|0|4012.0|0|62.0|0|0.0|100
0|2021-12-07|4027.0|0|4027.0|0|62.0|0|0.0|100
0|2021-12-08|4054.0|0|4054.0|0|62.0|0|0.0|100
0|2021-12-09|4062.0|0|4062.0|0|62.0|0|0.0|100
0|2021-12-10|4070.0|0|4070.0|0|63.0|0|0.0|100
0|2021-12-11|4084.0|0|4084.0|0|63.0|0|0.0|100
0|2021-12-12|4090.0|0|4090.0|0|63.0|0|0.0|100
0|2021-12-13|4106.0|0|4106.0|0|63.0|0|0.0|100
0|2021-12-14|4106.0|0|4112.0|0|63.0|0|0.0|100
0|2021-12-15|4136.0|0|4136.0|0|64.0|0|0.0|100
0|2021-12-16|4151.0|0|4151.0|0|64.0|0|0.0|100
0|2021-12-17|4163.0|0|4163.0|0|64.0|0|0.0|100
0|2021-12-18|4179.0|0|4179.0|0|64.0|0|0.0|100
0|2021-12-19|4188.0|0|4188.0|0|64.0|0|0.0|100
0|2021-12-20|4198.0|0|4198.0|0|64.0|0|0.0|100
0|2021-12-21|4219.0|0|4219.0|0|64.0|0|0.0|100
0|2021-12-22|4242.0|0|4242.0|0|65.0|0|0.0|100
0|2021-12-23|4256.0|0|4256.0|0|65.0|0|0.0|100
0|2021-12-24|4256.0|0|4256.0|0|65.0|0|0.0|100
0|2021-12-25|4256.0|0|4256.0|0|65.0|0|0.0|100
0|2021-12-26|4256.0|0|4256.0|0|65.0|0|0.0|100
0|2021-12-27|4256.0|0|4277.0|0|65.0|0|0.0|100
0|2021-12-28|4282.0|0|4282.0|0|66.0|0|0.0|100
0|2021-12-29|4301.0|0|4301.0|0|66.0|0|0.0|100
0|2021-12-30|4331.0|0|4331.0|0|69.0|0|0.0|100
0|2021-12-31|4331.0|0|4331.0|0|69.0|0|0.0|100
0|2022-01-01|4331.0|0|4331.0|0|69.0|0|0.0|100
0|2022-01-02|4331.0|0|4331.0|0|69.0|0|0.0|100
0|2022-01-03|4424.0|0|4424.0|0|70.0|0|0.0|100
0|2022-01-04|4444.0|0|4444.0|0|70.0|0|0.0|100
0|2022-01-05|4473.0|0|4473.0|0|72.0|0|0.0|100
0|2022-01-06|4513.0|0|4513.0|0|73.0|0|0.0|100
0|2022-01-07|4548.0|0|4548.0|0|73.0|0|0.0|100
0|2022-01-08|4579.0|0|4579.0|0|73.0|0|0.0|100
0|2022-01-09|4594.0|0|4594.0|0|73.0|0|0.0|100
0|2022-01-10|4600.0|0|4600.0|0|73.0|0|0.0|100
0|2022-01-11|4618.0|0|4618.0|0|73.0|0|0.0|100
0|2022-01-12|4666.0|0|4666.0|0|73.0|0|0.0|100
0|2022-01-13|4666.0|0|4712.0|0|73.0|0|0.0|100
0|2022-01-14|4762.0|0|4762.0|0|74.0|0|0.0|100
0|2022-01-15|4804.0|0|4804.0|0|74.0|0|0.0|100
0|2022-01-16|4842.0|0|4842.0|0|74.0|0|0.0|100
0|2022-01-17|4866.0|0|0.0|100|74.0|0|0.0|100
