|dates|Pottawatomie_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pottawatomie_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pottawatomie_Oklahoma_UnitedStates.Male_Total_Population.data|Pottawatomie_Oklahoma_UnitedStates.Male_Total_Population.missing|Pottawatomie_Oklahoma_UnitedStates.Female_Total_Population.data|Pottawatomie_Oklahoma_UnitedStates.Female_Total_Population.missing|Pottawatomie_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.data|Pottawatomie_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-18|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-19|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-20|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-21|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-22|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-23|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-24|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-25|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-26|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-27|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-28|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-29|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-30|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-10-31|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-11-01|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-11-02|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-11-03|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-11-04|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-11-05|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-11-06|11854.0|0|34813.0|0|37866.0|0|17176.0|0
0|2021-11-07|11854.0|0|34813.0|0|37866.0|0|17176.0|0
