|dates|Fannin_Georgia_UnitedStates.JHU_ConfirmedCases.data|Fannin_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Fannin_Georgia_UnitedStates.NYT_ConfirmedCases.data|Fannin_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Fannin_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Fannin_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Fannin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Fannin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3718.0|0|3734.0|0|101.0|0|0.0|100
0|2021-10-18|3722.0|0|3738.0|0|101.0|0|0.0|100
0|2021-10-19|3723.0|0|3739.0|0|102.0|0|0.0|100
0|2021-10-20|3729.0|0|3745.0|0|102.0|0|0.0|100
0|2021-10-21|3738.0|0|3754.0|0|102.0|0|0.0|100
0|2021-10-22|3736.0|0|3752.0|0|103.0|0|0.0|100
0|2021-10-23|3736.0|0|3752.0|0|103.0|0|0.0|100
0|2021-10-24|3736.0|0|3752.0|0|103.0|0|0.0|100
0|2021-10-25|3747.0|0|3765.0|0|103.0|0|0.0|100
0|2021-10-26|3747.0|0|3765.0|0|104.0|0|0.0|100
0|2021-10-27|3749.0|0|3767.0|0|105.0|0|0.0|100
0|2021-10-28|3751.0|0|3769.0|0|106.0|0|0.0|100
0|2021-10-29|3755.0|0|3773.0|0|106.0|0|0.0|100
0|2021-10-30|3755.0|0|3773.0|0|106.0|0|0.0|100
0|2021-10-31|3755.0|0|3773.0|0|106.0|0|0.0|100
0|2021-11-01|3761.0|0|3780.0|0|106.0|0|0.0|100
0|2021-11-02|3761.0|0|3780.0|0|106.0|0|0.0|100
0|2021-11-03|3762.0|0|3781.0|0|106.0|0|0.0|100
0|2021-11-04|3769.0|0|3788.0|0|108.0|0|0.0|100
0|2021-11-05|3777.0|0|3796.0|0|108.0|0|0.0|100
0|2021-11-06|3777.0|0|3796.0|0|108.0|0|0.0|100
0|2021-11-07|3777.0|0|3796.0|0|108.0|0|0.0|100
0|2021-11-08|3777.0|0|3797.0|0|108.0|0|0.0|100
0|2021-11-09|3792.0|0|3812.0|0|108.0|0|0.0|100
0|2021-11-10|3792.0|0|3812.0|0|108.0|0|0.0|100
0|2021-11-11|3792.0|0|3812.0|0|108.0|0|0.0|100
